数据库：分省年度数据
指标：果园面积(千公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,42.50,43.84,46.41,47.71,52.51,57.14,57.52,60.18,62.47,63.46,64.93,66.71,72.15,74.30,70.02,75.69,81.40,87.54,89.91
天津市,24.00,26.57,28.64,31.46,33.62,33.35,32.96,34.15,33.71,32.55,34.36,33.01,33.78,35.11,36.39,37.07,36.37,41.08,43.65
河北省,521.61,506.02,529.73,560.03,553.04,594.09,650.17,661.34,699.97,745.99,811.36,844.82,926.75,1016.62,1097.51,1115.06,1106.41,1075.02,1062.11
山西省,381.05,374.86,363.27,359.53,357.35,359.54,354.90,346.47,336.89,320.71,291.07,286.52,278.28,277.63,270.15,279.69,279.07,278.15,281.57
内蒙古自治区,98.34,97.49,83.15,59.78,60.35,52.73,50.59,62.50,50.83,49.39,52.38,41.25,43.27,41.02,48.88,52.06,50.76,48.29,43.76
辽宁省,358.38,352.74,352.06,350.69,359.14,413.19,402.78,391.76,389.94,350.37,344.61,345.17,332.35,326.45,313.62,316.95,316.78,318.20,331.20
吉林省,27.11,26.49,24.65,18.61,18.10,20.49,24.83,27.20,30.51,34.48,40.20,43.59,52.52,54.96,65.03,67.82,74.02,95.30,105.85
黑龙江省,41.14,29.71,20.42,27.20,32.28,33.93,34.71,34.24,35.33,34.98,36.15,35.34,40.96,40.90,37.59,39.49,39.50,41.44,48.72
上海市,13.13,13.42,14.54,12.70,13.84,15.92,17.34,18.39,18.98,18.95,21.42,23.24,24.95,24.59,24.28,22.27,28.50,24.75,18.15
江苏省,190.84,199.52,204.54,209.15,209.97,209.42,214.29,222.05,209.83,202.98,191.51,192.74,178.73,174.75,190.44,191.44,184.91,178.30,182.94
浙江省,318.85,321.52,323.48,325.71,327.65,332.53,330.09,321.40,321.45,320.86,320.92,318.05,317.13,314.25,300.69,299.81,294.42,286.71,275.60
安徽省,166.29,160.27,141.97,138.02,128.61,128.08,124.20,118.22,116.47,110.01,107.13,104.50,108.70,100.82,102.83,104.18,109.75,100.45,93.84
福建省,355.78,344.08,331.79,310.45,304.52,324.94,337.41,362.10,381.64,398.26,425.82,452.66,482.52,506.41,542.08,550.67,547.65,554.43,553.81
江西省,427.84,420.09,411.67,396.92,401.07,414.70,414.50,405.20,392.84,381.60,373.62,374.55,361.38,338.90,302.04,295.81,293.95,262.36,248.23
山东省,603.19,585.34,574.74,579.41,588.69,591.08,590.43,582.77,568.80,566.62,558.40,566.03,573.75,620.54,694.49,767.90,756.26,797.11,752.95
河南省,452.21,432.28,434.07,442.67,449.55,457.47,460.05,477.19,467.96,466.57,456.08,449.63,438.57,448.70,416.34,416.63,400.01,374.07,352.80
湖北省,400.83,380.86,366.17,345.82,338.84,338.28,354.15,345.27,350.59,356.79,343.72,343.83,332.31,312.18,282.19,265.05,250.40,227.94,229.42
湖南省,556.14,535.93,516.96,500.74,494.64,496.85,529.71,533.82,520.94,516.55,503.65,499.07,461.95,477.08,450.59,430.76,406.23,378.28,364.03
广东省,1031.31,1007.00,982.33,960.52,949.32,968.47,971.78,985.12,985.95,999.69,1007.07,1022.48,1013.81,1002.47,1013.92,996.91,986.65,917.12,875.41
广西壮族自治区,1352.57,1331.88,1263.63,1174.42,1106.78,1057.88,999.17,964.01,934.85,919.16,898.53,888.55,869.23,874.24,867.38,865.23,844.06,821.30,819.66
海南省,178.36,171.45,170.72,165.32,158.05,160.23,163.59,169.49,178.40,178.37,173.59,169.94,170.70,171.53,169.74,163.40,163.81,159.16,157.43
重庆市,347.77,321.35,307.43,290.30,272.07,295.54,311.25,288.64,271.11,250.90,232.37,212.74,196.84,184.58,189.33,179.27,164.72,164.77,147.39
四川省,806.89,776.55,744.45,693.71,659.65,638.53,618.48,603.79,588.37,570.40,549.15,534.44,509.99,492.45,477.93,461.96,444.13,418.21,370.15
贵州省,779.47,684.50,580.26,406.35,332.75,307.65,267.70,232.37,196.04,171.27,153.46,141.97,134.02,124.92,119.14,118.92,110.29,103.11,98.34
云南省,665.16,628.44,599.78,570.01,548.92,472.29,431.67,406.53,392.49,348.48,315.19,309.40,289.03,265.07,241.99,224.75,225.67,217.79,212.07
西藏自治区,4.20,5.36,,0.00,4.71,3.21,2.12,1.97,2.02,2.15,0.38,1.54,1.51,1.40,1.23,1.14,0.83,0.83,1.09
陕西省,1154.48,1134.16,1113.92,1086.88,1065.66,1062.56,1060.39,1050.28,1037.20,1019.61,1001.90,950.93,908.82,869.94,860.49,817.45,788.47,750.51,703.75
甘肃省,326.66,318.99,313.65,303.33,311.37,302.00,300.84,297.45,294.28,283.13,276.51,270.98,271.18,273.64,373.62,347.59,335.05,320.07,294.79
青海省,7.23,7.59,7.40,6.24,6.20,8.57,7.68,6.85,6.84,5.05,5.09,4.51,4.13,4.28,4.20,4.30,7.05,5.11,5.06
宁夏回族自治区,104.69,102.98,92.36,79.59,84.63,89.74,95.22,98.61,97.86,98.42,98.73,86.92,75.38,62.20,55.64,48.55,44.85,44.94,42.06
新疆维吾尔自治区,908.24,935.40,930.67,695.36,692.77,971.78,1397.15,933.98,1015.15,990.31,991.72,839.29,716.02,607.57,502.79,476.98,396.21,344.18,292.12
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
