数据库：分省年度数据
指标：实有茶园面积(千公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
河北省,0.01,,0.00,0.04,0.04,,,,,,,,,,,,,,
山西省,0.80,0.20,0.13,0.15,0.15,0.05,0.05,0.05,0.05,0.04,0.03,0.02,,,,,,,
上海市,0.12,0.10,0.11,,,,,,,,,,,,0.00,,,,
江苏省,34.24,33.80,33.74,33.71,33.78,33.77,34.28,33.98,34.04,32.25,32.36,31.36,30.08,28.63,26.82,23.85,23.56,22.72,21.01
浙江省,206.60,201.40,200.50,198.53,196.98,194.54,195.63,184.03,183.03,181.96,177.93,175.93,174.09,168.92,158.67,154.65,147.92,142.82,134.83
安徽省,194.71,187.10,176.32,165.44,160.82,167.90,166.56,155.32,149.69,138.00,133.53,128.83,128.93,135.73,119.55,117.61,113.32,113.11,110.14
福建省,223.94,219.80,210.89,207.11,204.43,207.70,205.94,201.03,195.65,190.61,185.24,183.14,181.42,166.29,159.82,155.23,145.06,138.58,133.35
江西省,113.20,109.10,103.55,104.37,93.28,85.06,78.10,72.59,65.49,58.99,56.77,50.82,44.20,43.87,39.30,38.15,34.34,33.95,35.67
山东省,27.17,25.10,23.14,20.67,21.40,21.01,19.62,18.83,17.83,17.28,16.30,15.56,15.73,15.21,15.74,14.51,13.26,11.83,11.40
河南省,113.00,114.60,115.67,115.76,118.29,114.00,105.47,97.69,87.63,78.52,65.15,59.80,55.07,47.08,34.95,33.09,26.40,24.56,22.65
湖北省,358.39,347.70,321.50,283.31,267.53,261.50,251.03,246.91,225.45,215.67,195.08,192.16,175.78,157.53,146.44,138.43,126.25,119.38,115.16
湖南省,185.77,174.90,164.99,155.82,143.46,135.23,130.97,118.25,111.03,104.18,98.27,91.24,86.53,86.44,79.90,80.08,77.43,74.04,72.37
广东省,78.19,72.20,63.39,58.42,56.40,52.05,50.88,46.34,43.53,42.48,41.84,38.43,37.34,37.50,40.16,36.03,38.96,38.67,40.53
广西壮族自治区,91.28,77.30,71.73,74.69,70.34,67.70,66.10,62.10,55.01,53.31,49.60,49.20,46.61,46.88,41.34,36.86,33.96,42.91,29.98
海南省,2.20,1.80,1.95,2.07,1.65,1.41,1.34,1.30,1.06,1.11,1.22,1.01,1.07,1.25,1.43,1.49,1.90,1.93,2.95
重庆市,52.09,47.50,42.35,39.94,39.53,39.86,37.44,35.38,34.31,33.66,31.12,28.64,27.02,25.87,26.87,25.81,24.03,23.43,24.11
四川省,396.38,387.00,375.40,356.28,341.68,319.03,307.09,287.63,270.83,246.74,229.58,215.69,196.01,187.55,159.12,152.00,139.77,124.71,102.65
贵州省,476.42,464.40,465.84,456.22,420.78,402.53,356.41,303.68,244.92,192.07,164.25,130.44,104.24,71.49,63.60,59.73,52.32,48.09,47.25
云南省,493.52,480.90,466.58,437.86,422.06,413.52,399.68,392.25,382.74,374.35,363.32,351.41,333.70,301.97,247.54,218.45,201.87,192.21,184.92
西藏自治区,3.59,2.40,,,0.69,0.55,0.47,0.20,0.16,0.16,0.22,0.06,0.01,0.07,0.09,0.18,0.13,0.17,0.15
陕西省,152.72,145.20,135.89,126.57,118.03,112.16,108.29,99.31,89.16,84.53,80.64,74.84,67.11,66.38,62.94,59.47,56.34,50.86,43.28
甘肃省,12.31,12.30,12.11,11.75,11.45,11.27,10.62,10.20,9.72,9.59,9.38,11.72,11.14,9.95,7.00,6.33,5.49,3.28,1.83
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
