数据库：分省年度数据
指标：瓜类单位面积产量(公斤/公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,41758.12,43913.18,39524.42,39427.53,38855.82,42762.78,44415.09,46076.69,43753.42,45660.51,41677.69,45096.90,44872.14,46442.08,46257.48,49258.28,49351.38
天津市,47416.85,46691.19,47188.44,48834.36,50893.84,52168.40,50119.82,53118.96,49690.33,49164.02,49144.16,48787.69,43227.02,47039.53,45546.55,40219.62,39279.33
河北省,52939.20,55894.41,55543.33,53067.45,52419.88,51144.27,49547.32,48856.86,48105.24,47466.47,46694.70,45395.39,44660.82,45483.82,42940.74,42368.90,40420.29
山西省,32755.36,32018.35,32117.36,29168.10,34234.54,30130.13,30419.03,28015.67,27750.69,26693.40,27544.72,25826.88,22252.34,22689.14,21650.51,23431.89,24464.43
内蒙古自治区,38571.37,40096.92,39958.91,37680.37,36913.68,31314.25,35921.67,37535.53,38914.49,34584.15,39948.85,39773.74,37097.32,39785.58,31314.03,27048.39,33448.64
辽宁省,46913.68,48147.74,46242.69,45686.63,46489.46,47812.72,47523.33,46633.56,43927.43,42397.73,40363.27,41588.40,38978.65,28051.75,28159.45,28276.60,26593.36
吉林省,30246.75,32710.65,33617.15,33244.97,33361.80,33113.25,30871.21,31551.97,29151.90,35572.38,33977.01,28166.64,30438.63,31791.77,30435.23,27447.24,27106.38
黑龙江省,35522.82,33689.27,32232.64,35884.29,35465.18,34983.32,36649.88,30635.45,30218.87,32845.66,33956.08,29442.69,30076.82,27795.35,28652.74,23667.98,25014.50
上海市,40479.47,31987.45,32002.73,31406.14,37577.08,33947.97,33927.86,27612.32,41087.13,31781.69,33244.79,33293.04,31627.37,30737.76,32688.18,32107.67,26838.37
江苏省,39383.03,39039.66,37986.73,37744.57,37065.01,37142.70,35878.87,34796.46,36480.96,35688.85,35503.90,33294.00,32953.05,32377.66,32804.99,28568.28,33677.39
浙江省,28637.64,28717.36,28183.66,28028.94,28324.63,28951.90,28710.23,29529.13,29576.97,29658.91,29405.37,30185.14,28500.15,28709.56,29597.20,28920.06,26509.34
安徽省,39718.10,38701.79,38273.38,38128.13,37564.32,36787.80,36147.01,35344.31,34378.59,33002.23,31187.25,31124.80,31622.40,31905.10,31187.66,23069.07,30532.06
福建省,23586.12,24545.10,24540.00,24267.49,23832.10,23477.27,23031.50,22723.05,21970.23,22952.63,22490.13,22194.22,20836.94,21460.77,22183.55,21234.80,20911.89
江西省,25922.37,26553.56,26705.65,26985.84,26542.20,26091.76,26988.33,26496.80,23562.48,23889.25,23453.99,23285.89,23285.89,22158.77,22316.09,21734.15,20555.05
山东省,51979.38,53813.00,53254.00,52263.90,51247.59,49558.77,49739.50,49010.97,47656.29,46857.98,46706.28,45987.85,46840.86,46080.24,44161.73,44156.95,43170.88
河南省,51524.37,52491.02,51668.29,51929.41,49445.45,49528.26,49203.99,47110.65,46048.54,43702.09,44486.18,43437.29,41134.90,38562.22,37966.68,28468.54,39075.94
湖北省,35639.81,35403.11,35217.35,34586.58,34471.15,34536.52,33827.01,33620.85,32706.24,33583.03,34152.34,33796.79,34534.45,35870.75,34098.78,32391.25,33753.00
湖南省,28897.46,28795.76,29051.74,27549.40,26286.05,26392.01,25127.89,24323.61,24050.49,28426.66,24154.96,24821.82,24914.35,24577.29,23863.90,23199.25,23231.27
广东省,28859.36,28487.36,28110.88,26770.74,27905.44,27250.15,26594.59,26178.99,25863.89,25064.83,24255.51,23788.84,22347.89,23385.30,24515.45,24149.09,24132.53
广西壮族自治区,27551.24,27420.11,26950.67,26623.93,26733.10,26458.53,26264.11,26121.59,25518.27,26661.95,25580.12,26246.15,25011.77,24738.60,22469.74,23755.08,21653.40
海南省,33163.22,31912.72,31906.00,31064.77,30716.61,29908.68,28617.68,29625.82,28285.96,26568.20,25184.23,27080.22,23544.61,25591.24,22363.93,23070.54,24076.72
重庆市,21847.81,22621.62,22626.40,21873.13,21200.61,18806.33,17915.41,18713.79,15819.68,14238.91,13932.29,13172.75,13246.81,14709.57,14562.03,13889.68,15248.67
四川省,26692.79,26155.93,25864.33,25333.06,25177.84,24752.97,24605.56,24779.05,24216.01,25053.96,24041.93,22942.16,22251.27,24412.11,23950.93,24393.52,24773.72
贵州省,23231.66,23134.80,23092.27,23157.04,23508.05,22818.54,21688.03,19315.77,21424.55,21545.88,19093.40,19830.23,20882.59,19388.28,18539.17,16671.07,16668.86
云南省,23039.12,24075.96,23173.00,23258.70,24265.89,25050.83,25443.88,24994.91,22560.24,21902.57,25838.45,22340.95,21430.70,21303.93,19758.26,19238.24,18890.37
西藏自治区,8719.97,11232.07,11160.32,18863.30,15968.19,25103.76,25087.21,28652.19,27271.66,30048.41,,,29360.00,10327.50,6671.43,3875.93,3814.89
陕西省,35703.97,36554.89,36015.03,34004.84,34919.75,36015.70,34559.34,32444.50,33824.63,33255.45,30599.15,30165.06,28576.67,27506.53,27310.52,25227.60,27175.45
甘肃省,43770.23,45632.64,45679.85,43177.51,42189.93,41260.67,39531.45,37516.25,36306.51,36557.65,34830.26,28776.86,31194.60,29766.02,30533.66,30993.01,29366.91
青海省,19826.96,15562.01,16764.31,14813.04,35290.80,40019.03,35439.65,43471.69,41265.47,40580.63,43942.00,43574.46,28875.00,30402.70,32456.10,33675.00,32545.83
宁夏回族自治区,24036.16,24105.45,24258.76,23839.83,22937.96,21866.93,20905.58,20058.33,20397.47,18447.40,17821.31,18769.35,18876.94,14952.63,24911.39,32221.65,30887.25
新疆维吾尔自治区,39413.13,42890.31,41094.92,37892.20,39339.28,39206.02,36952.13,36210.77,35017.86,33914.30,36403.13,32227.46,30740.98,31266.98,30104.10,30151.84,28192.95
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
