数据库：分省年度数据
指标：木材产量(万立方米)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2002年
北京市,23,17,14,13,15,13,13,21,14,10,10,8,7,7,6,33
天津市,25,31,20,15,18,17,15,15,11,10,21,5,5,5,,32
河北省,115,107,87,79,82,80,90,85,75,71,71,58,55,59,53,44
山西省,28,26,26,22,21,14,16,12,12,5,5,6,7,9,9,5
内蒙古自治区,88,85,75,84,82,143,179,186,209,218,321,312,342,417,337,26
辽宁省,118,107,171,194,187,166,200,178,191,198,195,187,181,194,229,87
吉林省,228,205,165,186,185,288,345,347,344,434,476,395,421,419,444,37
黑龙江省,124,155,71,91,116,157,213,220,302,337,571,531,549,551,560,18
上海市,,0,,,,,,0,0,,,,,1,,0
江苏省,214,233,134,141,156,132,141,144,173,166,151,99,113,79,66,114
浙江省,102,124,123,96,108,124,137,154,157,176,198,197,302,190,185,324
安徽省,536,510,451,434,447,458,466,478,496,495,458,374,406,409,397,210
福建省,576,648,580,524,576,497,575,572,571,563,685,635,757,702,660,356
江西省,302,277,257,233,228,232,260,267,287,290,341,340,610,492,483,306
山东省,507,516,474,422,356,364,430,559,552,348,301,221,181,176,118,126
河南省,267,256,258,246,274,229,256,243,278,279,238,110,59,152,220,318
湖北省,232,304,210,200,193,227,227,252,259,292,221,219,221,195,193,95
湖南省,377,331,286,328,274,263,478,475,467,600,558,546,875,664,629,308
广东省,1017,945,860,793,756,791,841,809,760,736,655,525,509,454,385,282
广西壮族自治区,3600,3500,3175,3059,2687,2106,2303,2288,1668,1526,1270,964,1115,780,650,331
海南省,234,209,198,174,150,107,135,122,112,111,96,153,101,73,74,16
重庆市,50,63,60,52,55,50,35,30,30,29,26,24,21,17,11,18
四川省,223,244,231,224,202,170,208,237,246,240,163,192,285,100,103,32
贵州省,319,309,278,249,165,175,191,181,215,194,181,130,213,128,105,56
云南省,846,745,551,488,392,348,394,430,530,533,532,476,428,388,385,256
西藏自治区,2,10,,1,,4,6,6,77,97,70,67,15,15,27,12
陕西省,26,21,8,8,12,7,7,10,16,54,33,37,31,34,21,13
甘肃省,9,6,4,2,2,3,4,3,5,5,3,4,9,5,3,5
青海省,2,,0,,,1,1,1,2,2,2,0,1,2,2,3
宁夏回族自治区,,,,,,1,,1,2,0,,0,1,0,,0
新疆维吾尔自治区,65,63,44,43,36,34,44,39,36,41,36,37,36,41,43,30
数据来源：国家统计局
