数据库：分省年度数据
指标：猪年底头数(万头)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,32.18,13.19,45.43,112.18,165.31,165.61,179.60,189.23,187.39,179.34,183.21,186.57,179.82,168.18,144.59,218.78,243.24,248.50,277.80
天津市,,162.33,124.26,196.91,179.95,190.64,196.94,199.78,200.99,193.75,191.26,186.93,180.96,180.26,147.95,145.63,255.45,252.42,245.09,269.90
河北省,,1748.85,1418.37,1820.75,1957.80,1819.01,1865.65,1915.45,1932.85,1847.50,1885.20,1846.03,1968.04,2015.17,1907.05,1812.78,3064.39,2945.91,2763.41,2614.30
山西省,,569.41,451.41,549.48,544.11,449.68,485.91,514.74,502.18,473.76,446.10,474.84,498.78,452.20,422.19,377.32,463.28,452.73,462.53,472.70
内蒙古自治区,,534.10,429.59,497.30,505.60,640.00,645.34,669.44,684.50,693.78,684.20,684.38,683.70,644.39,636.37,620.24,738.65,711.22,647.73,681.80
辽宁省,,1284.18,1055.20,1262.20,1308.02,1406.47,1457.48,1558.80,1624.50,1592.60,1585.40,1567.63,1606.18,1584.00,1429.44,1416.12,1453.55,1364.84,1275.42,1281.80
吉林省,,899.07,792.83,870.40,911.10,948.07,972.38,1000.40,1001.15,1001.15,989.28,986.59,1007.75,976.50,1084.77,929.54,615.19,568.04,523.89,474.50
黑龙江省,,1371.16,1173.23,1353.21,1433.91,1275.98,1314.09,1360.29,1356.74,1381.61,1367.93,1360.77,1356.70,1286.04,1217.20,1209.82,1316.83,1217.28,1046.22,1010.80
上海市,,82.92,50.74,96.48,111.24,100.06,143.86,171.68,184.75,178.75,180.65,171.87,175.16,162.52,122.93,108.31,156.00,50.75,195.00,216.10
江苏省,,1374.85,577.43,1551.97,1640.30,1690.56,1780.30,1799.50,1787.26,1775.17,1745.49,1728.52,1760.20,1716.23,1620.06,1550.78,1927.20,1910.78,1992.96,2011.70
浙江省,,627.58,427.30,516.79,542.55,573.83,730.19,964.64,1287.53,1338.33,1281.93,1248.43,1225.75,1161.85,1039.10,1003.00,1213.15,1125.27,1132.38,1139.20
安徽省,,1419.33,1091.79,1356.26,1417.20,1468.59,1539.37,1585.35,1612.59,1555.20,1467.31,1442.54,1482.57,1432.43,1334.20,1202.90,2034.04,1968.96,2019.31,1995.40
福建省,,910.90,641.52,799.90,921.80,983.18,1066.16,1149.35,1296.24,1340.86,1297.80,1272.57,1315.79,1324.09,1294.62,1242.44,1330.11,1241.81,1180.81,1132.90
江西省,,1569.85,1006.32,1587.25,1621.34,1617.15,1693.35,1738.55,1708.02,1645.88,1570.50,1540.65,1569.05,1508.70,1420.07,1344.13,1566.68,1441.45,1301.18,1369.90
山东省,,2933.93,2176.50,2985.60,3040.33,2764.09,2849.58,2910.70,2931.41,2902.39,2837.13,2747.55,2753.06,2725.80,2656.51,2508.52,3238.69,3058.19,2975.21,2883.00
河南省,,3886.98,3170.46,4337.15,4390.00,4284.10,4376.00,4420.00,4426.74,4587.28,4569.00,4547.05,4528.93,4462.00,4185.53,3953.30,4439.00,4232.00,3914.00,3800.00
湖北省,,2161.46,1617.86,2521.80,2578.53,2432.16,2497.11,2550.67,2566.07,2543.18,2533.05,2476.10,2546.12,2462.40,2290.58,2130.77,2340.30,2190.04,2123.34,2107.60
湖南省,,3734.60,2698.33,3822.00,3968.10,3936.63,4079.40,4188.30,4096.91,4245.52,4158.20,4044.86,4032.76,3915.30,3772.00,3452.45,4435.01,4343.43,4108.70,3908.50
广东省,,1767.27,1333.79,2024.26,2132.82,2076.05,2135.85,2130.10,2282.58,2256.63,2300.60,2253.29,2392.28,2380.38,2275.09,2002.72,2143.50,1989.05,1961.05,2062.30
广西壮族自治区,,1828.34,1599.60,2298.28,2293.69,2216.12,2303.66,2360.31,2471.53,2466.60,2411.98,2344.04,2332.38,2307.00,2169.47,2259.86,3015.04,2670.99,2637.67,3029.30
海南省,,248.56,162.86,382.43,399.60,385.49,401.13,412.86,433.78,438.56,416.49,413.22,411.53,416.25,323.44,305.42,393.54,370.21,346.56,309.10
重庆市,,1082.90,921.62,1167.19,1191.61,1395.58,1450.39,1483.76,1502.25,1524.31,1540.57,1557.87,1604.07,1566.47,1422.92,1377.38,1756.28,1720.16,1719.56,1690.60
四川省,,3875.44,2870.70,4258.47,4376.64,4675.90,4815.57,5000.59,5004.10,5132.41,5101.79,5157.85,5122.00,5325.80,5295.80,5095.30,5744.77,5627.31,5564.87,5376.20
贵州省,,1364.06,1171.27,1549.30,1596.89,1498.16,1558.96,1600.57,1604.10,1604.09,1521.60,1616.34,1617.96,1587.47,1548.70,1562.07,1972.87,2033.14,1867.47,1869.10
云南省,,3120.43,2342.49,3055.53,3029.18,2575.40,2625.28,2678.85,2708.65,2708.65,2689.82,2766.82,2736.17,2669.03,2457.60,2365.01,2601.71,2605.49,2554.13,2486.90
西藏自治区,,50.15,31.15,38.79,42.29,37.38,38.57,39.85,36.98,34.40,32.30,29.64,30.47,30.56,25.46,27.95,30.24,26.17,25.22,23.70
陕西省,,849.78,795.70,839.04,854.42,827.93,845.99,879.41,897.90,900.24,880.00,884.44,920.33,880.70,851.60,804.53,764.10,756.60,722.10,735.20
甘肃省,,622.00,480.32,545.20,551.32,580.21,600.01,619.60,608.85,590.70,560.30,567.20,568.91,564.81,561.97,590.00,650.15,641.01,630.15,625.10
青海省,,72.07,34.65,78.18,82.68,123.60,118.39,120.56,120.83,116.68,115.20,113.15,109.77,107.21,88.78,89.01,105.12,106.28,101.00,104.80
宁夏回族自治区,,90.02,73.37,73.75,81.04,68.96,65.47,75.43,75.31,69.45,68.31,73.70,91.70,89.00,82.64,83.84,122.71,117.63,125.05,126.20
新疆维吾尔自治区,,375.73,306.85,335.79,342.68,297.44,294.49,303.60,274.72,265.43,254.00,171.96,180.42,176.95,137.22,134.66,228.49,206.67,191.17,205.10
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
