数据库：分省年度数据
指标：羊年底只数(万头)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,16.38,16.87,24.24,35.18,59.62,69.35,68.35,59.47,58.07,57.77,60.63,67.36,73.20,78.88,70.67,126.03,158.47,182.98,175.24
天津市,,45.22,39.23,41.93,43.48,47.46,47.96,46.76,45.43,41.39,36.06,37.40,38.07,37.28,35.29,34.80,84.69,93.61,106.49,93.73
河北省,,1270.31,1194.90,1179.56,1228.10,1386.29,1450.09,1526.40,1455.14,1413.49,1457.20,1408.60,1565.10,1617.00,1583.68,1552.63,2481.97,2361.70,2209.71,2101.12
山西省,,970.13,868.90,875.63,943.18,910.41,1001.46,922.74,877.97,833.99,778.70,734.70,747.70,744.00,746.40,733.94,1029.34,998.79,1015.77,1067.97
内蒙古自治区,,6074.15,5975.89,6001.92,6111.93,5506.24,5777.80,5569.28,5239.21,5144.05,5275.95,5277.20,5197.20,5125.27,5063.29,5123.40,5419.99,5318.48,4450.15,3951.74
辽宁省,,809.50,783.60,772.80,792.61,889.58,908.66,793.50,735.44,721.80,725.60,733.49,717.00,678.70,675.93,673.90,995.62,1204.54,1076.86,446.00
吉林省,,457.35,402.35,396.59,399.85,438.44,452.89,410.82,396.20,393.91,391.57,398.79,422.90,406.60,457.25,424.24,430.01,410.00,392.00,372.32
黑龙江省,,811.22,767.17,772.72,835.18,864.35,895.69,856.84,817.77,898.31,915.68,893.21,897.70,849.18,821.26,777.56,1180.30,1153.57,1029.50,749.10
上海市,,12.96,12.98,13.72,19.56,25.64,30.53,28.08,26.11,25.61,24.40,24.46,25.08,23.92,10.96,11.46,30.10,61.92,62.00,47.00
江苏省,,352.86,356.23,390.21,398.50,404.30,417.50,413.80,403.07,400.61,415.57,411.15,426.50,410.69,404.67,444.88,1174.99,1196.89,1205.14,1147.02
浙江省,,140.14,117.46,125.88,133.80,113.08,113.37,111.42,109.97,107.18,109.45,111.67,111.55,111.35,111.90,123.92,222.35,256.72,262.90,258.61
安徽省,,597.87,548.14,500.59,505.11,655.98,688.34,642.75,605.28,592.19,591.60,590.50,584.20,560.28,535.99,551.43,921.26,953.85,1049.92,948.65
福建省,,105.90,105.69,95.32,89.03,127.99,127.73,121.44,115.84,110.81,107.58,106.24,103.39,96.59,81.82,80.37,136.00,128.94,123.77,106.40
江西省,,123.46,110.24,100.26,95.28,61.21,58.21,57.34,56.23,54.60,53.90,55.80,57.26,61.10,55.55,57.09,105.25,107.35,103.67,73.90
山东省,,1501.65,1837.44,1801.41,1754.05,2197.65,2235.66,2174.56,2158.05,2163.81,2150.90,2138.88,2096.94,2142.88,2342.25,2368.26,3404.82,3286.77,3133.67,3039.45
河南省,,1965.12,1898.81,1734.07,1682.02,1858.59,1926.00,1886.00,1830.30,1827.70,1865.00,1895.40,1997.24,2038.00,1940.85,1913.90,3988.00,3910.00,3315.80,3378.02
湖北省,,533.26,553.35,546.79,543.53,470.86,465.70,469.89,462.91,435.06,421.98,401.66,413.23,376.21,304.87,282.63,337.66,343.63,327.11,301.94
湖南省,,761.20,712.20,668.30,661.71,529.17,546.10,529.00,512.50,500.81,512.60,509.60,521.11,503.14,501.64,499.14,711.26,671.08,588.37,483.00
广东省,,94.31,93.57,92.96,93.30,42.65,41.50,39.84,39.34,40.18,40.56,37.01,37.16,36.29,35.45,34.52,39.20,32.23,27.76,31.24
广西壮族自治区,,239.19,231.21,223.50,222.39,203.66,202.64,201.63,202.16,203.59,198.24,193.40,190.00,176.44,155.11,151.40,259.96,278.06,246.57,232.43
海南省,,65.91,67.56,68.85,68.40,67.08,66.68,67.97,68.34,66.03,70.05,69.92,71.79,70.79,55.21,58.61,88.87,90.13,93.86,94.81
重庆市,,323.07,318.79,323.16,326.95,216.78,225.58,209.58,185.23,181.15,176.73,168.41,142.29,129.53,121.33,121.86,303.61,285.62,245.09,213.03
四川省,,1524.78,1504.08,1462.90,1599.26,1761.30,1782.28,1750.75,1689.19,1671.90,1661.72,1658.50,1723.94,1720.80,1710.45,1630.25,1587.28,1479.00,1370.20,1329.00
贵州省,,382.38,380.25,401.53,383.47,349.24,354.67,337.40,299.59,290.09,256.49,261.10,252.98,231.24,222.34,218.42,448.33,420.98,391.90,360.74
云南省,,1350.66,1307.01,1268.85,1240.20,1043.68,1057.42,1008.03,929.06,913.50,900.89,877.94,877.59,843.27,825.82,793.42,976.93,853.16,809.56,784.13
