数据库：分省年度数据
指标：牛奶产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,24.24,26.41,31.06,37.42,45.70,57.22,59.48,61.46,65.05,63.98,64.08,67.39,66.38,62.24,61.93,64.20,70.04,63.29,55.10
天津市,,50.07,47.37,48.04,52.05,68.02,68.00,68.90,68.24,67.87,69.09,69.04,68.29,69.75,67.21,68.28,63.41,54.24,43.23,33.60
河北省,,483.40,428.68,384.81,381.01,440.49,473.14,487.77,458.00,470.37,458.90,439.76,451.50,504.51,489.44,407.62,340.35,266.46,197.90,136.90
山西省,,117.01,91.81,81.06,77.39,95.09,91.87,96.20,86.21,79.97,74.60,73.23,72.50,68.18,81.18,81.06,71.28,61.15,53.24,44.70
内蒙古自治区,,611.48,577.20,565.57,552.86,734.12,803.20,788.02,767.30,910.20,908.20,905.18,903.10,912.23,909.84,869.16,691.05,497.87,308.02,165.20
辽宁省,,136.70,133.90,131.80,119.71,143.06,140.25,131.20,120.88,124.75,124.50,121.22,110.00,101.20,105.10,93.70,74.88,58.45,42.69,28.10
吉林省,,39.26,39.90,38.83,33.98,52.85,52.33,49.31,47.58,49.10,45.24,43.52,44.50,39.74,47.31,34.50,29.40,25.32,22.68,18.00
黑龙江省,,500.16,465.24,455.91,465.21,545.95,570.48,556.58,518.23,559.94,543.10,552.49,528.70,508.36,508.36,460.30,440.24,374.48,300.47,235.80
上海市,,29.09,29.74,33.44,36.37,26.04,27.69,27.05,26.53,30.18,29.08,24.71,21.25,23.29,22.04,22.09,23.76,25.20,27.05,28.00
江苏省,,62.95,62.36,50.03,49.04,59.01,59.59,60.72,59.89,61.30,59.17,57.28,55.40,61.05,60.24,58.36,56.62,53.61,49.78,45.30
浙江省,,18.33,15.48,15.73,14.31,15.30,16.50,15.90,18.21,19.27,19.91,20.26,19.93,22.51,23.71,25.48,26.67,25.95,24.73,22.20
安徽省,,37.64,33.76,30.80,29.84,32.68,30.63,27.87,25.34,24.09,22.51,20.48,20.10,18.09,18.09,12.80,11.02,10.19,9.01,7.40
福建省,,16.93,14.46,13.82,13.11,15.45,14.95,14.97,14.93,15.04,15.47,15.41,15.20,14.49,16.27,17.05,19.42,20.80,19.19,13.80
江西省,,9.11,7.28,9.63,9.49,13.45,13.00,12.85,12.25,12.60,11.80,11.40,11.20,11.19,11.22,13.87,12.51,11.60,10.89,7.90
山东省,,241.42,228.04,225.11,223.54,268.40,275.38,279.60,271.43,283.92,268.87,253.05,236.28,230.51,218.99,215.80,187.07,160.88,124.39,90.30
河南省,,210.05,204.07,202.65,202.86,326.80,342.20,332.00,316.42,316.10,306.60,290.91,281.89,279.10,215.61,147.68,104.00,74.50,49.60,36.00
湖北省,,13.39,13.38,12.81,12.76,16.86,16.85,16.10,15.40,15.34,14.22,13.99,15.51,15.51,15.51,13.88,12.22,11.67,11.07,10.10
湖南省,,5.60,6.30,6.20,6.05,10.10,9.70,9.30,8.90,8.50,8.10,7.80,7.67,7.67,7.67,7.27,6.91,6.66,5.25,3.00
广东省,,15.10,13.92,13.89,13.88,12.95,12.95,13.51,13.76,13.64,14.23,14.23,14.03,12.96,12.63,12.17,11.64,10.94,10.55,10.80
广西壮族自治区,,11.18,8.71,8.87,8.14,9.66,10.06,9.65,9.56,9.36,8.88,8.21,8.07,7.50,6.95,6.27,5.35,4.82,3.82,3.10
海南省,,0.26,0.23,0.19,0.50,0.22,0.23,0.23,0.23,0.23,0.19,0.19,0.18,0.24,0.14,0.09,0.11,0.10,0.06,0.04
重庆市,,3.21,4.19,4.89,5.06,5.45,5.45,5.69,6.80,7.73,8.00,7.98,7.94,7.78,8.71,8.35,8.61,8.51,9.06,8.10
四川省,,68.01,66.74,64.24,63.70,62.76,67.48,70.81,70.63,71.71,71.20,69.81,68.17,66.08,64.98,62.04,58.56,52.61,45.44,38.90
贵州省,,5.25,5.29,4.58,4.40,6.39,6.20,5.71,5.45,5.10,4.85,4.59,4.49,4.27,4.06,4.09,3.75,3.56,3.38,2.50
云南省,,67.29,59.87,58.21,56.83,56.93,55.00,58.20,54.51,53.70,52.39,50.41,48.38,44.67,42.35,36.40,30.91,26.86,21.75,17.50
西藏自治区,,44.89,42.39,36.44,37.06,29.73,30.04,28.99,26.97,25.56,23.80,23.28,22.98,22.98,22.98,21.57,21.21,20.29,19.63,19.00
陕西省,,108.65,107.77,109.75,107.28,140.20,141.19,144.67,141.09,141.76,140.50,137.46,149.20,149.02,149.02,127.36,113.34,96.19,74.21,54.00
甘肃省,,57.50,44.10,40.50,40.40,40.00,39.31,39.60,38.50,37.97,37.01,36.28,37.66,34.69,34.69,35.91,31.19,25.51,22.18,16.80
青海省,,36.58,34.87,32.57,32.43,33.00,31.50,30.50,27.55,27.55,26.96,26.22,25.31,25.28,24.98,23.80,23.62,22.75,22.14,22.00
宁夏回族自治区,,215.34,183.36,168.29,160.07,139.47,136.53,135.74,104.19,103.49,96.00,84.55,81.14,89.22,77.45,64.73,57.85,46.06,38.59,30.70
新疆维吾尔自治区,,200.04,204.42,194.85,191.86,156.08,155.77,147.53,134.99,132.21,130.50,128.60,120.88,137.36,196.23,179.81,152.22,133.32,113.00,94.90
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
