数据库：分省年度数据
指标：绵羊毛产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,8.10,23.13,37.38,54.42,104.38,176.90,260.40,270.70,288.20,296.20,339.00,378.00,634.00,807.00,903.00,1132.00,1260.00,1245.00,1380.00
天津市,,277.71,139.43,179.44,,412.21,707.28,837.78,574.86,511.00,518.00,467.00,603.00,593.00,587.00,1060.00,831.00,820.00,1186.00,1110.00
河北省,,16882.63,19095.85,20816.27,23157.89,35272.00,36308.00,36145.00,33105.00,30663.00,28748.00,29290.00,34588.00,34147.00,32051.00,33254.00,36466.00,31678.00,30004.00,28657.00
山西省,,8012.80,7792.20,7957.90,8072.01,8979.39,9195.38,8596.31,8184.74,7832.82,6855.07,7093.79,5865.70,5668.00,4486.00,8235.00,8805.00,8632.00,8401.00,7685.00
内蒙古自治区,,117124.83,114874.72,118178.85,126681.83,132925.41,127186.51,121525.00,110532.00,104190.00,106599.49,107452.00,102027.00,96385.00,98321.00,98195.00,94902.00,85670.00,69255.00,58538.00
辽宁省,,5855.72,4491.99,7607.26,9036.52,9276.58,12779.88,14977.39,14987.90,14660.00,13471.00,12153.70,10136.02,11468.48,9410.58,9714.18,10412.04,10821.00,10587.00,9158.00
吉林省,,8526.45,9549.49,11430.18,16346.51,15645.00,15109.00,14261.43,18972.00,20273.59,23093.91,22801.23,22010.70,20736.50,20366.95,21500.00,19971.18,24566.00,24453.00,21675.00
黑龙江省,,21274.69,23610.00,25805.00,29741.00,27417.00,28959.00,28375.00,32129.00,31755.00,28952.00,27058.00,25309.00,23443.00,24929.00,25007.00,25734.00,24391.00,20606.00,17505.00
上海市,,1.00,2.39,3.20,7.00,3.60,11.38,10.56,11.26,33.88,49.00,44.00,44.20,35.00,17.00,9.62,14.53,23.00,45.00,68.00
江苏省,,308.56,299.99,344.30,289.06,348.00,366.00,359.00,345.00,340.00,326.00,349.60,351.37,751.62,774.77,907.00,640.00,672.00,646.00,746.00
浙江省,,905.50,1536.82,1687.20,1768.88,1950.72,2111.43,2042.08,1971.62,1971.90,1993.92,1873.38,1856.45,1881.00,1587.00,1814.00,2045.00,1768.00,1671.00,1637.00
安徽省,,194.30,132.00,132.00,231.00,216.00,127.00,169.00,158.92,145.00,148.00,164.00,153.00,189.00,179.00,159.00,129.00,140.00,126.00,131.00
福建省,,,,,,,,,,,,,,,,0.00,,,,
江西省,,21.50,,,,,,,,,,,,,,0.00,,,,
山东省,,2472.92,6840.14,6451.03,6974.35,8334.58,9194.12,9602.01,9640.41,9617.97,8922.72,9010.60,8660.33,10930.64,9626.00,18037.00,21581.00,20082.00,19761.00,19527.00
河南省,,3768.24,3649.34,4130.21,5764.90,5713.41,6892.28,7364.62,8263.00,8439.00,8250.00,8930.04,10418.97,10824.60,3958.00,11920.00,11462.00,11182.00,10680.00,8990.00
湖北省,,7.37,9.00,9.00,7.90,8.00,7.00,4.00,3.56,3.33,3.50,,3.10,0.60,2.00,2.00,4.00,9.00,20.00,23.00
湖南省,,,,,,,,,,,,,,8.00,3.00,3.00,3.00,3.00,3.00,3.00
广东省,,,,,,,,,,,,,,,,0.00,,,,
广西壮族自治区,,,,,,,,,,,,,,,,0.00,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,1.33,1.42,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,8.00
四川省,,4644.00,5519.00,5475.00,5840.08,6422.00,6375.00,6232.00,6106.00,7359.00,7152.00,7060.00,6949.00,6627.00,6552.00,6047.00,5801.00,5375.00,5059.00,4800.00
贵州省,,548.21,613.37,600.20,597.00,589.50,537.40,405.20,462.51,453.00,438.50,441.20,434.00,426.00,426.00,385.00,346.00,318.16,347.23,301.68
云南省,,1223.30,1317.00,1534.00,1607.00,1411.00,1369.00,1411.00,1741.48,1699.00,1602.00,1865.00,1744.00,1489.00,3862.00,1999.00,1959.08,1704.00,1758.00,1569.00
西藏自治区,,7419.27,7590.49,7967.72,7857.00,7771.32,7686.77,7607.29,8027.92,8768.31,8514.26,8171.75,8837.00,8658.99,9291.00,8920.02,8718.36,9125.00,8746.00,8472.00
陕西省,,3050.69,2962.85,3059.31,3107.60,5015.68,5934.47,7184.52,6854.00,6682.00,6074.63,6921.00,5655.00,3700.00,5121.00,5611.00,5868.00,5286.00,4187.00,3220.00
甘肃省,,33756.79,30453.93,29292.97,27529.63,29828.00,32152.00,31866.00,29991.00,29484.00,28993.00,27546.00,26127.00,24733.00,22365.00,21738.00,21134.00,20148.00,16976.00,15314.00
青海省,,14604.58,18245.00,17600.00,17834.00,17506.00,17365.00,17110.00,17928.00,18076.00,17537.00,16894.00,14573.00,14560.00,14551.00,16505.00,16501.00,16629.00,16483.00,15930.00
宁夏回族自治区,,8429.78,9981.00,9746.00,10898.00,10878.00,10048.00,10269.00,9237.00,8317.00,7612.00,6889.00,5674.00,5768.00,5040.00,7221.00,8936.00,8689.00,7389.00,6718.00
新疆维吾尔自治区,,74305.78,72389.70,76561.71,105945.74,101205.50,96862.35,92900.00,91620.00,88490.00,86918.00,83950.00,71600.00,84026.00,89152.56,89626.96,89772.40,84906.53,78419.00,74422.00
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
