数据库：分省年度数据
指标：山羊毛产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3.02,6.69,5.22,29.79,55.82,45.00,55.70,58.30,72.40,62.90,79.40,89.00,87.00,141.00,149.00,224.00,320.00,397.00,397.00
天津市,,1.88,1.18,1.92,4.91,3.13,1.58,1.37,2.95,2.00,2.00,2.00,1.00,1.00,1.00,6.00,68.00,67.00,95.00,97.00
河北省,,1862.55,1961.70,2360.32,2629.01,3088.00,3115.00,3153.00,2995.00,2698.00,2683.00,2728.00,2980.00,3503.00,3480.00,3783.00,3565.00,3760.00,4075.00,4666.00
山西省,,2436.24,1354.90,1428.60,1537.06,1637.64,1555.33,1448.90,1366.15,1432.06,1293.94,1284.74,1330.40,1742.00,1434.00,1764.00,1740.00,1687.00,1715.00,1702.00
内蒙古自治区,,5619.00,5385.53,6053.76,8775.01,10192.87,10262.43,10450.00,10154.00,12437.00,12561.21,12579.00,18455.00,9790.00,9303.00,7710.00,7558.00,6329.00,5793.00,5133.00
辽宁省,,1680.77,1335.17,1335.46,1325.34,1340.83,1390.28,1468.33,1558.23,1827.00,2169.00,2565.09,2735.57,2401.12,2030.29,1777.48,1679.61,1635.00,1393.00,1119.00
吉林省,,379.93,608.47,504.29,675.28,629.17,629.00,666.73,369.00,735.52,1011.30,756.14,1169.32,1069.30,904.28,470.00,425.00,401.00,401.00,362.00
黑龙江省,,826.68,1226.00,1202.00,1534.00,1786.00,1663.00,1487.00,1595.00,1479.00,1464.00,1724.00,1152.00,1344.00,980.00,921.00,874.00,712.00,713.00,251.00
上海市,,67.53,60.85,73.76,107.04,100.00,172.15,174.82,136.75,173.55,181.00,162.00,152.50,126.00,145.17,137.65,112.21,107.00,131.00,171.00
江苏省,,1.08,7.28,8.60,7.93,11.41,10.00,10.00,10.00,9.00,0.82,0.82,0.78,7.04,10.82,41.00,32.00,16.00,10.00,8.00
浙江省,,76.90,349.40,391.89,414.78,454.39,410.00,295.00,282.47,418.02,424.03,441.49,437.63,411.00,487.00,521.00,552.00,603.00,70.65,560.00
安徽省,,17.91,25.00,23.00,56.00,60.00,54.00,92.00,83.69,145.00,127.00,115.00,119.00,158.00,132.00,189.00,193.00,105.00,93.00,83.00
福建省,,,,,,,,,,,,,,,,0.00,,,10.00,10.00
江西省,,122.86,,,,,,,,,,,,,,0.00,,,,
山东省,,346.58,2190.28,2696.66,2740.30,3339.39,3750.80,3898.99,3931.07,4237.17,4083.21,4585.86,4576.26,4463.08,5148.51,5868.00,6291.00,8553.00,8791.00,8774.00
河南省,,2492.23,2467.02,2406.10,2868.98,2950.89,3095.64,4816.54,6213.00,5849.00,5770.00,5235.38,4887.02,6220.54,3015.00,3175.00,2873.00,2731.00,2639.00,2421.00
湖北省,,43.24,48.00,48.00,9.25,105.00,104.00,74.00,73.42,74.86,4.90,14.00,10.70,9.87,49.40,91.40,16.00,15.00,452.00,30.00
湖南省,,11.81,2.01,2.00,2.19,4.00,3.00,5.00,5.00,4.00,3.00,2.00,2.00,8.00,7.00,14.00,13.00,7.00,10.00,8.00
广东省,,,3.00,6.00,6.00,3.00,2.00,2.00,4.00,3.00,6.00,6.00,5.00,3.00,3.00,6.00,23.00,9.00,11.00,8.00
广西壮族自治区,,0.24,,,,,,,,,,,,,,0.00,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,2.00,2.00,3.00,,,,,8.00,2.00,2.00,11.00,4.00
四川省,,419.00,569.00,558.00,524.05,593.00,583.00,271.00,695.18,535.00,510.00,461.00,516.00,555.00,690.00,579.00,495.00,426.00,412.00,433.00
贵州省,,69.63,77.09,84.60,84.00,78.30,70.40,59.79,58.00,66.00,158.10,53.00,38.00,13.00,23.00,22.00,10.00,30.00,27.00,36.08
云南省,,78.70,103.00,102.00,110.00,96.00,96.00,87.00,632.44,149.00,155.00,70.00,104.00,86.00,76.00,101.00,63.28,75.00,100.00,92.00
西藏自治区,,740.63,843.53,937.24,1029.64,834.27,826.01,841.79,825.29,1428.54,1582.04,1305.87,1224.00,1375.14,1160.00,1230.84,1225.68,1153.00,1181.00,1468.00
陕西省,,1700.54,1690.05,1747.31,1744.00,2326.02,2371.85,2868.55,3113.47,2881.00,2248.52,2320.00,2152.00,1692.00,1834.00,1764.00,1338.00,1230.00,1148.00,1055.00
甘肃省,,1419.22,1623.11,1620.51,1898.35,1986.00,1988.00,2141.00,2003.00,1906.00,1877.00,1696.00,1762.00,1711.00,1860.00,1948.00,1794.00,1633.00,1646.00,1573.00
青海省,,564.20,817.00,700.00,844.00,872.00,888.00,931.00,955.00,1073.00,1874.00,1083.00,805.00,809.00,827.00,1156.00,1151.00,1105.00,866.00,763.97
宁夏回族自治区,,876.63,718.00,786.00,835.00,784.00,853.00,846.00,844.00,796.00,623.00,535.00,349.00,521.00,441.00,471.00,519.00,787.00,843.00,873.00
新疆维吾尔自治区,,2174.59,1402.00,1881.71,3070.77,3057.98,3016.43,3900.00,3909.00,3491.00,3169.00,2909.00,4400.00,6300.00,4199.26,6609.00,4067.10,4229.14,3658.00,3361.00
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
