数据库：分省年度数据
指标：蜂蜜产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.13,0.12,0.10,0.19,0.20,0.16,0.23,0.28,0.26,0.33,0.30,0.28,0.31,0.23,0.27,0.33,0.30,0.32,0.28
天津市,,0.01,0.01,0.01,0.00,0.00,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01
河北省,,1.31,1.09,1.13,1.42,1.40,1.29,1.32,1.21,1.21,1.16,1.12,1.00,0.98,0.89,0.91,0.76,0.73,0.65,0.80
山西省,,0.89,0.69,0.61,0.58,0.50,0.51,0.46,0.46,0.43,0.41,0.32,0.30,0.31,0.29,0.27,0.28,0.27,0.28,0.25
内蒙古自治区,,0.24,0.19,0.36,0.46,0.51,0.44,0.22,0.24,0.24,0.32,0.42,0.45,0.46,0.43,0.39,0.46,0.34,0.27,0.23
辽宁省,,0.22,0.26,0.28,0.30,0.23,0.06,0.07,0.12,0.15,0.17,0.17,0.17,0.20,0.30,0.38,0.19,0.18,0.11,0.81
吉林省,,1.21,1.17,1.15,1.08,1.52,1.49,1.48,1.53,1.56,1.52,1.20,1.17,1.19,0.83,0.75,0.78,0.73,0.63,0.55
黑龙江省,,1.33,1.69,1.88,1.92,2.06,2.00,1.90,1.80,1.97,2.04,1.64,1.52,1.22,1.09,1.27,1.13,1.19,0.70,0.78
上海市,,0.07,0.07,0.07,0.10,0.11,0.08,0.09,0.11,0.09,0.08,0.05,0.04,0.04,0.04,0.07,0.05,0.05,0.10,0.07
江苏省,,0.61,0.37,0.47,0.35,0.44,0.48,0.45,0.41,0.40,0.41,0.51,0.51,0.90,0.66,0.74,0.71,0.60,0.63,0.65
浙江省,,5.02,6.56,6.63,16.35,9.17,8.79,8.77,8.00,8.76,7.83,7.21,8.81,8.53,8.96,8.60,7.93,7.39,8.14,6.97
安徽省,,1.70,1.79,2.10,1.78,1.74,1.67,1.94,2.01,1.89,1.83,1.64,1.63,1.50,1.43,1.28,1.13,1.12,1.16,1.16
福建省,,1.74,1.65,1.58,1.45,1.41,1.36,1.17,1.09,1.00,0.91,0.86,0.90,0.80,0.83,0.81,0.85,0.84,0.72,0.65
江西省,,2.29,2.01,1.82,1.49,1.58,1.57,1.56,1.39,1.29,1.28,1.15,1.12,1.01,0.85,0.85,1.14,1.04,0.96,0.85
山东省,,0.39,0.44,0.43,0.46,0.61,0.64,0.64,0.62,0.61,0.60,0.62,0.81,0.93,0.91,0.85,0.83,0.84,1.03,1.01
河南省,,6.89,6.11,6.14,7.15,8.78,9.40,9.54,9.91,9.96,9.97,9.83,10.09,10.25,6.03,5.03,2.74,4.05,3.82,2.54
湖北省,,2.02,2.29,2.34,2.78,2.42,2.74,2.65,2.33,2.01,2.32,1.54,0.92,0.71,0.99,0.88,0.79,0.82,0.84,0.76
湖南省,,1.25,1.12,1.02,0.99,1.29,1.30,1.27,1.18,1.12,1.10,1.08,1.00,0.98,1.11,1.03,1.00,1.00,0.87,0.96
广东省,,2.56,2.57,2.43,2.26,2.15,2.05,1.92,1.77,1.64,1.61,1.55,1.44,1.32,1.45,1.39,1.37,1.24,1.26,1.27
广西壮族自治区,,2.60,1.84,1.61,1.50,1.42,1.36,1.31,1.24,1.16,0.98,0.93,,0.81,0.86,0.79,0.78,0.70,0.63,0.64
海南省,,0.12,0.11,0.11,0.13,0.10,0.10,0.09,0.07,0.07,0.07,0.07,0.06,0.07,0.08,0.08,0.07,0.08,0.05,0.05
重庆市,,2.35,2.08,2.20,2.30,2.01,1.90,1.79,1.57,1.38,1.24,1.19,1.08,1.03,0.85,0.68,0.63,0.62,0.60,0.49
四川省,,6.27,5.53,5.43,5.77,4.88,4.80,4.72,4.54,4.76,4.33,4.30,4.50,4.19,4.20,3.89,3.47,3.26,3.29,2.94
贵州省,,0.43,0.40,0.38,0.36,0.31,0.30,0.25,0.25,0.21,0.20,0.19,0.20,0.31,0.20,0.23,0.17,0.18,0.14,0.17
云南省,,1.00,1.14,1.20,1.12,1.12,1.02,0.98,0.73,0.75,0.74,0.65,0.69,0.63,0.62,0.67,0.65,0.67,0.68,0.64
西藏自治区,,0.01,0.01,0.00,,,,0.00,0.01,0.01,0.01,,,,,0.03,0.03,0.01,0.01,0.00
陕西省,,0.81,0.69,0.57,0.56,0.74,0.66,0.63,0.53,0.50,0.45,0.43,0.41,0.49,0.38,0.33,0.29,0.28,0.31,0.29
甘肃省,,0.55,0.49,0.39,0.22,0.19,0.17,0.15,0.12,0.10,0.09,0.09,0.09,0.11,0.13,0.13,0.12,0.13,0.15,0.14
青海省,,0.01,0.02,0.16,0.15,0.15,0.15,0.15,0.15,0.10,0.10,0.11,0.10,0.10,0.06,0.05,0.05,0.07,0.05,0.05
宁夏回族自治区,,0.06,0.14,0.11,0.11,0.10,0.10,0.10,0.10,0.09,0.09,0.08,0.08,0.08,0.05,0.06,0.10,0.08,0.06,0.10
新疆维吾尔自治区,,1.73,1.76,1.96,0.94,0.99,1.10,0.97,1.28,1.13,0.95,0.86,0.77,0.55,0.59,0.55,0.49,0.48,0.39,0.35
注：2000-2006年全国畜牧数据与农业普查数据已作衔接，2000-2005年分地区畜牧数据未作衔接，分省合计数与全国数据不相等。
数据来源：国家统计局
