数据库：分省年度数据
指标：捕捞产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,9111.00,,,16865.00,21104.00,17313.00,10699.00,13402.00,11471.00,13184.00,7898.00,11211.00,6130.00,,,,,
天津市,,,40082.00,,,70640.00,77410.00,77306.00,78797.00,38776.00,36074.00,34441.00,34137.00,33204.00,39131.27,40481.60,50163.00,49276.00,52887.00,57630.00
河北省,,,282361.00,,,398096.00,357168.00,341275.00,328139.00,350163.00,351059.00,345539.00,341050.00,334424.00,327508.08,331014.73,396242.00,393427.00,383615.00,390221.00
山西省,,,2267.00,,,1101.00,1074.00,1060.00,1122.00,1122.00,1121.00,831.00,749.00,890.00,1200.85,1181.08,1433.00,2084.00,269.00,218.00
内蒙古自治区,,,14052.00,,,29303.00,29364.00,29918.00,31009.00,31133.00,30468.00,30671.00,29586.00,27929.00,29429.00,29536.00,29254.00,29014.00,28184.00,31868.00
辽宁省,,,791137.00,,,1420973.00,1433810.00,1461988.00,1337940.00,1309225.00,1268721.00,1239452.00,1188428.00,1177734.00,1206813.59,1211721.42,1562820.00,1533461.00,1510192.00,1520203.00
吉林省,,,19125.00,,,19509.00,19654.00,20657.00,20852.00,20126.00,20087.00,19756.00,19186.00,20130.00,20521.00,24528.00,24911.00,27783.00,19298.00,23398.00
黑龙江省,,,40000.00,,,54551.00,57169.00,54138.00,51560.00,51946.00,54203.00,46885.00,43149.00,41795.00,38736.89,38801.49,50762.00,53568.00,47810.00,52197.00
上海市,,,196722.00,,,144247.00,173080.00,172992.00,128666.00,135028.00,127248.00,127199.00,161119.00,180986.00,160169.46,173080.56,153151.00,136839.00,137242.00,122384.00
江苏省,,,747009.00,,,886050.00,913725.00,893637.00,901860.00,914072.00,912116.00,911658.00,890741.00,899974.00,895126.55,896666.44,911901.00,902180.00,933760.00,886146.00
浙江省,,,3325616.00,,,3976371.00,4025395.00,3866342.00,3655968.00,3550673.00,3363415.00,3078752.00,2863853.00,2626178.00,2601047.63,2766577.62,3235886.00,3311320.00,3227127.00,3323204.00
安徽省,,,205079.00,,,308754.00,316388.00,328456.00,325049.00,323494.00,319290.00,315877.00,307285.00,310113.00,311745.27,295341.96,378756.00,357559.00,404620.00,328103.00
福建省,,,2199222.00,,,2417845.00,2409521.00,2326974.00,2252914.00,2225633.00,2184912.00,2170909.00,2105985.00,2059071.00,1999196.96,1969426.12,2306663.00,2317846.00,2296209.00,2197343.00
江西省,,,167567.00,,,275390.00,264044.00,259832.00,260620.00,264866.00,244298.00,292513.00,227510.00,241354.00,222626.70,215294.81,248929.00,231619.00,230947.00,229781.00
山东省,,,2180391.00,,,2937686.00,2853967.00,2774219.00,2570493.00,2637611.00,2647815.00,2631598.00,2577933.00,2610856.00,2565964.13,2476960.21,2803602.00,2805630.00,2781602.00,2799318.00
河南省,,,112255.00,,,70597.00,51130.00,49310.00,46817.00,41567.00,38357.00,32350.00,30597.00,29610.00,26548.49,25227.07,34569.00,28604.00,26163.00,21482.00
湖北省,,,161750.00,,,190167.00,191002.00,208068.00,213035.00,213080.00,205971.00,263654.00,262154.00,302637.00,363924.90,364032.28,450484.00,393660.00,404266.00,389319.00
湖南省,,,80905.00,,,108305.00,108939.00,107744.00,104606.00,104952.00,96375.00,96668.00,110186.00,159525.00,154492.79,146042.70,185190.00,170303.00,175582.00,170346.00
广东省,,,1372585.00,,,1648569.00,1684408.00,1687851.00,1683846.00,1696701.00,1654913.00,1652942.00,1651851.00,1663205.00,1619887.02,1654041.16,1850739.00,1840288.00,1949901.90,1980269.00
广西壮族自治区,,,659995.00,,,803270.00,793402.00,787988.00,785239.00,800145.00,792680.00,783944.00,780329.00,770390.00,770852.28,764540.37,958934.00,909480.00,956326.00,961801.00
海南省,,,1096229.00,,,1430472.00,1384011.00,1242164.00,1142801.00,1130702.00,1071315.00,1014225.00,980357.00,958663.00,925183.95,860009.80,1104054.00,1015153.00,918280.00,811688.00
重庆市,,,17601.00,,,20379.00,20358.00,20333.00,14800.00,14898.00,12955.00,10955.00,9880.00,9862.00,9834.25,8839.65,13005.00,12912.00,12238.00,12317.00
四川省,,,38854.00,,,58638.00,59648.00,60160.00,60000.00,60321.00,59191.00,58030.00,57679.00,58122.00,62209.26,57185.63,69112.00,61295.00,56853.00,50154.00
贵州省,,,10599.00,,,14063.00,13902.00,13900.00,14000.00,14286.00,13698.00,12062.00,11041.00,11391.00,11274.91,8887.42,12250.00,10855.00,9303.00,8411.00
云南省,,,30363.00,,,66865.00,58138.00,46881.00,38247.00,28322.00,24117.00,23121.00,23435.00,23697.00,21227.65,20846.46,25844.00,25370.00,24030.00,23554.00
西藏自治区,,,310.00,,,832.00,279.00,279.00,335.00,335.00,369.00,428.00,408.00,404.00,441.00,441.00,91.79,512.00,61.00,113.00
陕西省,,,5012.00,,,7220.00,7200.00,6000.00,5400.00,4754.00,7088.00,4235.00,4154.00,4064.00,3641.74,2854.70,6065.00,3886.00,2951.00,2856.00
甘肃省,,,,,,,,,,,,,,759.00,739.95,727.14,1270.00,880.00,1162.00,594.00
青海省,,,,,,,,,,60.00,63.00,35.00,40.00,30.00,53.12,53.12,62.00,60.00,58.00,79.00
宁夏回族自治区,,,8127.00,,,416.00,392.00,344.00,230.00,218.00,200.00,190.00,194.00,182.00,152.71,846.75,385.00,398.00,314.00,247.00
新疆维吾尔自治区,,,14726.00,,,13985.00,10794.00,13126.00,13153.00,12693.00,13501.00,10150.00,9174.00,11383.00,11170.98,12939.49,13749.00,12733.00,13094.00,9578.00
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
