数据库：分省年度数据
指标：养殖产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,21079.00,,,37423.00,45043.00,50871.00,52912.00,50440.00,49757.00,50202.00,50263.00,49550.00,54208.95,62438.00,64258.00,66753.00,71249.00,74168.00
天津市,,,222149.00,,,323720.00,323555.00,330938.00,319765.00,326266.00,316074.00,310484.00,299907.00,289296.00,272405.00,299712.00,287952.00,260757.00,245370.00,227934.00
河北省,,,707755.00,,,971171.00,939909.00,922666.00,902497.00,813009.00,716072.00,717761.00,663050.00,631976.00,578928.42,669754.00,593219.00,530361.00,479100.00,480350.00
山西省,,,44040.00,,,51178.00,51353.00,50188.00,44499.00,40121.00,35016.00,30869.00,30251.00,29810.00,28373.59,41814.00,36109.00,33280.00,30798.00,29008.00
内蒙古自治区,,,111904.00,,,128995.00,124161.00,118031.00,110312.00,100442.00,92432.00,83133.00,76393.00,70283.00,64136.00,57010.00,53354.00,48243.00,44610.00,45839.00
辽宁省,,,3758969.00,,,4079721.00,3878955.00,3794731.00,3712312.00,3477043.00,3245972.00,3064322.00,2817622.00,2598771.00,2405894.02,2881406.00,2690568.00,2491870.00,2309653.00,2228106.00
吉林省,,,217501.00,,,181174.00,175546.00,169468.00,164975.00,161974.00,152729.00,146202.00,145998.00,134870.00,131089.00,106235.00,94019.00,92038.00,89450.00,81744.00
黑龙江省,,,608300.00,,,518404.00,485199.00,459396.00,437055.00,400894.00,365482.00,352815.00,337551.00,314005.00,303769.34,415925.00,395208.00,376498.00,371105.00,365589.00
上海市,,,83555.00,,,151954.00,151289.00,157468.00,160121.00,162104.00,160066.00,162479.00,147867.00,142414.00,159830.00,187621.00,200388.00,207266.00,217545.00,204521.00
江苏省,,,4094150.00,,,4321398.00,4296742.00,4293866.00,4191984.00,4023327.00,3847553.00,3692771.00,3541495.00,3350031.00,3194777.13,3138830.00,2974654.00,2759105.00,2495542.00,2458021.00
浙江省,,,2441611.00,,,2069033.00,1952946.00,1875392.00,1852218.00,1845133.00,1794683.00,1700750.00,1539281.00,1561722.00,1550293.29,1641201.00,1601783.00,1623968.00,1601079.00,1483633.00
安徽省,,,2109524.00,,,2049210.00,1987873.00,1908408.00,1830292.00,1751444.00,1676215.00,1617241.00,1524177.00,1412736.00,1352788.17,1514917.00,1396965.00,1355700.00,1248025.00,1305754.00
福建省,,,5946541.00,,,5260001.00,4929448.00,4631387.00,4331888.00,4061193.00,3852473.00,3698658.00,3569221.00,3360929.00,3320752.81,3744014.00,3715504.00,3594271.00,3431516.00,3389799.00
江西省,,,2420568.00,,,2440756.00,2378446.00,2276781.00,2165840.00,2105141.00,1928402.00,1860892.00,1782993.00,1662508.00,1583929.87,1570764.00,1437719.00,1331808.00,1229697.00,1152235.00
山东省,,,6052333.00,,,6564170.00,6458726.00,6263163.00,6061106.00,5781326.00,5490465.00,5206661.00,4958006.00,4692149.00,4567830.97,4756914.00,4557779.00,4375890.00,4280642.00,4150818.00
河南省,,,878603.00,,,1212949.00,972600.00,868330.00,803313.00,675643.00,616373.00,546200.00,507053.00,476150.00,430245.58,576495.00,482211.00,398354.00,363337.00,340697.00
湖北省,,,4533682.00,,,4518227.00,4367861.00,4124940.00,3890697.00,3676396.00,3356227.00,3267281.00,3076742.00,2831300.00,2616509.21,2886744.00,2731581.00,2627640.00,2463377.00,2331074.00
湖南省,,,2463211.00,,,2587376.00,2484837.00,2373876.00,2235989.00,2109424.00,1902978.00,1883332.00,1770414.00,1626374.00,1546395.20,1678076.00,1606974.00,1490745.00,1390365.00,1325249.00
广东省,,,7291432.00,,,7089324.00,6897815.00,6675555.00,6477422.00,6198303.00,5970419.00,5637357.00,5374100.00,5140916.00,5023469.87,5422482.00,5101607.00,4805358.00,4535563.00,4300366.00
广西壮族自治区,,,2761464.00,,,2814383.00,2665847.00,2535968.00,2408205.00,2238555.00,2099658.00,1971109.00,1842464.00,1729448.00,1689706.79,2005550.00,1883001.00,1779399.00,1689811.00,1589655.00
海南省,,,625342.00,,,715907.00,664901.00,732193.00,688622.00,596638.00,531130.00,480575.00,474542.00,435337.00,397539.98,470084.00,396075.32,343331.00,312410.00,281263.00
重庆市,,,524116.00,,,488048.00,460505.00,423076.00,370200.00,315822.00,262645.00,213345.00,194020.00,180738.00,175426.22,213944.00,237563.00,221222.00,212655.00,199251.00
四川省,,,1538002.00,,,1395750.00,1327202.00,1266189.00,1200578.00,1128781.00,1062273.00,992605.00,943638.00,893924.00,848316.96,1006424.00,913378.00,799855.00,707194.00,598282.00
贵州省,,,233024.00,,,275827.00,235860.00,196040.00,152997.00,120389.00,95104.00,75838.00,69259.00,66609.00,65522.86,98332.00,82339.00,77620.00,70284.00,66156.00
云南省,,,606137.00,,,676798.00,638960.00,535132.00,448053.00,372878.00,318283.00,274636.00,247782.00,230932.00,215359.35,262989.00,212644.00,195128.00,180278.00,169010.00
西藏自治区,,,96.00,,,80.00,61.00,61.00,65.00,65.00,43.00,72.00,92.00,96.00,87.00,87.00,0.90,36.00,28.00,29.00
陕西省,,,161196.00,,,151780.00,147960.00,133320.00,119750.00,100675.00,74712.00,56138.00,51846.00,48136.00,46681.11,74781.00,67528.00,69800.00,63731.00,61253.00
甘肃省,,,14353.00,,,15333.00,14932.00,14476.00,13884.00,13340.00,12879.00,12300.00,11926.00,11011.00,10708.00,15329.00,14405.00,13659.00,13182.00,14163.00
青海省,,,18526.00,,,12050.00,10578.00,9037.00,6000.00,4460.00,3230.00,1565.00,1360.00,1420.00,1470.63,1985.00,816.00,1417.00,1195.00,1717.00
宁夏回族自治区,,,149533.00,,,174175.00,169335.00,162244.00,144700.00,123320.00,105222.00,89845.00,81650.00,74955.00,70286.03,66429.00,57934.00,56143.00,50070.00,48329.00
新疆维吾尔自治区,,,152032.00,,,147616.00,140567.00,130881.00,118551.00,109007.00,98063.00,90913.00,85863.00,79817.00,76575.00,71218.00,65571.00,59506.00,54184.00,54328.00
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
