数据库：分省年度数据
指标：虾蟹类产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,24.00,36.00,47.00,121.00,116.00,160.00,165.00,241.00,338.00,414.00,605.00,519.00,455.00,599.00,492.00
天津市,,,41841.00,,,54712.00,52374.00,53360.00,63252.00,73174.00,66921.00,65902.00,65723.00,59791.00,59766.00,51939.00,39810.00,37221.00,28637.00,21601.00
河北省,,,97239.00,,,109810.00,108700.00,107310.00,116632.00,115476.00,100221.00,106607.00,99382.00,105326.00,98050.00,124281.00,118753.00,121362.00,116419.00,111551.00
山西省,,,218.00,,,128.00,130.00,127.00,108.00,109.00,79.00,93.00,90.00,91.00,167.00,282.00,42.00,34.00,12.00,4.00
内蒙古自治区,,,1248.00,,,1240.00,1070.00,1273.00,813.00,774.00,1243.00,1446.00,1397.00,1287.00,2092.00,3298.00,4347.00,2801.00,3294.00,1656.00
辽宁省,,,218232.00,,,339111.00,340669.00,341748.00,325115.00,317031.00,305839.00,287843.00,278329.00,270130.00,326352.00,399850.00,406133.00,403500.00,355418.00,403119.00
吉林省,,,4349.00,,,2812.00,2352.00,2024.00,1535.00,1284.00,714.00,595.00,653.00,696.00,804.00,744.00,822.00,487.00,470.00,370.00
黑龙江省,,,9951.00,,,6124.00,4808.00,4359.00,4346.00,4914.00,4765.00,5323.00,4943.00,4784.00,5525.00,9070.00,5936.00,4637.00,3229.00,1121.00
上海市,,,37948.00,,,57496.00,58166.00,66839.00,67815.00,73411.00,73241.00,77199.00,69322.00,70980.00,79017.00,90647.00,91076.00,82994.00,83409.00,68877.00
江苏省,,,1154093.00,,,1131288.00,1131678.00,1108009.00,1041181.00,974753.00,936157.00,900663.00,891539.00,855922.00,823314.00,763643.00,699127.00,668496.00,578031.00,579269.00
浙江省,,,1001452.00,,,1154400.00,1172781.00,1165001.00,1127234.00,1097227.00,988893.00,932667.00,880140.00,802766.00,845828.00,1034552.00,986367.00,959737.00,921579.00,963863.00
安徽省,,,543333.00,,,349839.00,326959.00,318361.00,309501.00,308606.00,299093.00,287587.00,273716.00,246607.00,231855.00,237242.00,203671.00,198142.00,187698.00,184724.00
福建省,,,595973.00,,,636905.00,606861.00,572322.00,528312.00,508933.00,462519.00,436302.00,407277.00,381885.00,358129.00,388475.00,392675.00,383164.00,406078.00,385424.00
江西省,,,213479.00,,,164215.00,156681.00,153367.00,154424.00,153418.00,138138.00,146630.00,122310.00,102017.00,93891.00,91981.00,69186.00,55981.00,51604.00,35626.00
山东省,,,512039.00,,,497787.00,483306.00,488597.00,493619.00,485601.00,487444.00,511646.00,506784.00,539058.00,543627.00,571269.00,526659.00,535139.00,536899.00,593612.00
河南省,,,77461.00,,,33124.00,25112.00,22524.00,20354.00,19054.00,16815.00,18130.00,17889.00,16783.00,14539.00,16223.00,14453.00,10311.00,10261.00,9704.00
湖北省,,,1126049.00,,,748715.00,696614.00,650876.00,570227.00,507490.00,400251.00,472778.00,400224.00,313330.00,255016.00,151457.00,112585.00,104976.00,104153.00,95532.00
湖南省,,,342148.00,,,92815.00,47223.00,31805.00,31391.00,30609.00,28977.00,27340.00,26833.00,30541.00,27645.00,30345.00,26809.00,25771.00,24360.00,28744.00
广东省,,,1101946.00,,,1087427.00,1033843.00,1013957.00,958826.00,935830.00,902577.00,844843.00,826240.00,759440.00,786506.00,751656.00,683408.00,644902.00,588046.30,508169.00
广西壮族自治区,,,480857.00,,,418899.00,396782.00,391212.00,375064.00,350804.00,325061.00,301632.00,294909.00,276821.00,275538.00,300442.00,281049.00,241899.00,214128.00,204458.00
海南省,,,200062.00,,,209943.00,196106.00,201105.00,186976.00,167917.00,151524.00,146418.00,141997.00,135970.00,166168.00,205197.00,189000.00,159514.00,142546.00,118420.00
重庆市,,,11014.00,,,4158.00,3413.00,2988.00,2215.00,1931.00,1553.00,1114.00,788.00,758.00,652.00,664.00,762.00,878.00,1238.00,591.00
四川省,,,38716.00,,,8675.00,8003.00,7763.00,7550.00,6919.00,7567.00,6860.00,6169.00,5923.00,5513.00,6029.00,5693.00,4774.00,4515.00,2580.00
贵州省,,,4203.00,,,3111.00,2759.00,2992.00,2310.00,1947.00,1714.00,1706.00,1484.00,1499.00,1316.00,2036.00,1827.00,1970.00,1591.00,1771.00
云南省,,,4781.00,,,5065.00,4722.00,4939.00,3381.00,3239.00,3180.00,2651.00,4561.00,4173.00,3914.00,5988.00,6267.00,6152.00,4980.00,6688.00
西藏自治区,,,,,,,,,,,,0.00,,,,,,,,
陕西省,,,2610.00,,,399.00,377.00,372.00,205.00,215.00,209.00,123.00,114.00,82.00,137.00,149.00,109.00,161.00,125.00,129.00
甘肃省,,,127.00,,,48.00,44.00,47.00,50.00,76.00,48.00,48.00,25.00,24.00,22.00,30.00,,43.00,,
青海省,,,229.00,,,167.00,140.00,136.00,125.00,105.00,77.00,74.00,26.00,39.00,27.00,23.00,,40.00,,
宁夏回族自治区,,,1323.00,,,1425.00,1329.00,2225.00,2024.00,1929.00,1144.00,870.00,520.00,517.00,675.00,170.00,11.00,27.00,20.00,83.00
新疆维吾尔自治区,,,4182.00,,,2201.00,1404.00,1174.00,1032.00,993.00,726.00,503.00,558.00,635.00,817.00,744.00,,610.00,,
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
