数据库：分省年度数据
指标：海水产品产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,21.08,19.05,0.17,0.90,1.35,1.70,1.32,0.70,0.96,0.75,0.90,0.39,0.72,0.61,,,,,
天津市,,4.28,4.01,4.87,4.86,6.97,7.56,7.72,7.87,4.16,3.83,3.90,3.95,3.86,4.44,4.50,4.90,4.86,5.09,5.28
河北省,,71.02,69.56,76.77,81.14,80.68,76.09,73.16,68.28,63.46,56.33,58.26,55.39,54.93,52.43,49.90,57.18,53.69,48.97,51.84
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,377.85,369.93,367.01,391.88,446.97,431.98,429.68,411.13,389.33,365.80,349.74,327.53,316.13,302.16,295.99,364.16,346.16,330.85,327.08
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,16.07,19.57,16.66,14.47,14.18,17.00,16.96,12.48,13.06,12.16,12.15,15.64,17.72,15.56,16.80,15.03,13.42,13.35,11.82
江苏省,,134.99,137.02,140.83,148.73,147.31,148.18,150.38,151.21,148.48,142.08,136.45,130.50,125.25,119.92,117.17,113.43,107.40,98.17,97.08
浙江省,,450.94,443.62,463.25,472.37,490.27,487.04,467.33,443.19,431.24,410.98,381.23,353.81,337.60,337.62,344.96,402.37,414.98,406.00,409.33
安徽省,,,,,,0.00,,,,,,,,,,,,,,
福建省,,740.49,723.53,696.82,662.46,665.29,636.32,603.38,571.68,546.61,526.16,512.80,495.81,476.05,466.47,461.48,531.88,523.27,507.87,494.78
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,718.09,706.21,736.07,737.17,794.95,774.70,746.13,699.46,686.07,664.72,646.33,626.39,609.47,598.07,578.33,626.11,612.10,604.15,598.26
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,450.53,455.49,449.17,451.81,466.38,459.23,450.60,442.40,432.34,418.23,401.50,387.15,376.81,373.12,373.59,397.95,381.79,379.21,374.36
广西壮族自治区,,200.92,199.49,194.42,191.90,187.32,179.72,174.44,170.98,164.79,159.32,154.45,149.02,144.06,143.32,141.09,173.96,165.81,168.74,166.42
海南省,,128.12,135.01,137.81,144.89,168.72,161.98,149.02,136.93,132.54,124.04,117.89,114.28,110.88,108.06,99.77,127.06,115.05,104.51,91.86
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,0.00,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,0.00,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,0.00,,,,
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
