数据库：分省年度数据
指标：海洋捕捞产量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,6661.00,,,13514.00,17000.00,13222.00,7008.00,9580.00,7532.00,8960.00,3913.00,7150.00,6130.00,,,,,
天津市,,,34925.00,,,58369.00,65094.00,65594.00,66464.00,27309.00,25037.00,24774.00,25388.00,24494.00,30185.00,32827.00,38038.00,37975.00,42091.00,44820.00
河北省,,,246838.00,,,295427.00,254447.00,239595.00,230539.00,252570.00,251761.00,253292.00,253317.00,253300.00,253195.00,313734.00,310753.00,311120.00,311128.00,317249.00
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,752022.00,,,1367026.00,1377857.00,1406300.00,1283693.00,1257664.00,1222774.00,1182672.00,1132120.00,1140353.00,1166194.00,1481696.00,1520371.00,1491192.00,1479639.00,1488365.00
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,195729.00,,,141833.00,169997.00,169594.00,124825.00,130585.00,121586.00,121464.00,156351.00,177204.00,155586.00,193987.00,149567.00,132008.00,130773.00,115802.00
江苏省,,,454947.00,,,568952.00,588314.00,567859.00,573336.00,579855.00,578432.00,579295.00,570009.00,578089.00,573519.00,584386.00,582813.00,589404.00,572315.00,606572.00
浙江省,,,3165807.00,,,3885036.00,3936966.00,3775390.00,3560186.00,3451070.00,3264905.00,2986602.00,2773510.00,2545219.00,2514920.00,3119084.00,3142573.00,3220358.00,3141511.00,3241799.00
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,2128121.00,,,2329056.00,2321917.00,2239549.00,2167826.00,2139480.00,2100130.00,2088992.00,2027864.00,1982728.00,1920960.00,2169678.00,2221438.00,2233279.00,2212006.00,2118278.00
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,2091101.00,,,2821702.00,2751340.00,2662236.00,2428240.00,2498303.00,2512437.00,2500702.00,2449591.00,2481213.00,2445466.00,2574098.00,2680834.00,2702130.00,2680831.00,2720554.00
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,1263587.00,,,1525686.00,1560126.00,1562026.00,1554002.00,1566073.00,1526511.00,1524344.00,1525341.00,1538310.00,1501581.00,1685640.00,1720459.00,1710884.00,1819063.00,1847227.00
广西壮族自治区,,,568945.00,,,658647.00,655028.00,653386.00,653388.00,670615.00,669421.00,667073.00,667684.00,664730.00,669591.00,839773.00,845786.00,799488.00,851042.00,862969.00
海南省,,,1079148.00,,,1407482.00,1360725.00,1220091.00,1121263.00,1109325.00,1050300.00,994715.00,961122.00,938789.00,907114.00,1165104.00,1079799.00,990365.00,895610.00,789122.00
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
