数据库：分省年度数据
指标：天然生产海水产品产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,21.08,19.05,0.17,0.90,1.35,1.70,1.32,0.70,0.96,0.75,0.90,,0.72,0.61,,,,,
天津市,,3.30,3.49,4.10,3.94,5.84,6.51,6.56,6.65,2.73,2.50,2.50,2.54,2.45,3.02,3.28,3.80,3.80,4.21,4.50
河北省,,22.21,24.68,27.78,28.22,29.54,25.44,23.96,23.05,25.26,25.18,25.30,25.33,25.33,25.32,31.37,31.08,31.11,31.11,31.70
山西省,,,,,,,,,,,,,,,,0.00,,,,
内蒙古自治区,,,,,,,,,,,,,,,,0.00,,,,
辽宁省,,71.37,75.20,80.65,83.74,136.70,137.79,140.63,128.37,125.77,122.28,118.30,113.21,114.04,116.62,148.17,152.04,149.12,147.96,148.80
吉林省,,,,,,,,,,,,,,,,0.00,,,,
黑龙江省,,,,,,,,,,,,,,,,0.00,,,,
上海市,,16.05,19.57,16.66,14.47,14.18,17.00,16.96,12.48,13.06,12.16,12.10,15.64,17.72,15.56,19.40,14.96,13.20,13.08,11.60
江苏省,,42.71,45.49,49.00,55.65,56.90,58.83,56.79,57.33,57.99,57.84,57.90,57.00,57.81,57.35,58.44,58.28,58.94,57.23,60.70
浙江省,,313.70,316.58,342.35,356.12,388.50,393.70,377.54,356.02,345.11,326.49,298.70,277.35,254.52,251.49,311.91,314.26,322.04,314.15,324.20
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,213.69,212.81,217.99,217.14,232.91,232.19,223.95,216.78,213.95,210.01,208.90,202.79,198.27,192.10,216.97,222.14,223.33,221.20,211.80
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,203.95,209.11,214.98,218.09,282.17,275.13,266.22,242.82,249.83,251.24,250.10,244.96,248.12,244.55,257.41,268.08,270.21,268.08,272.10
河南省,,,,,,,,,,,,,,,,0.00,,,,
湖北省,,,,,,,,,,,,,,,,0.00,,,,
湖南省,,,,,,,,,,,,,,,,0.00,,,,
广东省,,119.29,126.36,132.44,148.91,152.57,156.01,156.20,155.40,156.61,152.65,152.40,152.53,153.83,150.16,168.56,172.05,171.09,181.91,184.70
广西壮族自治区,,50.25,56.89,58.10,61.97,65.86,65.50,65.34,65.34,67.06,66.94,66.70,66.77,66.47,66.96,83.98,84.58,79.95,85.10,86.30
海南省,,101.46,107.91,108.39,112.73,140.75,136.07,122.01,112.13,110.93,105.03,99.50,96.11,93.88,90.71,116.51,107.98,99.04,89.56,78.90
重庆市,,,,,,,,,,,,,,,,0.00,,,,
四川省,,,,,,,,,,,,,,,,0.00,,,,
贵州省,,,,,,,,,,,,,,,,0.00,,,,
云南省,,,,,,,,,,,,,,,,0.00,,,,
西藏自治区,,,,,,,,,,,,,,,,0.00,,,,
陕西省,,,,,,,,,,,,,,,,0.00,,,,
甘肃省,,,,,,,,,,,,,,,,0.00,,,,
青海省,,,,,,,,,,,,,,,,0.00,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,0.00,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,0.00,,,,
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
