数据库：分省年度数据
指标：人工养殖淡水产品产量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.48,2.11,2.60,3.31,3.74,4.50,5.09,5.29,5.04,4.98,5.00,5.03,4.96,5.42,6.24,6.43,6.68,7.12,7.40
天津市,,23.73,21.70,27.22,26.92,31.24,31.30,31.93,30.75,31.20,30.28,29.60,28.58,27.52,25.82,28.33,27.70,25.01,23.66,22.00
河北省,,25.96,25.90,28.64,30.42,45.98,43.34,43.07,45.02,43.09,40.46,38.80,36.25,33.60,30.78,36.50,33.22,30.46,30.05,27.90
山西省,,4.52,4.40,4.55,5.09,5.12,5.14,5.02,4.45,4.01,3.50,3.10,3.03,2.98,2.84,4.18,3.61,3.33,3.08,2.90
内蒙古自治区,,10.66,11.19,11.82,12.78,12.90,12.42,11.80,11.03,10.04,9.24,8.30,7.64,7.03,6.41,5.70,5.34,4.82,4.46,4.60
辽宁省,,80.08,81.17,79.87,83.00,97.70,93.70,90.42,88.47,84.14,81.08,75.00,67.45,57.78,55.05,65.75,56.93,52.15,48.08,44.60
吉林省,,22.60,21.75,21.48,20.10,18.12,17.55,16.95,16.50,16.20,15.27,14.60,14.60,13.49,13.11,10.62,9.40,9.20,8.95,8.20
黑龙江省,,63.17,60.83,57.72,53.57,51.84,48.52,45.94,43.71,40.09,36.55,35.30,33.76,31.40,30.38,41.59,39.52,37.65,37.11,36.60
上海市,,8.24,8.36,9.43,12.28,15.20,15.13,15.75,16.01,16.21,16.01,16.20,14.79,14.24,15.98,18.72,19.96,20.50,21.48,20.20
江苏省,,329.26,317.89,325.29,328.10,341.72,340.32,335.79,325.32,311.84,300.51,290.80,280.65,267.56,256.91,253.25,242.32,227.45,208.61,209.40
浙江省,,121.63,117.13,113.30,110.73,105.13,101.95,97.75,98.05,98.38,94.97,87.50,77.47,73.09,68.90,75.51,72.07,69.45,68.26,63.20
安徽省,,218.01,210.95,199.05,190.11,204.92,198.79,190.84,183.03,175.14,167.62,161.70,152.42,141.27,135.28,151.49,139.70,135.57,124.80,130.60
福建省,,85.47,83.94,80.09,75.22,93.62,88.81,83.71,78.29,73.46,69.10,66.00,63.90,58.31,57.70,62.52,61.81,59.48,56.48,56.00
江西省,,255.47,242.06,233.54,227.95,244.08,237.84,227.68,216.58,210.51,192.84,186.10,178.30,166.25,158.39,157.08,143.77,133.18,122.97,115.20
山东省,,100.95,108.13,117.05,122.46,143.63,146.31,146.41,149.48,141.89,135.57,124.40,114.37,107.86,103.26,102.19,97.75,95.71,91.99,88.90
河南省,,86.91,87.86,87.55,83.53,121.29,97.26,86.83,80.33,67.56,61.64,54.60,50.71,47.62,43.02,57.65,48.22,39.84,36.33,34.10
湖北省,,460.40,453.37,440.30,436.13,451.82,436.79,412.49,389.07,367.64,335.62,326.70,307.67,283.13,261.65,288.67,273.16,262.76,246.34,233.10
湖南省,,256.46,246.32,237.95,232.04,258.74,248.48,237.39,223.60,210.94,190.30,188.30,177.04,162.64,154.64,167.81,160.70,149.07,139.04,132.50
广东省,,415.41,400.01,381.75,369.69,395.12,386.56,373.16,360.74,344.09,331.47,314.70,302.79,291.11,279.39,300.29,284.26,269.84,256.26,240.40
广西壮族自治区,,136.12,133.55,128.27,118.41,159.98,152.37,144.50,135.17,126.12,117.59,109.40,102.00,95.36,92.61,107.58,98.92,92.08,85.35,78.80
海南省,,35.09,35.44,36.69,34.58,43.62,40.59,46.21,44.06,38.05,34.10,29.60,29.29,26.53,22.41,25.48,20.53,18.32,16.29,15.20
重庆市,,51.88,52.41,51.07,49.62,48.80,46.05,42.31,37.02,31.58,26.26,21.30,19.40,18.07,17.54,21.39,23.76,22.12,21.27,19.90
四川省,,159.90,153.80,148.94,145.36,139.58,132.72,126.62,120.06,112.88,106.23,99.30,94.36,89.39,84.83,100.64,91.34,79.99,70.72,59.80
贵州省,,24.16,23.30,22.64,24.33,27.58,23.59,19.60,15.30,12.04,9.51,7.60,6.93,6.66,6.55,9.83,8.23,7.76,7.03,6.60
云南省,,61.45,60.61,60.64,57.52,67.68,63.90,53.51,44.81,37.29,31.83,27.50,24.78,23.09,21.54,26.30,21.26,19.51,18.03,16.90
西藏自治区,,0.02,0.01,0.00,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,0.00,
陕西省,,16.42,16.12,15.58,15.58,15.18,14.80,13.33,11.98,10.07,7.47,5.60,5.18,4.81,4.67,7.48,6.75,6.98,6.37,6.10
甘肃省,,1.40,1.44,1.41,1.54,1.53,1.49,1.45,1.39,1.33,1.29,1.20,1.19,1.10,1.07,1.53,1.44,1.37,1.32,1.40
青海省,,1.83,1.85,1.71,1.61,1.21,1.06,0.90,0.60,0.45,0.32,0.20,0.14,0.14,0.15,0.20,0.08,0.14,0.12,0.20
宁夏回族自治区,,15.28,14.95,17.66,18.05,17.42,16.93,16.22,14.47,12.33,10.52,9.00,8.17,7.50,7.03,6.64,5.79,5.61,5.01,4.80
新疆维吾尔自治区,,14.92,15.20,16.03,15.28,14.76,14.06,13.09,11.86,10.90,9.81,9.10,8.59,7.98,7.66,7.12,6.56,5.95,5.42,5.40
注：1997-2006年水产品、海水产品、天然生产、人工养殖数据根据农业普查结果进行了修订，其他细项未做修订。
数据来源：国家统计局
