数据库：分省年度数据
指标：农村居民人均猪肉出售量(公斤)
时间：最近20年
地区,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,11.25,12.46,18.95,19.72,28.88,31.17,29.34,29.71,11.65,16.99,27.01
天津市,56.64,45.26,40.77,43.71,23.01,35.22,62.10,46.76,63.89,77.79,67.67
河北省,16.74,16.49,19.37,20.36,19.37,20.43,22.85,17.78,15.11,21.85,20.68
山西省,8.50,11.12,12.66,11.69,8.15,10.37,13.07,12.28,10.90,16.83,15.51
内蒙古自治区,12.59,15.18,20.50,16.66,13.11,15.47,18.59,20.03,16.00,18.30,15.00
辽宁省,81.41,75.73,63.00,56.89,46.27,59.05,68.30,62.63,43.40,68.13,50.85
吉林省,58.47,53.92,43.87,44.40,33.10,34.07,48.57,41.52,30.77,37.81,37.44
黑龙江省,26.21,33.49,39.05,44.31,42.61,40.12,52.20,56.15,31.30,41.50,37.06
上海市,1.17,2.39,8.10,4.67,5.85,5.32,6.44,9.11,5.61,8.39,13.63
江苏省,25.39,24.42,14.30,15.77,13.28,15.87,23.17,22.43,22.00,39.18,36.64
浙江省,68.63,81.05,130.71,117.62,68.19,51.24,45.42,39.75,25.59,28.62,23.98
安徽省,17.43,15.99,16.00,15.92,13.70,16.39,21.62,17.70,17.28,33.81,26.85
福建省,40.34,37.44,38.73,35.66,26.83,34.60,37.14,32.21,27.09,35.04,46.88
江西省,32.73,26.48,27.46,24.10,19.46,21.93,32.24,31.84,27.08,41.58,38.38
山东省,36.23,30.91,33.66,32.76,26.40,26.72,36.59,32.56,23.97,39.96,37.59
河南省,49.23,44.68,47.95,44.69,32.96,37.35,49.12,39.54,31.71,48.16,32.81
湖北省,25.68,22.91,30.92,28.70,26.38,26.03,30.80,29.70,26.67,40.18,31.79
湖南省,35.64,34.17,34.30,34.84,28.47,32.44,46.87,45.91,43.57,66.92,59.32
广东省,35.47,26.42,24.40,22.60,17.17,18.29,27.51,27.89,24.71,37.11,33.98
广西壮族自治区,26.03,24.70,33.46,33.41,29.05,34.11,48.85,49.72,41.83,61.04,51.78
海南省,33.38,31.53,31.92,30.29,29.21,30.94,30.37,33.05,21.11,24.73,19.76
重庆市,37.37,37.89,43.55,48.91,41.51,40.52,47.67,48.85,50.57,59.49,38.92
四川省,51.97,55.01,61.36,55.38,47.74,58.74,71.06,69.06,63.38,77.96,52.40
贵州省,21.90,21.01,24.61,25.22,21.41,25.99,29.66,29.29,24.24,36.37,29.11
云南省,37.43,36.54,36.36,34.43,31.93,34.38,36.70,34.16,24.03,37.18,33.26
西藏自治区,1.04,1.00,1.53,1.81,1.67,1.61,0.69,0.84,1.17,0.99,1.05
陕西省,16.20,17.68,17.05,16.68,12.03,13.95,20.82,18.83,14.49,22.84,18.22
甘肃省,10.33,11.39,8.53,7.97,5.20,6.04,6.07,5.28,6.16,7.00,7.31
青海省,2.18,2.37,4.09,4.12,2.76,3.70,3.59,3.51,3.99,5.13,3.55
宁夏回族自治区,14.17,14.43,14.73,14.12,9.40,10.67,19.88,16.71,10.60,12.08,15.29
新疆维吾尔自治区,4.76,5.16,2.35,1.88,1.90,0.47,0.84,1.63,1.72,2.70,1.50
注：数据来源于农村住户抽样调查资料。
数据来源：国家统计局
