数据库：分省年度数据
指标：人均油料产量(公斤)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.15,0.14,0.19,0.25,0.26,0.26,0.32,0.47,0.66,0.70,0.81,1.00,1.26,1.33,1.39,1.63,1.96,2.29,3.31
天津市,,0.22,0.26,0.40,0.81,0.86,0.23,0.30,0.35,0.36,0.45,0.47,0.43,0.40,0.41,0.47,1.24,1.53,3.05,3.38
河北省,,16.03,15.78,16.10,17.26,16.95,17.02,17.11,18.09,17.52,17.51,18.20,19.24,21.04,19.54,19.46,22.36,22.73,24.16,22.52
山西省,,4.10,3.68,4.17,4.07,4.34,3.34,4.52,5.00,5.08,4.94,4.74,4.54,5.15,4.83,4.36,6.36,8.48,11.01,11.70
内蒙古自治区,,90.18,90.15,79.60,95.34,90.96,82.27,72.24,64.88,57.21,60.13,56.01,50.06,55.46,39.78,42.30,51.35,43.53,42.99,45.80
辽宁省,,23.36,22.43,17.90,18.62,18.13,13.39,13.17,15.57,15.55,16.24,14.61,10.32,14.47,10.48,6.06,8.75,10.90,14.60,13.45
吉林省,,33.59,30.32,32.29,47.15,39.85,33.45,36.76,35.31,33.24,28.07,27.89,19.59,19.78,10.75,17.79,20.11,14.08,21.15,17.11
黑龙江省,,3.84,3.07,2.97,3.76,5.45,4.80,4.47,4.96,5.87,6.07,7.19,7.36,7.45,13.09,9.18,15.91,12.05,11.72,13.85
上海市,,0.29,0.33,0.29,0.31,0.44,0.57,0.60,0.70,0.81,0.87,1.09,1.64,1.77,1.82,2.95,3.91,4.28,3.83,6.08
江苏省,,10.98,11.70,10.70,10.65,11.10,12.30,13.10,14.01,14.36,14.77,16.30,18.28,17.79,18.06,23.49,28.98,32.13,26.98,29.46
浙江省,,5.00,5.51,5.17,4.78,4.67,5.14,4.99,6.34,6.69,7.24,7.57,8.81,8.53,8.24,7.21,10.27,10.38,9.39,10.15
安徽省,,26.64,25.43,25.13,24.84,25.84,37.27,37.78,37.52,38.09,35.85,37.66,39.19,37.22,32.56,34.40,44.36,46.56,36.31,44.58
福建省,,5.48,5.57,5.41,5.02,5.03,5.26,5.41,5.52,5.67,5.86,6.00,6.25,6.38,6.18,6.66,7.78,7.95,7.48,7.49
江西省,,27.16,25.94,26.06,26.19,25.71,27.22,26.86,26.43,26.04,25.38,24.19,23.10,20.80,18.90,19.03,17.71,17.46,17.93,19.60
山东省,,28.71,28.73,31.01,31.90,32.04,32.46,33.77,35.19,35.38,35.76,36.48,36.98,39.89,39.49,35.37,39.46,40.39,39.74,37.56
河南省,,67.79,67.08,65.86,61.49,57.84,56.99,56.39,57.62,56.44,53.39,54.59,54.38,52.53,51.01,49.02,48.08,42.17,32.15,43.89
湖北省,,59.02,53.01,51.19,52.21,52.00,54.29,55.30,54.51,52.90,51.04,52.81,53.68,48.94,44.38,44.63,51.63,52.32,45.49,41.01
湖南省,,39.24,34.62,34.08,33.05,32.52,33.03,32.31,31.51,29.69,31.21,27.45,27.26,22.02,24.06,17.30,22.35,20.90,18.92,18.04
广东省,,9.04,9.64,9.44,9.14,9.09,9.09,8.87,8.65,8.44,8.18,8.10,8.10,8.11,8.03,8.39,8.40,9.54,10.36,9.76
广西壮族自治区,,14.78,14.49,13.59,13.35,12.97,12.44,11.99,11.39,10.93,10.33,9.31,8.46,7.68,7.38,7.16,13.60,11.97,11.51,11.65
海南省,,7.66,9.25,9.08,9.80,10.50,10.97,11.59,11.00,10.70,10.75,10.48,10.15,9.92,8.02,7.38,10.33,11.16,11.92,12.56
重庆市,,20.97,20.94,20.62,20.38,20.07,19.35,18.61,17.58,16.77,15.78,15.26,14.03,12.40,10.87,10.33,15.31,13.36,12.27,11.30
四川省,,46.99,43.95,43.57,43.21,42.05,41.56,40.87,39.57,39.18,38.12,36.49,35.35,33.96,31.13,24.79,28.38,25.97,24.99,23.28
贵州省,,26.83,28.52,31.37,32.38,32.54,32.62,32.21,30.67,29.90,27.44,21.13,27.55,24.02,24.55,18.23,22.83,21.28,18.77,18.98
云南省,,13.37,12.91,12.66,11.75,11.85,11.72,13.76,11.33,13.53,12.79,6.92,10.38,8.57,4.81,5.53,8.16,7.60,6.82,6.39
西藏自治区,,13.99,16.45,17.19,17.79,18.97,19.96,20.25,20.59,20.73,21.07,29.74,19.68,20.76,18.21,19.57,22.20,19.84,18.43,17.08
陕西省,,14.97,15.53,15.84,15.63,15.06,15.04,14.91,14.68,15.20,14.96,14.37,14.17,13.03,10.51,11.09,12.23,12.46,11.23,11.20
甘肃省,,24.53,23.91,26.76,29.55,31.52,29.56,29.78,28.52,27.30,25.77,25.83,23.47,21.33,18.34,17.31,19.45,18.58,17.72,16.23
青海省,,51.07,47.69,47.41,50.84,53.07,54.09,56.16,58.29,63.34,65.16,67.04,66.74,64.23,58.49,44.68,58.81,53.86,49.32,44.50
宁夏回族自治区,,9.25,11.08,10.64,10.23,11.35,12.68,14.82,16.30,18.89,20.83,25.47,18.36,19.36,11.95,14.06,20.55,23.63,22.88,19.18
新疆维吾尔自治区,,21.31,26.51,27.50,28.77,32.55,27.00,26.01,26.96,26.58,30.39,30.67,29.80,26.90,12.98,12.80,19.45,22.86,26.12,23.47
注：人口数字为年平均人口数。
数据来源：国家统计局
