数据库：分省年度数据
指标：水灾成灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,1.4,0.0,13.2,0.7,,3.7,37.8,12.9,0.0,0.0,0.0,0.2,2.3,,2.0,,2.0
天津市,,,,0.1,0.0,21.2,,,0.0,83.2,1.5,0.0,0.0,0.0,3.1,2.7,,,,
河北省,,,,60.3,23.0,372.1,236.2,15.9,197.7,251.4,88.4,49.3,49.1,29.0,271.9,66.6,44.7,27.0,160.0,25.0
山西省,,,,104.7,36.1,78.1,22.5,67.1,86.7,191.6,102.3,33.1,30.3,22.7,117.7,12.4,5.1,51.8,98.0,145.0
内蒙古自治区,,,,463.1,151.8,61.3,132.8,60.1,294.0,768.5,220.0,86.9,160.8,158.8,38.9,149.5,194.0,161.5,255.0,93.3
辽宁省,,,,2.3,71.4,57.4,2.0,3.4,203.3,3.3,117.4,531.3,5.3,35.6,16.2,32.5,209.9,8.2,31.0,195.0
吉林省,,,,14.7,318.6,42.8,15.8,17.6,210.6,8.0,21.1,265.6,15.5,29.5,17.0,63.0,252.0,56.0,46.0,136.0
黑龙江省,,,,703.6,95.6,65.4,320.4,268.7,1850.0,1.9,68.5,125.1,800.0,53.1,20.0,753.4,433.8,78.5,1023.0,284.0
上海市,,,,0.0,0.0,0.0,3.4,,0.0,0.0,8.8,0.0,0.0,0.0,0.0,,,3.2,,10.5
江苏省,,,,3.9,0.4,44.3,92.6,2.0,4.2,53.0,58.3,140.0,42.1,95.1,258.9,750.1,28.0,47.4,1595.0,121.0
浙江省,,,,0.3,40.9,36.1,9.0,67.5,14.4,60.4,131.7,57.7,42.3,134.3,21.4,26.8,23.8,16.0,24.0,220.0
安徽省,,,,93.0,84.5,405.0,441.7,150.0,194.8,171.3,121.8,364.7,178.7,202.0,967.7,367.2,1027.0,83.0,1746.2,465.0
福建省,,,,3.2,8.1,29.4,49.1,30.2,13.3,42.7,6.2,174.9,8.5,23.7,31.3,164.3,111.0,51.0,20.0,174.0
江西省,,,,107.2,272.0,263.9,293.6,263.4,162.0,275.2,234.6,918.8,296.3,255.4,79.7,281.5,153.0,135.0,380.0,459.0
山东省,,,,26.3,25.1,59.2,105.5,22.3,458.9,84.5,187.3,703.3,184.6,81.6,133.9,194.5,342.0,381.0,928.0,2.4
河南省,,,,123.2,480.0,125.4,17.3,21.7,4.0,150.3,92.0,444.7,32.8,52.3,520.7,114.5,652.7,364.8,2208.0,100.0
湖北省,,,,56.2,398.0,1229.5,410.0,130.5,157.6,332.5,253.3,739.1,321.2,930.9,652.7,162.8,559.1,495.0,956.0,941.0
湖南省,,,,36.0,493.7,482.9,411.1,615.4,160.1,539.3,226.2,1084.1,168.1,279.3,347.0,620.7,298.5,427.0,548.0,1372.0
广东省,,,,36.1,41.7,33.4,29.7,62.8,104.1,30.5,13.0,89.7,2.6,233.8,100.0,106.0,177.6,55.4,6.0,252.0
广西壮族自治区,,,,19.5,50.1,49.2,127.1,60.0,7.1,74.7,173.8,91.7,109.1,555.6,109.8,122.7,248.6,208.0,128.0,575.0
海南省,,,,,0.0,0.0,0.0,0.7,0.0,0.6,15.7,73.4,1.0,78.6,0.0,5.1,,3.4,,49.0
重庆市,,,,21.0,12.4,78.4,36.2,144.5,46.6,186.7,80.8,112.5,118.5,46.5,241.6,30.1,292.8,286.8,291.0,440.0
四川省,,,,223.8,92.5,82.7,128.2,174.8,272.9,234.9,263.0,422.9,354.5,105.3,491.0,132.9,400.3,335.1,814.0,416.7
贵州省,,,,22.5,92.0,107.5,84.7,220.9,47.7,152.7,47.2,110.9,42.3,122.1,71.2,66.3,93.1,146.2,148.0,246.0
云南省,,,,92.6,81.8,143.2,164.4,98.0,69.3,106.1,33.0,58.5,86.2,55.2,235.6,67.1,112.8,143.0,119.0,259.0
西藏自治区,,,,7.7,8.0,10.3,1.7,2.6,3.9,3.5,1.3,0.0,4.0,3.9,4.7,4.0,,6.4,,11.0
陕西省,,,,58.0,56.5,62.1,62.8,43.1,100.7,89.1,165.6,172.0,24.7,14.7,153.3,94.2,247.5,84.0,524.0,183.0
甘肃省,,,,183.4,56.1,74.4,64.2,117.0,146.7,142.5,59.1,82.6,60.3,35.6,120.0,113.2,89.0,34.0,154.0,95.0
青海省,,,,18.9,3.7,9.2,6.4,11.0,1.2,16.1,13.9,6.7,3.7,1.3,5.0,16.0,,11.7,11.3,15.0
宁夏回族自治区,,,,40.6,4.8,10.6,3.0,0.4,12.5,31.5,1.8,14.0,15.3,3.6,32.0,23.1,3.1,20.0,22.0,42.0
新疆维吾尔自治区,,,,27.0,23.1,289.8,55.2,32.5,30.6,20.7,19.0,70.7,4.3,16.3,42.2,23.3,47.6,24.1,53.0,59.0
数据来源：国家统计局
