数据库：分省年度数据
指标：旱灾成灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.0,,0.0,0.2,17.1,,0.0,0.0,0.0,1.3,5.0,19.1,5.8,,2.0,24.0,81.0
天津市,,,,0.0,,0.0,,,,0.0,1.7,0.0,0.0,6.7,13.3,6.7,,13.0,80.0,130.0
河北省,,,87.0,36.1,146.1,20.8,533.1,592.7,138.9,212.7,372.2,432.2,1062.9,480.0,829.0,867.3,257.3,314.0,1183.0,1600.0
山西省,,,513.0,103.7,149.3,43.6,477.7,208.0,257.9,100.8,263.3,543.0,966.1,906.7,646.8,389.9,1016.0,196.0,73.0,680.0
内蒙古自治区,,,153.0,944.2,1963.8,1957.9,1346.7,740.0,172.5,188.7,483.6,1059.0,1922.6,938.0,2307.0,1381.8,735.4,1284.0,1673.0,1167.0
辽宁省,,,11.0,243.7,186.2,48.6,928.3,1262.3,13.5,0.0,0.0,12.5,971.8,236.0,1005.0,685.3,268.0,718.0,941.0,748.0
吉林省,,,,193.5,166.9,336.9,329.5,232.5,0.0,166.0,139.6,225.3,1471.3,165.0,1906.0,618.5,242.0,896.0,521.0,389.0
黑龙江省,,,,247.3,128.6,2166.2,371.1,31.4,0.0,416.3,291.4,775.5,1907.0,930.0,3133.0,1153.9,162.2,696.0,2636.0,660.0
上海市,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
江苏省,,,,1.3,32.2,10.1,,155.8,117.3,222.0,241.4,39.3,198.9,0.0,49.0,138.6,153.9,41.0,,202.0
浙江省,,,5.0,0.0,,0.0,,,247.1,0.0,1.9,1.4,5.7,9.3,33.7,72.8,60.0,184.0,311.0,
安徽省,,,490.0,0.0,100.9,127.4,,60.0,234.3,276.0,20.9,0.0,52.0,0.0,6.0,118.5,286.7,123.0,173.0,199.0
福建省,,,13.0,19.4,10.0,0.0,,,15.8,0.0,22.6,0.7,26.1,1.8,81.0,12.9,5.7,109.0,389.0,193.0
江西省,,,330.0,192.4,26.9,30.2,,,334.2,0.0,139.9,0.0,261.0,45.7,470.0,41.5,28.2,330.0,853.0,28.0
山东省,,,113.0,10.7,265.4,85.3,404.7,230.7,0.0,176.4,201.3,331.7,814.7,87.5,281.0,662.1,72.0,126.0,173.0,2573.0
河南省,,,323.0,3.9,148.4,73.7,,775.3,230.7,162.8,211.3,25.0,287.9,376.0,295.0,318.7,142.0,278.0,69.0,691.0
湖北省,,,405.0,253.1,282.7,157.9,58.7,179.1,738.5,382.9,408.1,98.4,149.4,14.2,332.0,865.1,380.1,257.0,690.0,151.0
湖南省,,,142.0,172.9,60.5,4.8,,,1134.6,0.0,470.2,218.1,304.8,160.4,947.0,196.5,535.8,70.0,1072.0,173.0
广东省,,,,0.0,,0.0,103.5,,4.9,0.0,6.1,4.8,105.9,40.0,167.0,58.3,64.0,320.0,105.0,560.0
广西壮族自治区,,,13.0,5.4,,20.2,52.3,4.2,36.1,41.0,200.9,748.0,336.1,127.0,310.0,260.6,544.0,660.0,415.0,79.0
海南省,,,,0.0,,4.4,2.4,,0.0,0.0,8.0,8.7,1.9,20.7,70.0,29.9,184.0,46.8,38.0,61.0
重庆市,,,17.0,1.1,27.4,30.0,,4.7,105.1,28.0,152.3,44.0,46.9,93.2,155.0,882.8,98.3,46.1,283.0,294.0
四川省,,,31.0,55.2,24.8,67.6,53.8,166.0,199.4,124.9,300.2,384.2,241.7,35.3,524.0,1520.3,86.0,233.0,360.0,537.0
贵州省,,,,79.1,34.4,3.3,8.1,2.7,693.3,40.9,1181.0,1024.6,318.1,17.7,86.0,353.3,170.0,76.0,323.0,103.0
云南省,,,501.0,0.0,69.8,15.2,300.9,194.2,369.7,434.7,592.3,2050.9,416.0,359.0,351.0,652.0,1192.0,104.0,491.0,194.0
西藏自治区,,,,0.3,,0.0,1.1,3.8,0.0,0.0,0.0,21.2,9.8,0.0,,0.0,,1.7,,
陕西省,,,183.0,4.0,181.7,110.6,335.4,274.7,200.0,68.3,97.3,271.6,333.3,341.0,548.0,456.7,515.0,240.0,533.0,800.0
甘肃省,,,,31.6,225.1,594.5,253.1,291.3,371.5,182.0,572.6,428.4,494.7,573.4,992.0,943.2,687.0,755.0,534.0,491.0
青海省,,,,12.7,118.0,27.7,78.6,0.5,24.4,19.1,19.1,28.9,17.0,44.5,35.0,186.2,20.7,6.0,80.0,218.0
宁夏回族自治区,,,,0.0,81.7,174.6,138.9,59.3,113.2,47.3,124.0,0.0,106.0,223.0,272.0,209.5,300.8,83.0,131.0,78.0
新疆维吾尔自治区,,,,9.7,13.4,19.3,85.3,190.8,99.0,217.8,75.3,209.1,366.2,560.5,306.0,322.7,272.1,273.0,316.0,94.0
数据来源：国家统计局
