数据库：分省年度数据
指标：风雹灾成灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.3,1.6,13.2,4.2,19.3,7.2,9.5,5.5,0.0,8.9,20.1,13.9,31.3,17.5,6.0,1.0,20.0
天津市,,,,0.1,,0.2,,9.4,1.5,0.0,0.0,0.0,48.0,47.3,27.1,20.0,16.0,16.9,14.6,6.0
河北省,,,36.0,95.6,114.7,156.7,167.1,159.9,160.2,124.1,59.7,81.3,444.7,313.9,169.3,286.6,108.1,413.0,602.0,180.0
山西省,,,27.0,17.5,155.7,70.9,20.2,124.0,129.3,81.5,129.3,67.0,92.9,59.4,45.9,48.0,16.7,126.0,156.0,85.0
内蒙古自治区,,,246.0,140.7,138.1,96.2,221.3,337.2,322.1,192.1,183.6,88.5,132.6,203.7,73.7,139.4,78.2,117.0,250.0,198.0
辽宁省,,,9.0,39.4,34.1,10.0,42.8,19.0,54.5,22.3,16.1,22.9,56.6,24.7,47.9,13.3,36.0,31.0,54.0,203.0
吉林省,,,50.0,104.0,35.2,40.9,69.3,67.4,10.7,33.9,37.5,72.3,138.7,49.5,44.1,165.7,148.0,14.0,153.0,157.0
黑龙江省,,,152.0,238.9,183.9,150.7,99.7,157.9,44.1,95.2,297.1,57.9,245.6,257.8,34.3,191.5,276.7,107.0,280.0,323.0
上海市,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0
江苏省,,,24.0,46.9,25.9,11.3,49.9,37.0,50.0,12.8,15.7,5.4,68.2,26.9,14.1,69.1,82.8,55.0,75.0,69.0
浙江省,,,,0.8,0.4,0.4,0.5,3.1,2.2,0.4,0.0,0.4,17.5,10.1,4.3,,6.8,14.0,6.2,21.0
安徽省,,,18.0,22.7,16.2,10.0,43.8,6.5,10.0,12.9,22.5,20.0,60.0,21.1,14.3,37.6,34.7,80.0,167.0,13.0
福建省,,,3.0,0.3,0.1,1.3,0.1,2.2,17.3,13.1,0.4,10.8,0.0,0.1,0.0,1.6,12.7,6.0,,
江西省,,,14.0,15.4,4.6,10.0,12.3,28.9,20.1,38.5,1.6,16.4,47.9,12.8,22.5,69.1,26.0,66.0,33.0,115.0
山东省,,,39.0,56.4,4.9,78.7,143.5,39.2,11.8,48.4,18.3,9.0,87.0,58.7,80.0,233.8,84.7,151.0,149.0,217.0
河南省,,,27.0,56.1,18.9,39.3,54.1,26.0,101.2,12.8,75.3,72.7,682.5,92.7,59.7,112.8,49.3,201.0,297.0,556.0
湖北省,,,10.0,12.1,25.2,20.3,25.6,3.1,17.7,25.2,38.9,22.0,22.8,207.9,13.9,82.7,67.2,98.0,101.0,461.0
湖南省,,,4.0,19.1,2.8,21.9,8.7,10.3,101.4,53.0,10.7,44.5,31.3,54.1,46.5,55.4,29.1,63.0,47.0,129.0
广东省,,,,0.0,0.1,1.5,1.1,6.2,3.5,17.6,3.5,0.3,0.0,0.0,0.3,1.0,21.3,11.0,,7.0
广西壮族自治区,,,,3.7,1.7,4.9,2.3,8.9,19.5,5.1,1.0,3.5,6.7,14.5,5.6,16.4,19.3,29.0,51.0,15.0
海南省,,,,,0.0,0.2,,0.0,3.0,7.9,0.0,,0.0,0.0,0.0,,,,,
重庆市,,,1.0,20.1,4.7,0.9,5.9,11.0,4.7,9.3,4.0,27.7,7.4,47.1,30.7,6.1,56.5,53.6,25.0,45.0
四川省,,,3.0,15.8,8.7,43.9,46.0,21.5,21.2,27.4,27.8,28.2,88.6,148.7,95.3,10.7,123.0,77.4,51.0,112.0
贵州省,,,7.0,65.2,22.8,52.6,24.6,100.3,77.1,24.1,35.6,9.9,35.0,28.1,47.9,46.6,49.2,68.0,82.8,204.0
云南省,,,19.0,23.0,47.0,94.5,76.1,76.1,70.0,30.7,48.9,23.5,40.9,62.2,83.1,109.2,80.7,118.0,103.0,281.0
西藏自治区,,,,0.0,1.7,0.4,1.3,4.1,4.0,3.3,2.0,0.9,3.0,8.9,0.0,,1.2,1.5,,
陕西省,,,5.0,35.7,70.6,187.8,53.1,114.2,39.1,27.1,29.4,5.3,80.0,66.7,100.0,106.7,100.0,65.0,57.0,73.0
甘肃省,,,24.0,57.2,83.9,39.1,180.6,119.3,108.3,106.3,55.0,62.9,81.3,102.7,181.3,154.3,30.0,44.9,51.0,235.0
青海省,,,14.0,9.9,39.0,60.6,48.6,46.2,21.4,28.4,9.3,22.4,52.3,4.8,15.6,35.5,12.0,13.0,9.1,11.0
宁夏回族自治区,,,5.0,16.4,23.7,13.3,21.7,59.1,4.7,20.3,24.9,37.9,2.9,29.8,23.9,6.5,25.9,21.0,23.5,90.0
新疆维吾尔自治区,,,239.0,434.9,171.5,192.5,400.4,575.8,244.5,285.2,194.3,102.5,360.9,148.8,120.0,93.3,25.7,124.0,89.0,4.0
数据来源：国家统计局
