数据库：分省年度数据
指标：规模以上工业企业单位数(个)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,3028,3121,3197,3231,3340,3548,3686,3641,3692,3746,6884,6890,7205,6397,6400,6300,6871,4019,4551
天津市,5120,4813,4292,4286,5203,5525,5501,5511,5342,5013,7947,8326,7950,6361,6301,6144,6462,5341,5346
河北省,14239,13181,14943,14790,14764,15295,14792,13968,12360,11570,13927,13096,12447,10870,10634,9936,9284,7923,7618
山西省,5480,4798,3875,3835,3548,3845,3906,3979,3905,3675,4240,4023,4415,4472,4668,4441,5013,3613,3474
内蒙古自治区,2985,2965,2832,2801,4289,4404,4413,4404,4244,4175,4611,4465,3993,3364,3075,2447,2275,1653,1440
辽宁省,7755,7610,6621,6626,8025,12304,15707,17305,17347,16914,23832,23364,21876,16556,14754,11510,10635,6842,6017
吉林省,3043,3042,5963,5971,6003,5682,5311,5376,5286,5158,6181,5936,5257,3984,3249,2774,3280,2284,2572
黑龙江省,3832,3531,3740,3731,3946,4162,4305,4398,3911,3377,4596,4408,4392,3172,2956,2887,3297,2567,2593
上海市,8804,8776,8130,8122,8351,8994,9469,9796,9772,9962,16684,17906,18792,15099,14404,14809,15766,11098,10057
江苏省,50168,46090,45675,45414,47900,48488,48708,48787,45859,43368,64136,60817,65495,41841,36319,32224,40848,23862,21476
浙江省,47956,45695,40586,39949,40128,41167,40841,39561,36496,34698,64364,59971,58816,51604,45686,40275,41358,25526,21896
安徽省,18447,17761,19421,18883,19838,19077,17762,16193,14514,12432,16277,14122,11392,8111,6523,5277,4778,4158,3918
福建省,18845,18373,17470,17348,17262,17240,16744,16120,15333,14116,19227,18154,17212,15178,13755,12396,11918,9208,7462
江西省,14341,13022,11630,10889,10931,9941,8996,8126,7217,6481,7908,7539,7367,6028,5333,4403,4019,3051,3076
山东省,29628,27129,38333,38147,39567,41485,40756,40467,37625,35813,44037,45518,42629,36145,31936,27540,23915,16177,13468
河南省,19803,19516,22081,22023,23679,22892,21748,20573,19237,18328,19548,18105,18700,13510,11895,10867,11474,9091,9671
湖北省,15708,15521,15598,15097,16296,16413,15957,14650,12441,10633,16106,14027,12067,8996,7546,6813,6232,6271,6183
湖南省,18239,16562,16055,15201,14386,13992,13723,13598,12785,12477,13844,13311,12391,10201,8999,8022,7523,5967,5438
广东省,58483,55394,47456,47203,42688,42113,41133,41184,37790,38305,53389,52188,52574,42260,37494,35157,34584,24494,22619
广西壮族自治区,7099,6185,6058,5723,5464,5518,5447,5495,5239,5046,6583,5678,5427,4408,4051,3687,3749,2871,2911
海南省,493,412,337,335,337,380,382,388,377,358,497,494,548,488,595,616,588,619,601
重庆市,6938,6694,6772,6684,6782,6608,6158,5559,4985,4778,7130,6412,6119,3916,3208,2943,2634,2241,2060
四川省,15280,14599,14205,13904,13819,13525,13267,12998,12719,12085,13706,13267,13725,10709,8995,7959,7413,5448,4908
贵州省,4482,4686,5583,5311,5123,4482,3895,3576,2752,2329,2963,2791,2676,2296,2594,2585,2545,2129,2067
云南省,4401,4366,4260,4186,4194,3876,3797,3551,3211,2773,3599,3489,3320,2698,2602,2362,2332,1995,2072
西藏自治区,167,148,123,116,108,104,97,76,64,56,97,90,88,100,204,197,187,325,344
陕西省,7205,7037,6426,6271,5862,5413,5081,4751,4284,3684,4564,4480,4025,3372,3375,2997,3012,2493,2461
甘肃省,1952,1825,1917,1905,2105,2148,2091,1992,1735,1371,2000,1987,1940,1841,1733,1733,1927,2884,3204
青海省,580,585,586,569,593,575,568,522,423,386,555,523,515,471,435,404,463,400,399
宁夏回族自治区,1241,1196,1250,1223,1174,1245,1170,1044,865,764,975,969,901,745,761,685,662,418,388
新疆维吾尔自治区,3633,3182,3025,2955,2894,2707,2477,2224,1959,1738,2465,2018,1859,1575,1481,1445,1430,1254,1267
注：1.1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
　　　2.2017年以来全国规模以上工业企业主要经济指标数据与上年数据之间存在不可比因素，其主要原因是：（一）根据统计制度，每年定期对规模以上工业企业调查范围进行调整。每年有部分企业达到规模标准纳入调查范围，也有部分企业因规模变小而退出调查范围，还有新建投产企业、破产、注（吊）销企业等变化。（二）加强统计执法，对统计执法检查中发现的不符合规模以上工业统计要求的企业进行了清理，对相关基数依规进行了修正。（三）加强数据质量管理，剔除跨地区、跨行业重复统计数据。
数据来源：国家统计局
