数据库：分省年度数据
指标：规模以上工业企业法人资本金(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,2338.54,2305.68,1953.95,1949.39,2110.92,2719.82,2499.92,1906.48,1829.45,1814.77,1406.13,1410.88,1460.33,1409.16,473.13,562.46
天津市,,,,,1820.39,1834.10,1384.89,1594.42,1619.15,1639.96,1486.90,1216.98,1091.96,858.80,703.47,610.58,590.26,755.92,374.13,311.98
河北省,,,,,2798.46,4281.51,2988.83,2714.67,2637.52,2743.33,2505.08,2071.95,1778.42,1183.03,888.40,857.14,659.27,406.22,482.66,393.78
山西省,,,,,1670.59,1552.20,1263.97,1750.19,1621.86,1609.77,1628.66,1402.98,1111.46,800.18,810.60,708.85,502.35,429.86,335.93,258.16
内蒙古自治区,,,,,3139.96,3589.38,3234.51,3302.97,1651.27,1801.94,1827.12,1428.33,1159.08,885.46,726.96,589.49,552.43,473.14,246.69,173.06
辽宁省,,,,,3146.43,2104.97,2610.59,2627.61,2678.29,2472.74,2567.75,2247.78,2106.95,1669.03,1494.08,1231.64,1070.31,872.43,788.53,568.60
吉林省,,,,,1010.50,1121.52,2302.11,1111.77,1186.28,1092.67,1034.22,903.79,798.35,673.64,706.01,670.89,482.11,425.04,327.59,290.57
黑龙江省,,,,,1143.72,1429.27,1230.69,1134.26,1114.45,1095.57,1188.57,1185.94,970.36,955.48,841.21,983.56,828.41,923.22,794.10,772.07
上海市,,,,,2816.81,2870.66,2647.02,2205.13,2215.76,2052.98,1646.39,2254.45,2233.78,2036.12,1651.52,1608.42,1549.93,1561.42,1342.85,1198.49
江苏省,,,,,8264.95,7775.87,6606.67,6068.11,5495.70,5006.67,4419.42,3847.53,3354.29,2618.39,2234.91,1801.47,1531.84,1327.34,848.28,786.91
浙江省,,,,,6606.66,5781.09,5105.03,4322.56,3778.32,3691.55,3327.10,3067.51,2579.08,2206.90,1848.49,1330.84,1144.64,1131.18,691.02,517.79
安徽省,,,,,3021.02,3399.78,2374.23,1883.42,1696.78,1772.31,1364.52,1244.58,820.07,695.04,516.43,382.41,338.85,262.81,220.75,204.60
福建省,,,,,2446.34,2031.45,1886.58,1948.54,1735.21,1480.11,1211.85,1087.39,890.83,724.73,640.87,462.13,321.46,292.84,247.43,262.14
江西省,,,,,1838.50,1837.83,2032.18,1427.59,1753.61,1093.58,967.38,895.36,665.85,557.90,377.61,323.41,331.99,235.35,198.50,142.75
山东省,,,,,6105.86,6233.96,5580.34,5229.02,4659.39,4663.52,3817.36,2945.13,2747.75,2981.71,2037.29,1710.87,1509.40,1033.67,820.17,662.55
河南省,,,,,5210.90,5415.70,4925.95,4787.42,3747.40,3188.62,2739.22,2106.07,1727.35,1507.15,1044.54,851.19,738.68,682.99,553.68,468.99
湖北省,,,,,2597.72,2788.56,2527.84,2367.96,1871.43,1786.20,1651.35,1479.26,1187.37,1206.59,975.30,692.74,858.07,653.03,383.88,419.09
湖南省,,,,,2847.04,2679.99,2437.13,2507.86,1884.24,1724.50,1591.88,1179.88,848.75,822.21,542.18,406.10,381.30,403.31,303.55,208.74
广东省,,,,,7810.85,6784.88,5870.05,5405.60,5125.22,5594.82,5124.31,4418.24,3756.46,3353.73,2512.30,2337.72,1977.90,1847.51,1123.23,965.67
广西壮族自治区,,,,,1047.71,961.63,887.00,950.99,911.52,932.26,948.65,749.29,582.37,577.01,376.58,299.64,247.14,198.12,72.09,66.72
