数据库：分省年度数据
指标：规模以上工业企业港澳台资本金(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,223.71,233.14,235.85,234.78,162.60,156.71,150.18,125.80,141.75,131.22,92.15,90.79,74.92,68.79,59.07,53.55
天津市,,,,,283.05,197.44,202.21,209.19,239.18,199.79,264.20,214.06,210.58,191.06,128.25,110.33,98.66,57.84,86.04,88.28
河北省,,,,,228.28,252.77,248.44,213.49,208.33,215.66,215.17,197.71,174.30,161.49,105.20,87.48,76.00,66.35,59.63,53.40
山西省,,,,,50.84,99.07,86.39,78.42,64.09,40.10,52.18,74.26,63.86,41.98,32.40,19.52,16.07,16.02,9.49,10.39
内蒙古自治区,,,,,88.96,91.56,98.96,84.61,93.02,62.12,48.34,51.62,38.96,45.63,38.23,36.10,30.78,10.23,7.44,7.92
辽宁省,,,,,520.79,489.41,463.18,423.16,358.75,392.90,225.76,221.90,233.57,151.94,147.46,128.18,102.78,115.34,102.73,89.31
吉林省,,,,,63.97,51.17,51.68,72.30,56.51,50.53,37.30,45.14,49.20,52.39,45.20,16.57,15.75,20.08,13.46,12.36
黑龙江省,,,,,22.77,36.95,39.18,44.53,45.01,42.06,35.12,43.26,36.74,37.84,19.86,8.82,9.91,8.08,11.55,12.45
上海市,,,,,678.25,691.25,748.39,709.16,688.87,740.18,717.27,727.28,739.43,722.10,611.39,509.94,484.57,370.20,314.11,283.88
江苏省,,,,,2791.29,2631.34,2762.93,2497.24,2433.42,2155.15,1907.35,2061.64,1805.29,1677.08,1277.60,959.45,806.90,763.54,428.84,347.90
浙江省,,,,,1337.51,1386.05,1351.53,1368.55,1388.65,1214.91,1151.46,1151.21,1023.82,930.38,768.14,633.82,470.74,395.22,239.33,178.59
安徽省,,,,,207.82,217.51,214.48,206.93,160.98,150.64,152.95,149.98,137.18,112.90,97.83,64.49,61.49,48.65,46.20,46.44
福建省,,,,,1103.70,1121.67,1094.36,994.79,1074.20,997.31,967.09,901.80,838.91,798.91,686.01,584.29,533.24,510.10,432.83,361.44
江西省,,,,,299.30,306.72,277.72,253.84,268.09,254.32,224.25,144.82,144.39,137.82,129.69,51.89,48.70,50.86,18.79,21.31
山东省,,,,,491.11,505.27,454.04,448.94,409.59,400.22,344.19,342.10,331.24,290.17,221.26,191.08,156.44,139.63,113.56,89.05
河南省,,,,,269.31,343.69,197.07,148.78,208.72,174.32,152.22,140.65,101.01,97.54,58.26,52.49,49.96,43.20,35.48,38.87
湖北省,,,,,165.73,150.20,155.11,149.76,163.32,152.14,118.37,116.92,119.29,88.68,69.24,63.00,59.89,44.90,41.50,41.33
湖南省,,,,,99.08,105.14,103.61,110.50,118.38,78.61,78.91,58.93,63.53,71.39,47.87,40.69,32.73,35.63,26.40,17.43
广东省,,,,,3535.85,3625.42,3681.40,3578.86,3678.95,10856.58,3452.06,3586.35,3596.41,3555.14,3226.23,2948.75,2477.87,2269.99,1792.99,1502.35
广西壮族自治区,,,,,155.84,129.10,130.81,117.82,128.76,120.04,116.19,84.24,62.98,83.97,54.42,37.99,31.30,28.59,16.55,15.53
海南省,,,,,24.51,18.54,23.98,9.66,14.41,12.91,22.95,24.69,10.42,22.45,18.39,9.65,9.04,7.25,7.84,5.83
重庆市,,,,,179.13,193.28,164.99,114.63,133.52,114.27,94.63,82.62,64.95,47.67,19.08,16.50,15.80,24.12,22.52,17.78
四川省,,,,,174.77,175.76,128.16,154.82,115.87,140.97,97.27,91.86,100.15,84.49,42.89,37.50,30.33,26.00,28.24,21.64
贵州省,,,,,40.43,16.56,16.12,22.84,13.38,20.21,18.16,8.54,8.11,8.75,7.46,6.99,7.77,10.57,8.35,8.05
云南省,,,,,42.51,41.91,39.82,33.70,37.70,31.07,36.48,29.79,34.25,24.15,22.60,15.41,14.62,11.81,10.92,9.98
西藏自治区,,,,,2.70,2.72,0.00,1.30,1.30,,,,0.06,,1.14,,,0.03,0.00,0.00
陕西省,,,,,44.00,47.83,38.59,51.95,46.64,41.18,33.04,25.75,16.82,30.35,27.15,21.96,21.76,19.31,15.31,21.20
甘肃省,,,,,13.97,9.69,13.57,10.91,10.52,7.70,9.29,12.48,10.39,8.92,3.65,4.17,4.63,4.95,3.25,3.95
青海省,,,,,20.62,17.52,9.47,9.47,10.12,4.20,1.80,7.02,0.06,0.04,1.37,0.60,6.42,1.16,1.43,1.51
宁夏回族自治区,,,,,41.41,38.34,32.06,30.70,4.51,6.72,1.62,0.87,0.77,0.75,0.68,0.65,0.22,0.52,0.17,1.43
新疆维吾尔自治区,,,,,29.23,25.81,26.53,22.55,28.69,23.94,16.52,16.19,12.41,12.10,35.39,26.28,25.01,17.73,18.35,13.25
注：1.1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
　　　2.2017年以来全国规模以上工业企业主要经济指标数据与上年数据之间存在不可比因素，其主要原因是：（一）根据统计制度，每年定期对规模以上工业企业调查范围进行调整。每年有部分企业达到规模标准纳入调查范围，也有部分企业因规模变小而退出调查范围，还有新建投产企业、破产、注（吊）销企业等变化。（二）加强统计执法，对统计执法检查中发现的不符合规模以上工业统计要求的企业进行了清理，对相关基数依规进行了修正。（三）加强数据质量管理，剔除跨地区、跨行业重复统计数据。
数据来源：国家统计局
