数据库：分省年度数据
指标：规模以上工业企业产成品(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,1150.30,1068.99,1014.72,990.80,912.46,800.82,777.94,765.06,686.89,635.48,618.70,542.91,491.84,502.21,452.09,408.37,377.38,334.26,246.58,218.71
天津市,964.30,812.39,769.34,803.40,949.76,1064.61,1034.39,983.67,930.38,855.13,826.33,616.78,486.88,468.28,355.71,305.37,250.58,231.65,183.84,180.30
河北省,1904.30,1671.68,1606.52,1592.30,1515.01,1450.62,1433.44,1491.21,1369.43,1230.98,1136.15,956.86,834.14,868.99,633.49,560.09,500.42,398.53,341.53,317.45
山西省,1042.30,894.33,831.51,783.10,769.59,739.89,812.90,830.39,794.08,741.86,726.13,597.50,502.50,584.21,458.71,374.40,325.73,238.04,168.98,144.96
内蒙古自治区,702.50,589.13,666.55,621.10,584.99,580.37,646.82,675.11,614.61,585.11,497.38,391.75,315.29,308.66,229.47,196.65,162.55,124.73,93.13,87.16
辽宁省,1705.40,1442.80,1412.69,1476.80,1331.03,1292.28,1313.52,1438.87,1404.01,1322.27,1211.87,1044.24,957.68,924.80,769.82,629.95,497.73,471.75,362.18,326.67
吉林省,523.60,604.44,678.85,649.30,808.10,776.65,664.25,648.74,564.82,478.96,399.24,345.54,324.66,363.46,272.65,185.77,150.56,141.21,141.96,135.19
黑龙江省,495.30,466.50,451.39,416.10,407.33,455.72,476.93,524.67,559.52,507.42,423.88,403.58,340.82,328.85,264.10,236.61,196.31,186.72,159.28,160.09
上海市,1968.60,1889.77,1686.80,1650.10,1611.61,1489.94,1517.79,1481.68,1381.50,1361.21,1377.61,1097.25,919.29,1016.92,789.90,683.00,639.18,571.07,433.41,388.85
江苏省,7840.30,6298.52,5684.82,5534.30,5154.21,4787.06,4596.18,4525.64,4214.89,3986.09,3655.22,3042.05,2676.61,2484.95,1916.52,1527.95,1298.38,1205.58,845.76,734.01
浙江省,5181.70,4113.63,3833.93,3665.20,3349.27,3294.66,3320.19,3325.87,3079.07,2901.37,2682.31,2326.17,2128.40,1990.03,1924.69,1466.31,1256.97,883.51,743.57,628.21
安徽省,1946.90,1616.23,1476.86,1501.00,1433.18,1370.62,1256.57,1213.81,1044.13,963.04,791.67,629.31,514.71,397.00,301.63,242.94,213.73,180.86,146.44,152.27
福建省,2326.90,1921.38,1855.72,1742.80,1568.05,1502.75,1439.70,1380.59,1245.87,1133.69,969.35,836.29,690.01,578.01,498.10,428.99,313.12,284.22,205.98,184.48
江西省,1326.50,1199.73,1065.04,990.40,877.40,892.76,792.47,733.18,648.20,546.10,469.87,362.82,309.30,273.27,259.01,228.62,125.38,101.08,88.48,79.53
山东省,4896.20,4418.94,4242.07,4458.40,4845.99,4576.06,4519.33,4045.01,3374.64,3112.01,2690.03,2248.50,2046.77,1964.78,1590.24,1304.47,1173.31,931.71,740.70,659.87
河南省,1744.80,1636.40,1549.95,1668.40,1724.18,1758.07,1654.22,1445.57,1256.49,1155.59,961.53,767.84,691.70,630.02,506.21,405.04,364.78,343.91,292.79,307.91
湖北省,1826.90,1541.94,1592.89,1591.10,1666.94,1670.99,1618.27,1640.39,1375.49,1142.16,957.07,816.69,630.56,566.54,402.91,350.58,283.20,245.07,209.24,330.19
湖南省,1194.10,1219.29,1073.13,1012.20,1000.93,958.42,910.61,872.41,747.26,717.17,597.86,534.97,432.43,362.42,311.56,240.58,183.01,160.87,135.88,135.27
广东省,8004.60,6785.23,6417.63,5858.80,5700.22,4982.36,4551.81,4401.98,3787.52,3525.30,3268.31,2832.58,2268.42,2289.21,1981.94,1667.90,1419.35,1230.04,1027.80,843.07
广西壮族自治区,941.30,834.08,767.79,822.00,853.47,793.39,758.65,751.01,688.10,680.44,555.41,453.52,378.96,344.65,259.24,184.99,143.64,130.70,98.52,91.57
海南省,84.50,71.13,75.45,72.40,74.67,78.51,97.36,105.98,97.54,84.19,62.46,47.95,34.52,38.76,45.28,34.89,21.60,18.78,18.38,13.89
重庆市,891.60,788.90,756.74,699.40,755.31,761.37,736.31,607.79,492.36,434.83,383.94,337.08,299.56,269.11,209.08,165.88,135.33,114.77,102.00,90.64
四川省,1794.20,1602.92,1496.96,1429.90,1359.77,1360.09,1310.36,1282.33,1201.21,1098.21,948.30,769.98,693.00,612.79,559.12,457.63,340.49,290.40,242.64,220.66
贵州省,394.60,364.30,320.60,338.20,364.53,336.03,414.04,317.48,269.02,241.23,218.79,182.70,156.67,168.44,106.09,96.60,86.95,80.42,69.17,73.00
云南省,701.60,600.92,575.23,559.20,574.40,540.81,559.16,565.88,518.55,513.52,417.82,317.04,266.08,259.64,219.13,186.21,146.72,116.54,131.01,82.86
西藏自治区,14.30,13.50,11.05,8.10,10.47,10.55,7.78,8.11,4.44,3.12,4.98,3.38,2.29,2.75,2.13,2.29,2.20,2.18,1.97,1.90
