数据库：分省年度数据
指标：规模以上工业企业流动负债合计(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,15028.11,14050.59,12228.18,11254.87,10318.63,9209.88,7696.32,7159.39,6014.22,5554.29,4928.82,4096.42,3423.07,3014.73,2115.64,1853.74
天津市,,,,,10171.80,11738.25,13034.02,12229.95,11900.87,10561.89,9166.78,7213.66,6554.35,5251.56,4291.19,3537.26,3110.92,2596.84,2072.17,1911.26
河北省,,,,,19947.77,19199.53,18693.91,18731.89,17235.81,15272.53,13494.48,11190.61,9372.46,8084.03,6286.23,5213.81,4381.92,3730.57,3044.61,2541.35
山西省,,,,,18277.17,17901.16,16309.47,15286.72,13611.04,12511.95,10735.41,8550.71,7129.98,6420.17,5150.65,4060.41,3232.73,2559.30,1800.27,1446.73
内蒙古自治区,,,,,13004.06,11824.43,11399.13,10833.12,9242.29,8070.70,6721.14,5225.41,4173.94,3595.73,2708.75,2114.12,1654.15,1229.82,847.49,764.24
辽宁省,,,,,18266.58,17665.87,17819.97,16935.31,16625.95,14388.74,13164.38,12600.82,10906.67,9772.18,7817.31,6237.06,5323.14,5036.77,4003.90,3695.87
吉林省,,,,,8183.71,7621.57,6968.30,6725.32,6204.05,5357.09,4668.66,3896.70,3209.40,2881.94,2530.09,2262.69,2063.14,1811.52,1691.55,1563.34
黑龙江省,,,,,6123.71,6153.88,6399.12,6245.96,6053.99,5652.82,5048.86,4383.84,3755.12,3455.51,2864.04,2453.29,2316.71,2165.52,1842.03,1789.21
上海市,,,,,18055.41,17055.98,16057.96,15528.74,14983.79,13670.85,13397.12,12514.50,11016.00,10069.84,9255.84,7638.30,6859.22,6414.67,4886.01,4000.48
江苏省,,,,,52660.34,50761.99,48699.63,47788.73,45942.96,41333.74,37481.87,32067.93,26693.80,24462.68,19998.57,15868.05,13324.75,11783.06,8394.62,6392.15
浙江省,,,,,33707.22,32847.10,32484.81,32182.52,31629.00,29213.03,27182.93,25038.39,20985.72,18996.57,16275.56,12635.46,10136.79,8376.09,5927.96,4280.83
安徽省,,,,,15095.14,14394.37,13295.40,11967.04,11153.29,9700.54,8201.43,6996.40,5308.60,4321.57,3441.76,2591.47,2197.63,1851.10,1572.64,1349.83
福建省,,,,,13334.38,12568.01,11302.15,11386.16,10379.00,9056.00,7745.87,6657.15,5392.70,4843.81,4556.90,3562.60,2885.26,2571.75,2007.11,1552.65
江西省,,,,,8440.17,7810.81,7249.48,6406.55,5907.49,5006.63,4365.99,3839.50,3061.32,2477.22,2143.77,1671.59,1352.40,1192.08,1028.56,866.00
山东省,,,,,45364.04,41789.30,40400.28,38475.38,33897.35,30268.33,26063.88,22134.71,18527.15,16657.49,14013.98,11842.33,9993.35,8452.65,6480.89,5150.98
