数据库：分省年度数据
指标：规模以上工业企业应付账款(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,4674.51,4511.83,4006.23,3827.50,3530.14,3163.55,2689.93,2575.42,2161.89,1730.05,1599.77,1298.24,1062.07,860.57,585.28,
天津市,,,,,3001.84,3193.84,3203.66,3337.41,3752.86,3304.35,2954.95,2322.40,1817.88,1554.46,1251.61,1063.71,978.15,708.29,605.30,
河北省,,,,,5717.53,5464.99,4972.97,5003.71,4639.59,3898.54,3625.85,2826.29,2388.14,2005.67,1495.50,1189.27,1004.97,844.62,595.30,
山西省,,,,,4260.20,3786.31,3499.56,3550.63,3229.10,2884.16,2510.15,2096.15,1797.56,1623.92,1294.06,952.66,733.68,560.78,352.61,
内蒙古自治区,,,,,3073.79,2757.49,2798.65,2592.49,2184.54,1887.30,1538.58,1311.41,985.37,877.25,665.57,551.89,434.81,240.79,192.35,
辽宁省,,,,,4181.91,3973.32,3977.20,3874.08,3937.30,3598.89,3327.74,3363.34,2817.61,3050.01,1899.63,1571.81,1338.66,1111.58,832.25,
吉林省,,,,,2500.51,2325.32,2211.15,2228.57,2093.89,1730.67,1537.73,1347.27,1092.69,911.86,720.43,636.42,608.35,475.53,439.99,
黑龙江省,,,,,1750.73,1600.88,1611.54,1613.82,1547.29,1460.26,1275.19,1168.72,1044.17,980.89,779.05,686.64,559.93,452.48,443.54,
上海市,,,,,7433.23,7042.75,6059.39,6262.44,6171.98,5587.84,5298.22,4971.70,4222.12,3536.88,3522.59,2724.70,2363.56,2237.37,1627.03,
江苏省,,,,,15846.21,14276.62,13175.42,12692.00,12196.29,11137.95,10363.54,9059.56,7399.50,6539.45,5750.80,4717.65,4075.37,3557.27,2100.37,
浙江省,,,,,9293.96,8480.50,7759.44,7392.75,6874.30,6064.70,5483.25,4865.34,4007.70,3603.45,3298.56,2658.21,2169.75,1908.20,1259.08,
安徽省,,,,,4418.65,4080.07,3610.17,3250.89,2882.27,2358.50,2060.83,1718.68,1327.68,1070.44,893.92,672.34,498.08,410.67,313.37,
福建省,,,,,3672.82,3391.17,2920.82,2880.38,2727.11,2394.35,2073.90,1832.10,1473.15,1268.80,1179.40,975.84,839.05,752.12,564.97,
江西省,,,,,2261.49,2174.42,1788.92,1713.32,1450.39,1065.99,947.23,752.56,618.61,574.43,441.97,341.05,262.27,223.74,173.95,
山东省,,,,,11119.65,9710.12,8605.73,8503.66,7431.23,6697.14,5750.22,4818.69,3921.29,3599.21,2911.41,2474.50,2158.16,1815.22,1224.23,
