数据库：分省年度数据
指标：规模以上工业企业负债合计(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,26096.80,24193.79,21974.48,21437.10,20671.02,19798.13,18102.44,17137.57,16207.96,14837.22,12648.61,11548.07,9874.61,8085.01,6508.35,5542.34,4706.69,4143.01,2751.17,2527.83
天津市,12386.30,11980.49,12537.07,12133.60,12363.58,15385.02,15863.30,14804.62,14241.43,12686.19,10864.26,8825.23,8054.09,6290.53,5007.26,4122.75,3713.08,3163.48,2718.30,2546.38
河北省,33720.30,31201.55,28638.06,26715.30,26107.85,24449.56,23988.85,24172.80,22005.91,19939.47,17865.03,15136.72,12590.85,10525.99,8122.97,6869.24,5792.05,5154.59,4302.49,3735.45
山西省,39431.90,35852.95,29913.21,27194.00,26483.39,25579.36,24358.13,22514.07,20390.05,17639.40,14936.46,12142.27,10268.99,9023.63,7317.55,5992.11,4760.87,3908.41,2912.20,2396.68
内蒙古自治区,21219.20,20311.15,19858.92,19460.40,20000.87,19445.75,18677.23,17698.22,15088.36,13323.58,11188.94,8642.76,7021.53,6306.51,4518.77,3424.27,2859.86,1958.81,1444.92,1252.24
辽宁省,25878.40,26527.91,25889.40,22562.20,23574.10,23272.90,23787.06,22769.62,22396.73,20147.42,17980.57,16896.14,14785.78,12878.51,9989.02,8131.48,6929.21,6442.69,5394.69,5218.41
吉林省,10258.00,9139.61,9952.32,10126.40,10786.47,9932.67,9862.29,9133.40,8560.22,7499.40,6484.40,5474.03,4727.58,4090.51,3388.56,2985.33,2681.32,2486.06,2297.08,2215.91
黑龙江省,10653.10,10384.29,9651.38,8732.50,8541.90,8399.97,8688.38,8540.95,8212.96,7585.08,6703.59,5776.59,5038.11,4363.89,3698.42,3112.95,2900.96,2907.67,2509.89,2474.36
上海市,24912.90,24125.17,21733.15,20060.70,20600.05,19588.27,18111.05,17858.30,17087.14,15772.54,15399.53,14500.46,12978.92,12078.65,10815.50,9014.05,8037.54,7432.88,5766.89,4966.54
江苏省,79833.60,70749.82,63841.02,62924.30,61086.66,59466.56,56888.77,55612.13,53475.49,48417.22,44372.68,37878.51,31162.00,28447.89,23096.59,18477.92,15715.86,13996.77,10103.53,7933.38
浙江省,60931.70,52453.20,47127.38,43113.70,39123.28,38304.18,38086.78,37663.38,36232.63,33516.05,30943.43,28681.36,24352.22,22014.49,18787.37,15024.06,12286.57,10301.77,7170.33,5344.25
安徽省,27430.00,24376.51,21815.05,21612.40,19732.32,19039.87,18028.15,16718.69,15367.17,13612.01,11398.66,9565.86,7453.49,6337.25,4950.50,3906.25,3122.73,2653.89,2277.52,1969.88
福建省,23859.70,21283.79,20032.59,18523.40,17972.05,16779.94,15879.22,15213.14,13591.05,11417.84,9699.95,8469.33,7131.49,6282.32,5640.29,4395.27,3605.79,3195.91,2663.77,2265.92
江西省,16234.60,14872.34,13640.74,12454.30,10997.98,10549.25,9599.03,8403.60,7662.16,6653.96,5721.42,4840.00,3988.62,3506.62,2779.39,2238.83,1932.22,1715.51,1502.56,1316.81
山东省,66996.90,63475.11,60356.60,62247.10,59890.80,56837.87,54979.47,50842.84,46142.11,39241.58,33847.62,28969.89,24676.48,21576.63,17885.59,15294.56,12917.00,11064.93,8586.10,7104.27
河南省,31194.60,30863.49,29388.86,28263.90,29397.46,28805.88,26189.58,23717.27,21050.58,18087.58,15651.99,12960.96,11103.26,9777.98,7970.01,6644.10,5639.20,5084.36,4227.07,3825.08
湖北省,24289.50,23100.74,22178.45,20307.70,20707.95,20355.90,19459.99,18193.00,17570.58,15759.18,13675.79,12259.18,10381.23,8059.50,6584.13,5318.19,4873.08,4302.14,4049.04,3239.39
湖南省,16219.60,16554.22,14872.72,14011.60,13730.04,13343.81,12240.94,11688.15,11082.18,9821.07,8766.13,7504.26,6182.44,5145.44,3924.74,3360.58,2853.91,2564.92,2328.59,2154.53
广东省,95018.80,84861.65,77970.04,69812.10,64660.73,59318.72,54747.90,51173.28,46283.08,41508.50,39757.31,35073.74,29204.15,26278.20,22612.56,19209.79,15661.24,13818.03,10808.23,9208.39
广西壮族自治区,14509.50,13185.07,11464.87,10813.50,10818.68,9825.40,9402.81,8871.08,8399.72,7345.60,6315.95,5413.29,4399.69,3832.24,2963.11,2141.36,1853.42,1665.42,1431.36,1322.07
