数据库：分省年度数据
指标：规模以上工业企业财务费用(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,244.10,248.02,214.20,204.70,199.66,215.38,211.66,214.49,203.65,197.48,136.61,125.23,120.66,105.20,66.03,64.64,49.14,58.45,44.05,45.83
天津市,120.80,121.28,126.69,160.90,170.22,170.39,203.63,231.33,206.41,195.51,131.47,111.20,103.22,104.38,68.74,49.09,39.45,43.26,51.75,55.43
河北省,529.50,570.19,559.98,568.40,573.37,535.17,585.37,646.38,588.82,562.74,471.52,341.92,269.10,276.83,198.07,158.13,128.54,120.25,106.47,103.39
山西省,817.10,743.92,683.15,690.70,675.94,609.69,604.28,621.36,553.23,466.83,367.89,279.87,234.03,245.92,174.83,125.03,94.89,89.98,75.14,62.70
内蒙古自治区,435.90,444.34,446.79,462.40,474.08,426.33,446.97,487.31,405.54,354.84,277.10,203.60,167.81,165.84,106.64,78.21,55.81,44.01,41.01,35.23
辽宁省,390.30,426.11,423.12,445.70,444.52,493.80,577.03,563.05,489.01,497.62,366.20,312.58,258.04,242.32,165.74,131.87,108.89,120.15,116.94,118.24
吉林省,101.30,129.01,132.27,145.60,229.01,243.17,247.39,238.24,217.69,216.76,155.74,103.97,118.73,101.89,57.63,53.92,44.77,44.25,43.57,43.37
黑龙江省,155.40,154.18,143.76,124.30,120.72,130.43,145.14,157.81,152.49,125.46,95.48,80.24,68.50,65.95,50.74,36.39,39.87,44.24,44.12,42.78
上海市,43.30,93.71,71.80,96.60,115.30,106.15,146.28,102.25,78.49,131.43,86.57,110.07,147.43,146.80,106.38,101.47,73.52,89.25,89.48,91.19
江苏省,866.60,982.60,918.98,1047.20,1232.52,1220.37,1289.71,1298.13,1203.05,1233.30,943.87,745.18,607.19,662.41,493.45,386.76,287.58,258.30,200.26,182.20
浙江省,820.70,875.19,749.61,759.90,825.30,807.87,938.52,1053.23,1027.94,1057.26,926.05,753.30,621.94,707.65,546.56,407.72,323.70,253.80,175.09,139.59
安徽省,344.70,355.56,383.59,442.60,437.18,425.32,460.12,435.93,379.77,361.70,278.59,199.97,161.12,169.41,104.47,71.33,56.73,52.83,47.23,42.28
福建省,381.70,388.92,381.27,412.20,403.11,389.26,431.07,409.12,355.51,338.40,270.18,218.12,186.70,183.61,123.51,100.01,75.92,74.74,60.87,56.77
江西省,256.90,263.67,237.76,223.40,224.49,208.00,203.63,209.75,187.92,170.34,143.04,107.69,85.46,98.90,63.02,50.09,36.92,35.80,36.55,34.74
山东省,993.30,995.33,1057.60,1289.50,1546.43,1586.10,1667.65,1612.28,1457.51,1305.69,1051.42,856.21,742.70,732.70,552.62,431.00,342.33,278.14,215.35,189.02
河南省,630.10,618.91,661.99,709.30,821.82,804.81,775.26,721.28,643.00,608.45,543.25,385.65,333.81,314.81,230.83,186.77,154.44,133.19,117.91,113.37
湖北省,371.80,336.03,414.84,405.70,417.27,467.38,516.99,522.40,476.04,435.91,350.11,285.89,212.79,191.56,118.87,106.95,88.79,92.13,73.17,69.33
湖南省,324.60,366.99,359.43,383.90,436.65,430.13,426.25,394.07,347.39,324.55,260.40,217.43,173.47,168.52,118.12,82.62,58.19,60.00,46.64,43.58
广东省,917.80,1053.43,758.64,686.90,822.53,660.83,728.79,736.98,700.12,690.31,556.62,445.93,388.27,423.67,309.67,261.24,208.46,198.15,183.25,177.88
广西壮族自治区,205.90,206.17,175.04,202.00,214.86,218.55,240.28,240.83,214.22,210.07,160.63,134.77,122.39,124.64,70.02,49.09,38.44,36.07,32.67,30.67
海南省,34.50,37.56,39.26,43.90,39.86,40.30,36.04,31.07,23.41,22.76,16.42,17.07,16.31,22.05,16.92,11.40,7.69,6.69,5.70,5.98
重庆市,147.20,171.97,184.36,193.90,188.34,220.54,217.20,216.53,192.53,159.32,123.05,97.26,76.92,80.63,56.50,44.07,32.24,33.58,36.68,34.90
四川省,514.50,516.41,540.01,561.60,565.54,616.15,690.41,696.40,569.61,506.12,403.76,292.99,216.60,237.69,162.84,125.36,99.44,94.23,89.92,87.73
贵州省,195.00,205.41,215.98,214.50,213.86,228.70,248.47,238.95,196.18,165.38,120.64,96.56,76.78,76.34,51.70,40.33,34.75,32.21,26.74,23.69
云南省,286.00,298.25,320.75,302.00,314.03,317.93,363.41,356.27,285.71,227.57,169.53,128.93,98.49,102.31,72.02,52.22,42.03,45.40,39.85,38.34
西藏自治区,12.90,10.10,9.57,8.10,5.93,4.55,4.90,1.91,1.63,2.14,0.73,0.29,0.16,0.34,0.15,0.16,0.18,0.12,0.08,0.23
陕西省,349.80,333.71,370.62,342.30,350.57,341.49,329.96,327.46,278.07,235.48,159.67,121.35,100.78,90.76,66.02,64.39,57.65,59.22,51.98,55.84
甘肃省,162.50,161.86,192.26,217.00,205.75,211.30,241.99,210.93,160.21,158.32,106.82,74.69,58.29,57.42,43.42,36.68,33.52,29.28,26.99,28.13
青海省,94.00,99.67,118.53,111.90,113.58,109.78,108.11,113.69,100.86,85.09,67.73,54.20,35.23,31.49,26.20,19.04,15.89,16.55,11.00,11.91
宁夏回族自治区,188.90,175.65,176.67,167.70,155.04,138.27,128.88,129.65,111.50,109.54,76.91,50.74,38.68,41.27,27.45,19.31,15.21,13.04,12.67,11.30
新疆维吾尔自治区,317.70,303.50,302.61,280.10,295.41,272.43,278.88,263.19,200.74,139.22,95.43,71.80,57.27,48.48,38.73,29.94,26.08,24.40,22.68,25.14
注：1.1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
　　　2.2017年以来全国规模以上工业企业主要经济指标数据与上年数据之间存在不可比因素，其主要原因是：（一）根据统计制度，每年定期对规模以上工业企业调查范围进行调整。每年有部分企业达到规模标准纳入调查范围，也有部分企业因规模变小而退出调查范围，还有新建投产企业、破产、注（吊）销企业等变化。（二）加强统计执法，对统计执法检查中发现的不符合规模以上工业统计要求的企业进行了清理，对相关基数依规进行了修正。（三）加强数据质量管理，剔除跨地区、跨行业重复统计数据。
数据来源：国家统计局
