数据库：分省年度数据
指标：规模以上工业企业营业利润(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,1976.11,1407.36,1381.06,1374.76,1161.12,1094.83,1022.74,956.01,686.60,490.75,456.40,292.70,242.70,272.92,173.40,111.79
天津市,,,,,981.82,1993.42,2204.16,2235.12,2233.71,2082.52,1897.70,1503.75,975.29,707.05,728.34,666.74,528.05,407.71,248.62,203.44
河北省,,,,,2715.51,2781.79,2311.85,2570.05,2731.57,2621.86,2773.07,2551.59,1770.55,1542.67,1374.23,952.23,784.05,530.64,374.42,229.77
山西省,,,,,1019.02,271.70,-89.39,223.90,615.25,1029.30,1402.51,1035.50,505.10,682.33,607.34,368.92,281.38,234.92,135.51,55.15
内蒙古自治区,,,,,1398.97,1459.80,1254.41,1531.23,2369.21,2207.29,2586.43,2106.84,1341.82,1104.62,897.24,506.23,315.17,165.66,53.56,27.63
辽宁省,,,,,1006.49,429.81,896.30,2001.07,2968.13,2592.04,2660.27,2458.90,1535.73,925.78,965.58,482.84,357.40,406.58,251.78,138.54
吉林省,,,,,992.48,1224.04,1145.24,1421.90,1291.56,1238.55,1223.20,924.94,613.46,517.41,381.84,188.53,124.28,120.13,149.46,63.27
黑龙江省,,,,,373.57,250.56,397.66,973.99,1180.16,1297.06,1450.56,1256.31,890.48,1633.68,1265.72,1254.15,1059.88,745.64,578.60,453.00
上海市,,,,,3112.76,2753.94,2526.52,2468.88,2268.55,1951.29,2152.80,2234.34,1359.22,818.58,1228.10,982.28,821.24,931.70,734.97,484.41
江苏省,,,,,9878.51,10498.66,9636.43,9131.63,8513.02,7407.28,7661.10,6526.75,4499.79,4443.80,3249.79,1833.52,1326.32,1081.53,792.30,528.81
浙江省,,,,,4314.57,4190.36,3590.24,3518.88,3384.28,2923.91,3207.12,3092.69,1995.55,1468.29,1671.07,1285.23,1031.18,900.78,741.88,562.99
安徽省,,,,,2421.34,2249.75,2003.22,2014.39,2249.35,2061.80,1906.87,1621.28,927.62,788.32,356.58,238.46,215.23,208.79,166.33,80.51
福建省,,,,,3216.61,2871.59,2364.93,2360.50,2243.36,2014.22,2148.50,1855.04,1198.51,948.51,956.69,638.30,385.83,328.61,298.76,202.40
江西省,,,,,2281.52,2414.69,2071.25,2124.51,1816.53,1500.02,1264.34,920.32,561.25,543.47,292.47,178.30,102.88,62.96,52.67,19.94
山东省,,,,,7998.07,8637.56,8467.69,8762.34,8676.63,7981.18,7335.38,6355.76,4672.95,4070.18,3471.29,2867.93,2337.72,1447.90,885.61,634.95
河南省,,,,,5355.56,5217.23,4917.87,4928.83,4520.71,3998.42,4178.97,3402.23,2481.06,2317.41,1874.95,1147.87,671.89,389.15,253.74,172.06
湖北省,,,,,2548.92,2517.81,2313.30,2357.20,2466.15,2046.06,1999.76,1817.98,1072.60,985.37,671.34,414.87,353.05,208.18,185.84,165.65
湖南省,,,,,2198.00,2092.38,1868.56,1765.92,2115.46,1942.34,2150.52,1633.53,1095.30,909.18,829.87,479.13,256.77,180.04,104.76,58.60
广东省,,,,,8663.02,7934.52,7247.08,6861.70,6389.56,5382.47,5800.34,6199.89,4375.86,3837.23,3257.64,2409.78,1852.92,1393.74,1128.66,717.14
广西壮族自治区,,,,,1573.03,1349.37,1230.02,1124.28,1059.00,1009.59,1027.41,799.89,335.91,222.11,311.82,175.37,119.13,111.35,76.41,34.09
