数据库：分省年度数据
指标：规模以上工业企业利润总额(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,3664.90,1729.55,1710.25,1530.00,2023.67,1608.26,1597.71,1515.75,1282.88,1267.89,1129.50,1028.34,742.92,557.00,695.61,531.15,413.50,397.41,235.29,165.52
天津市,1456.90,971.15,1247.68,1200.70,1061.37,2046.69,2221.82,2261.83,2258.93,2100.66,1933.72,1552.05,831.68,752.79,767.12,693.00,551.60,409.47,237.62,186.19
河北省,2294.30,2177.78,2140.10,2211.70,2712.87,2815.11,2360.99,2610.90,2734.70,2559.47,2639.01,2141.47,1440.28,1369.84,1269.98,884.74,690.38,528.54,386.76,252.97
山西省,2949.90,1086.28,1164.69,1355.90,1031.59,294.78,-30.69,256.31,614.59,1010.91,1282.96,958.25,461.82,634.25,570.05,352.28,261.28,243.83,135.07,62.25
内蒙古自治区,3380.80,1314.98,1463.06,1409.40,1451.74,1344.41,1048.55,1299.32,2014.06,1931.69,2210.94,1688.44,988.17,771.44,641.99,348.69,235.13,142.19,64.97,37.29
辽宁省,1699.60,1341.22,1354.04,1460.30,1063.25,575.39,1069.66,2107.63,2976.15,2435.69,2511.21,2371.35,1381.95,781.58,852.67,449.75,355.98,430.78,235.95,156.16
吉林省,1073.80,573.99,743.99,817.00,1028.03,1268.49,1208.47,1445.89,1278.39,1215.04,1175.97,843.21,540.03,396.23,452.10,206.42,141.00,184.30,159.75,96.91
黑龙江省,515.20,311.48,417.22,487.00,416.70,295.54,465.09,1007.08,1185.49,1338.56,1446.65,1248.82,872.62,1581.69,1277.34,1267.58,1067.09,744.58,575.56,459.23
上海市,3032.00,2882.67,2927.07,3338.40,3243.80,2913.91,2680.53,2650.00,2392.05,2149.42,2253.82,2299.66,1431.97,967.24,1308.99,1096.92,939.56,1052.77,805.65,544.63
江苏省,9358.10,7622.80,6855.03,8491.90,10052.54,10574.40,9686.84,9057.17,8379.50,7250.20,7074.44,5970.56,4099.58,3972.93,2765.77,1906.91,1384.64,1126.58,793.98,554.22
浙江省,6788.70,5807.04,5003.04,4452.10,4605.41,4469.42,3839.99,3729.13,3561.26,3112.65,3320.45,3174.75,2115.65,1634.20,1775.47,1375.49,1103.53,999.73,793.63,606.11
安徽省,2669.90,2439.55,2254.30,2448.20,2352.44,2242.26,2000.12,1943.62,2108.77,1870.26,1663.16,1445.57,819.04,606.73,359.94,253.93,218.20,207.74,168.52,97.27
福建省,4353.30,3949.87,4326.54,3537.10,3221.82,2889.26,2359.82,2344.27,2227.45,2023.27,2114.54,1754.18,1104.05,896.11,894.51,586.52,407.55,382.00,314.40,204.30
江西省,3122.40,2591.34,2262.80,2157.80,2355.56,2443.93,2114.65,2130.41,1802.24,1506.51,1215.94,909.77,537.07,507.96,307.75,194.19,112.41,71.88,51.41,23.10
山东省,5268.80,4431.32,3652.74,4872.20,8128.17,8820.02,8660.48,8843.91,8715.36,8016.35,7097.71,6107.99,4512.66,3923.56,3391.15,2632.58,2164.70,1407.86,920.27,621.89
河南省,2581.20,2823.18,3547.88,3053.40,5352.43,5240.61,4900.60,4946.19,4543.07,4016.39,4131.59,3302.22,2444.18,2287.78,1941.51,1141.80,643.39,403.86,255.91,183.85
湖北省,3189.50,2646.93,3049.57,2755.40,2608.03,2713.46,2456.00,2402.63,2475.07,2046.28,1866.26,1668.55,1092.47,909.03,647.85,454.00,371.84,270.98,194.40,175.60
湖南省,2060.00,2559.92,2227.27,1726.90,2093.98,2028.59,1808.70,1688.30,2047.87,1790.96,1832.99,1451.45,758.48,663.56,488.24,272.69,189.25,154.77,111.25,69.01
广东省,10927.60,9572.09,9140.48,8309.70,8864.36,8383.04,7723.16,7014.99,6496.42,5464.90,5872.23,6239.64,4204.40,3272.60,3085.65,2217.73,1693.99,1449.96,1075.41,769.09
广西壮族自治区,1131.30,990.49,923.78,1100.10,1610.95,1393.35,1279.06,1085.71,1014.24,932.83,894.82,771.59,321.27,231.14,293.51,190.69,134.99,121.30,66.42,35.62
海南省,212.10,133.15,170.50,145.30,110.03,101.87,103.61,113.36,123.16,133.35,154.84,140.04,106.66,80.74,71.81,60.00,35.04,28.54,17.66,15.90
重庆市,1877.50,1506.53,1210.32,1218.70,1501.87,1648.36,1411.86,1229.65,907.60,645.39,660.35,518.59,356.20,308.68,241.73,156.65,115.59,115.59,85.97,40.54
四川省,4359.20,3386.38,3036.89,2717.90,2824.26,2339.82,2171.26,2237.00,2328.99,2333.76,2197.84,1661.85,1123.70,844.56,700.05,448.07,326.65,188.57,153.08,122.60
贵州省,1063.50,1174.41,976.30,879.20,903.43,847.02,732.76,628.68,636.60,627.02,456.20,317.63,191.73,181.83,174.41,110.91,70.79,61.99,37.52,21.41
云南省,1211.00,1115.02,950.80,925.20,782.65,334.98,465.53,516.08,630.63,586.52,639.70,599.34,365.23,310.14,388.61,310.18,227.91,213.72,108.06,73.16
西藏自治区,48.90,19.17,6.94,17.40,26.60,16.94,6.93,12.56,7.34,12.89,12.83,10.82,6.82,4.50,7.15,5.54,4.47,3.44,2.97,2.02
陕西省,3605.10,2037.07,2360.44,2436.30,2274.43,1589.00,1441.30,1877.44,2151.37,2057.22,1976.31,1469.57,854.11,1008.99,691.83,523.95,400.65,253.90,158.62,93.18
甘肃省,516.50,300.06,304.87,270.40,244.54,72.68,-91.89,243.17,300.46,285.23,268.10,231.51,169.10,109.46,214.78,106.70,59.65,57.46,30.35,20.91
青海省,301.60,103.18,-528.82,62.70,101.11,80.02,67.85,106.19,149.07,168.89,222.85,182.02,100.02,177.17,136.27,113.23,72.82,33.88,12.16,11.30
宁夏回族自治区,462.60,194.61,218.32,174.20,146.04,143.23,85.34,118.06,179.97,131.22,175.68,138.00,83.76,39.13,49.79,26.52,21.09,15.36,8.92,5.14
