数据库：分省年度数据
指标：公路运输业就业人员数(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,236560,262211,279774,282494,279180,288787,282196,273618,269366,46607,51532,50340,38236,34816,32215,28671,24037,22089,23447
天津市,,58593,58793,61561,55494,57471,56129,51638,51413,50326,17652,17526,18328,18720,13395,15119,14320,15380,15481,22925
河北省,,121768,117971,121007,117390,148054,150198,144943,138157,114234,85674,90642,92366,89132,91627,90565,91657,79062,85502,47859
山西省,,100343,75783,76661,84034,83031,84688,84807,82492,76692,49288,45638,47265,51412,51563,44563,43942,50025,52184,27553
内蒙古自治区,,56942,57632,65806,68690,69790,66565,69230,73428,44885,33902,33012,34027,32679,32674,31533,32480,32210,33692,15041
辽宁省,,112853,115587,122535,133234,122195,134523,136190,142378,96900,71020,65815,69565,66007,61846,62037,64804,68492,70771,33007
吉林省,,69309,61878,49051,53566,52935,56383,54719,60989,44849,25405,26025,28106,27285,28578,29905,35491,38312,39824,23268
黑龙江省,,49493,60614,66041,73285,72898,74505,74614,76624,77338,64459,64412,67053,69246,72635,69495,69662,71928,69570,27685
上海市,,154830,179731,181993,188720,196395,206868,209885,202798,174277,39038,24698,26152,16639,16531,16053,17807,17787,18358,17404
江苏省,,217154,233644,246682,251916,259038,253790,253433,239597,138456,93457,81189,80820,78302,80080,80101,81612,83358,87206,66590
浙江省,,179187,202173,173107,167380,165609,165240,165213,159724,151953,104126,89728,82866,72234,66572,64818,63864,65896,67309,42173
安徽省,,114238,132343,133448,143166,128272,123153,116732,112095,78565,56685,51578,50194,41791,45557,45937,54204,56681,59242,49039
福建省,,93953,96020,96647,103841,104685,107797,108676,105271,76966,44713,41650,39681,32975,19858,32295,31307,32742,33459,27297
江西省,,92085,89676,93132,105139,103024,104811,103656,106077,43973,38878,48205,49527,52461,47197,46152,45783,47917,45165,29927
山东省,,226659,203676,224934,225533,224205,224541,234715,234278,164478,107995,104576,101643,86503,79990,79899,83018,102767,103097,72075
河南省,,228097,229495,201620,253742,254487,249899,242084,234278,135835,98972,93380,91875,99008,107665,114698,123332,125649,122755,78730
湖北省,,151464,159683,157194,166875,166210,160326,156845,145880,97426,66202,62321,64266,64894,59313,81046,81500,95028,101759,60104
湖南省,,126316,129511,97592,102379,102405,103606,107524,103424,98687,66072,62099,61256,61897,64070,58690,61637,72328,74580,48856
广东省,,383305,388267,397895,397181,393904,385321,383629,380485,301012,186881,171423,158214,141857,136423,128693,124259,117358,114582,62231
广西壮族自治区,,65024,66832,67507,69308,75405,78600,79232,82659,77093,58675,59559,61968,61030,63006,56805,53587,54297,53611,28860
海南省,,20865,19442,23993,22582,21705,19668,19568,19638,15754,13015,11895,11177,10405,11310,11422,12437,12431,9145,4034
重庆市,,120106,123672,133988,175496,172431,179925,181971,165898,76734,54276,49304,47337,41853,35951,36131,37175,35872,35095,22062
四川省,,183598,166837,173568,190266,191317,192997,207857,195737,115329,79076,78388,84207,85883,83520,86798,86302,85346,88410,54915
贵州省,,59832,59640,56007,55903,55171,55655,54836,54795,36248,24528,25472,22971,23851,22979,24014,25044,27904,28804,14198
云南省,,73723,75190,75210,81574,79584,80384,78844,72439,56271,44317,44379,48441,43783,44942,46320,47248,51421,57816,39209
西藏自治区,,8968,15372,5191,5256,5255,5685,5573,4660,3790,2353,2840,3534,4123,4335,3546,3261,3138,4800,2198
陕西省,,131572,111013,110956,112073,115492,112248,111184,117312,52185,45776,45847,43617,45493,50008,51889,54996,48226,45428,28238
甘肃省,,43378,44324,44888,51114,48593,48834,48691,50523,38077,24757,28393,26264,24713,24065,24318,27871,26579,28969,16081
青海省,,18981,19558,15526,17560,16308,15041,14738,18818,14545,9952,9204,9694,9571,9144,9697,9755,10183,9765,4184
宁夏回族自治区,,10705,11089,12258,11549,11387,12640,15682,15857,14237,9013,8188,8671,7395,7429,7543,10095,9958,10869,4371
新疆维吾尔自治区,,86429,79748,77198,79382,79460,80850,82557,84780,41644,27067,27707,28547,28709,28270,30096,31904,33137,35615,22057
数据来源：国家统计局
