数据库：分省年度数据
指标：航空运输业就业人员数(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,82797,80757,83122,81327,75996,70708,68975,66653,62527,57941,37309,35847,34615,29159,26740,29824,32487,17805,10175
天津市,,8695,8896,8923,9976,8836,9768,9154,8236,7246,3055,3868,3352,3438,1679,2464,2156,2787,2754,2300
河北省,,6357,5716,5880,5487,4766,5538,4151,3306,1795,1810,1943,1128,1640,1688,1687,760,785,1163,2364
山西省,,5350,5051,6514,6100,5994,5121,4933,5196,4853,4556,3373,3566,3559,3579,3633,3496,4258,3518,2219
内蒙古自治区,,6826,7407,5252,4672,4486,4241,4064,4076,4022,3805,3746,3704,3877,3344,3166,2729,3014,2761,1048
辽宁省,,12396,18345,20106,20240,19450,19728,19601,19150,18499,15047,9949,10812,11075,10847,10787,10483,10245,11094,9494
吉林省,,2892,3773,6484,6550,6212,6397,5491,5379,5286,4852,4700,4525,4489,4225,4509,3892,3554,3342,2550
黑龙江省,,7929,10855,4667,9578,8445,7161,7154,6733,6102,4782,4188,4086,4134,4920,3515,3725,4055,3907,3747
上海市,,81526,82811,91436,85911,83947,73429,61645,60843,57671,57018,36763,29999,27742,25917,24251,22269,20537,19467,9914
江苏省,,16981,16798,15061,15241,15805,14552,13249,13368,10292,9419,8574,8429,7110,8492,7893,6151,4460,4674,3893
浙江省,,14416,10806,13915,15016,15276,11490,11979,10887,10279,9862,8385,7221,6180,5912,5396,7244,6237,6205,1674
安徽省,,4005,3995,4901,4465,4386,4139,2761,4116,2968,2892,2601,2651,2273,2190,2099,2146,2122,2139,2118
福建省,,26412,27767,26260,19261,18111,16818,16389,15234,13457,12897,11707,10472,10067,9882,9568,9142,8770,7900,5921
江西省,,3968,4732,4299,3388,2917,2872,2693,4844,914,2689,2587,2775,2664,2861,2535,2358,4962,2015,1639
山东省,,20450,19734,8287,19713,17820,16125,14758,14113,14714,10680,11033,10987,10305,9026,9049,7628,6813,6437,3581
河南省,,9710,9368,8977,7823,11194,10391,11035,7795,7234,7130,281,315,229,1979,2030,1691,1566,1526,41
湖北省,,6571,7983,9611,10551,7067,7232,6686,9137,7438,5445,5853,4921,6305,5387,6134,4566,5999,4928,3003
湖南省,,7685,6718,8982,9138,8517,8452,8334,7463,8343,4794,3954,3707,3069,3054,3003,4003,2190,4270,3028
广东省,,119903,127911,132231,134402,129470,114637,108539,109755,49202,41449,44182,41861,41470,37826,36760,28920,24508,21712,14060
广西壮族自治区,,2077,8631,8692,8238,7757,9496,9416,5229,6173,6057,4140,3716,3568,3620,3422,3509,3683,3219,646
海南省,,25172,24943,25408,21736,22461,20715,12575,14198,13194,10335,9634,10289,11634,10406,10133,9749,8200,6956,5418
重庆市,,15032,15112,15011,14102,13173,10157,8638,10384,8993,8271,7093,5092,4870,2214,2436,2806,4908,3858,2862
四川省,,37440,35845,51954,38394,36664,42815,41694,35328,11635,18874,17673,16575,16041,15111,14109,13785,11763,11873,8028
贵州省,,11410,15109,12351,10581,9635,7649,6391,6018,4608,3841,4043,3765,3760,3022,2804,2564,2839,2561,1521
云南省,,26545,26144,27058,26962,23817,20870,19614,18525,16161,13312,11519,10722,10251,6606,6151,5964,5198,5555,5453
西藏自治区,,7860,7207,4135,1029,844,807,582,372,19,,870,870,859,765,674,641,630,612,
陕西省,,13313,12497,12012,12473,10763,12082,9004,12228,8667,579,604,598,7309,5530,4666,7409,8365,7385,5104
甘肃省,,3877,3826,3686,2395,2850,2433,2560,1642,,1303,1153,1223,2283,3000,3000,3007,3059,2616,2955
青海省,,2527,2473,2518,2280,2129,2045,1821,1277,186,176,162,152,142,712,768,669,504,237,391
宁夏回族自治区,,2442,2800,2757,2758,2942,2726,2150,1710,1705,1358,1253,1071,787,586,562,596,620,397,399
新疆维吾尔自治区,,9968,9533,15467,14531,13571,12764,11753,11202,11917,11031,8883,8348,7208,7588,7249,5986,5905,5934,4969
数据来源：国家统计局
