数据库：分省年度数据
指标：邮政业就业人员数(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,94395,96389,84799,49169,61513,69749,79706,82206,66715,63673,37884,37218,34949,32560,28780,26494,25769,18954,
天津市,,17599,13363,9075,7679,10841,8728,6852,8479,7117,3805,3751,4247,4215,4572,4637,4756,5175,4887,
河北省,,22826,29594,28692,24753,30525,30125,32129,33311,28601,23970,27338,27721,16805,24210,23226,19912,20166,19129,
山西省,,15616,15977,17121,21148,21148,21476,22288,22449,19899,21041,16771,19890,17227,20276,19061,17879,15092,14865,
内蒙古自治区,,16828,16459,18227,21025,21491,21968,23734,23101,14409,13230,13244,13438,13344,12900,12107,12227,13440,11120,
辽宁省,,16486,16050,16630,19383,20334,20694,23283,23404,19521,20118,18829,17212,15796,18250,18891,19700,18412,16758,
吉林省,,18855,20332,19664,21513,18296,18841,19509,20901,12358,12182,11808,11754,11898,14055,14207,13408,15311,14085,
黑龙江省,,26669,27211,29304,29512,30037,29652,31334,30200,25732,24279,21544,23499,18747,21043,20762,21113,20937,21858,
上海市,,46135,33286,24187,28186,31065,33369,35052,32400,21248,33022,26548,25949,11700,13482,14101,14528,15082,16959,
江苏省,,43739,43619,51465,57203,57103,56177,59899,64419,37386,35053,30876,33584,22119,24131,23320,23953,23936,22042,
浙江省,,58347,33437,32082,49588,47346,48106,53162,55066,45245,38164,33917,30747,17734,20569,20080,20232,21073,20423,
安徽省,,21155,23137,40304,29857,29540,27512,30004,32275,21424,20281,18171,18478,12439,13483,13794,13214,13379,14009,
福建省,,34481,31962,28389,31715,29113,34541,29950,32842,18944,21244,18903,18445,16092,17590,16159,15630,16147,15944,
江西省,,20526,19350,20109,20297,20346,24635,21331,21578,14071,14165,13399,13874,12079,13378,16785,14908,11416,13525,
山东省,,46658,42768,47215,45965,46938,44323,51077,53203,25880,22846,23939,22539,17491,19500,19092,21840,22097,23429,
河南省,,38140,28978,40539,36559,34570,35353,31586,33954,15668,17954,23458,29322,18986,24981,24254,21366,19930,20645,
湖北省,,26956,32665,60244,51404,53161,53781,57998,54184,24061,21474,17790,18028,13769,16866,16366,16462,16162,16026,
湖南省,,26354,26929,28376,32426,37672,38096,39954,39273,30069,22545,18284,20543,19038,21129,18312,18278,18582,22122,
广东省,,100660,88171,109102,97821,93163,126622,147963,167041,83968,58108,35608,36328,33242,36931,36132,36594,36977,37082,
广西壮族自治区,,30408,28730,28399,27790,25013,23579,23903,27251,18579,19998,16810,15659,12794,13980,11917,12458,10957,10151,
海南省,,13611,10463,9606,8937,7968,7329,4411,4760,4133,3856,3208,3540,3075,2731,3039,2686,2628,2580,
重庆市,,27670,27789,28037,28298,28099,28330,30250,29627,27330,13867,10968,10237,7541,7608,10596,10398,8777,10321,
四川省,,32001,29021,64699,66468,76449,75827,72163,74003,25818,24936,24979,26492,19439,21009,19902,18019,18640,18109,
贵州省,,21720,17942,10948,14393,14178,13051,10448,12257,12472,14040,13456,13612,10343,9614,8435,7518,7811,8913,
云南省,,11934,12381,18641,17948,16569,16192,17094,17442,13765,12817,12466,12173,12044,10688,11021,11030,10603,10330,
西藏自治区,,2591,2202,839,2239,2125,2061,2046,1901,1971,1897,2395,2081,1538,1645,2161,2028,1606,1551,
陕西省,,32444,32523,34199,35456,35356,32737,35877,39057,13262,12669,12497,19315,17393,16171,18084,14650,14837,13872,
甘肃省,,16741,13729,9538,15264,12738,13021,13577,17139,10579,10229,9424,9220,8974,6921,6594,6522,6128,6151,
青海省,,4085,5243,3219,3330,2866,2893,3682,3833,2653,2515,2231,2648,1518,1776,1922,1993,1757,2071,
宁夏回族自治区,,3187,3323,3841,3880,3971,4069,4225,4711,3787,2723,2012,2628,2199,3331,3102,2466,2471,2169,
新疆维吾尔自治区,,12214,11237,11669,11718,11211,11636,14807,14328,11944,11563,11379,12266,11431,12258,11959,12172,11793,11546,
数据来源：国家统计局
