数据库：分省年度数据
指标：铁路营业里程(万公里)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11
天津市,0.12,0.12,0.12,0.11,0.11,0.10,0.10,0.10,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
河北省,0.79,0.78,0.74,0.72,0.70,0.70,0.63,0.63,0.56,0.52,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.46
山西省,0.63,0.59,0.54,0.53,0.53,0.51,0.50,0.38,0.38,0.38,0.38,0.35,0.33,0.31,0.31,0.32,0.31,0.31,0.31
内蒙古自治区,1.42,1.30,1.28,1.27,1.23,1.21,1.02,1.02,0.95,0.92,0.89,0.81,0.68,0.67,0.64,0.62,0.63,0.62,0.62
辽宁省,0.66,0.65,0.65,0.59,0.56,0.58,0.51,0.51,0.50,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.38
吉林省,0.50,0.50,0.50,0.50,0.51,0.51,0.45,0.44,0.44,0.40,0.40,0.39,0.38,0.36,0.36,0.36,0.36,0.36,0.36
黑龙江省,0.68,0.68,0.69,0.62,0.62,0.62,0.60,0.60,0.60,0.59,0.58,0.58,0.58,0.58,0.57,0.57,0.56,0.55,0.55
上海市,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
江苏省,0.42,0.36,0.31,0.28,0.28,0.27,0.27,0.26,0.24,0.24,0.19,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.13
浙江省,0.32,0.28,0.28,0.26,0.26,0.26,0.23,0.20,0.18,0.18,0.18,0.17,0.13,0.13,0.13,0.13,0.12,0.12,0.13
安徽省,0.53,0.48,0.43,0.43,0.42,0.42,0.35,0.35,0.33,0.31,0.29,0.29,0.29,0.24,0.24,0.24,0.24,0.22,0.22
福建省,0.38,0.35,0.35,0.32,0.32,0.32,0.28,0.27,0.23,0.21,0.21,0.21,0.16,0.16,0.16,0.16,0.15,0.15,0.15
江西省,0.49,0.49,0.43,0.43,0.40,0.40,0.37,0.31,0.28,0.28,0.28,0.27,0.27,0.26,0.24,0.24,0.23,0.23,0.24
山东省,0.69,0.66,0.63,0.57,0.55,0.54,0.50,0.43,0.43,0.42,0.38,0.37,0.36,0.33,0.33,0.33,0.33,0.32,0.29
河南省,0.65,0.65,0.54,0.54,0.56,0.53,0.52,0.49,0.49,0.43,0.43,0.39,0.40,0.40,0.40,0.41,0.41,0.37,0.36
湖北省,0.52,0.52,0.43,0.42,0.41,0.41,0.41,0.39,0.38,0.34,0.34,0.30,0.27,0.26,0.25,0.25,0.25,0.24,0.24
湖南省,0.56,0.56,0.51,0.47,0.47,0.45,0.46,0.40,0.38,0.37,0.37,0.37,0.29,0.29,0.29,0.29,0.28,0.30,0.28
广东省,0.49,0.47,0.45,0.42,0.42,0.40,0.40,0.35,0.28,0.28,0.27,0.25,0.22,0.22,0.22,0.22,0.22,0.21,0.21
广西壮族自治区,0.52,0.52,0.52,0.52,0.52,0.51,0.47,0.40,0.32,0.32,0.32,0.31,0.27,0.27,0.27,0.27,0.27,0.27,0.27
海南省,0.10,0.10,0.10,0.10,0.10,0.10,0.07,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.02
重庆市,0.24,0.24,0.23,0.22,0.21,0.19,0.18,0.17,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.07,0.07,0.07
四川省,0.53,0.52,0.50,0.48,0.46,0.44,0.40,0.35,0.35,0.35,0.35,0.33,0.30,0.30,0.30,0.30,0.30,0.30,0.29
贵州省,0.39,0.38,0.36,0.33,0.33,0.28,0.24,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.19,0.19
云南省,0.42,0.41,0.38,0.37,0.37,0.29,0.29,0.26,0.26,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.24
西藏自治区,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,,,,
陕西省,0.56,0.54,0.50,0.50,0.46,0.45,0.45,0.44,0.41,0.41,0.41,0.33,0.32,0.32,0.32,0.31,0.32,0.29,0.29
甘肃省,0.51,0.48,0.47,0.47,0.41,0.38,0.34,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23
青海省,0.30,0.24,0.23,0.23,0.23,0.23,0.21,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.11,0.11,0.11,0.11
宁夏回族自治区,0.17,0.16,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
新疆维吾尔自治区,0.78,0.69,0.60,0.59,0.59,0.59,0.55,0.47,0.47,0.43,0.42,0.37,0.28,0.28,0.28,0.28,0.28,0.28,0.28
数据来源：国家统计局
