数据库：分省年度数据
指标：等级公路里程(万公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,2.23,2.24,2.23,2.22,2.20,2.19,2.18,2.15,2.13,2.12,2.09,2.06,2.01,2.05,2.02,1.45,1.44,1.41,1.39
天津市,,1.64,1.61,1.63,1.65,1.68,1.66,1.61,1.57,1.54,1.52,1.48,1.43,1.21,1.15,1.13,1.08,1.04,0.99,0.91
河北省,,20.45,19.30,18.85,18.63,18.26,17.86,17.29,16.77,15.54,14.91,14.61,14.28,13.75,13.31,12.74,6.72,6.17,5.57,5.40
山西省,,14.32,14.27,14.10,14.02,13.91,13.78,13.71,13.60,13.42,13.10,12.77,12.13,11.42,10.71,9.65,6.78,6.37,6.08,5.73
内蒙古自治区,,20.53,19.94,19.56,19.22,18.83,16.38,16.01,15.50,15.10,14.79,14.44,12.22,10.96,9.08,8.38,7.09,6.74,6.52,6.30
辽宁省,,12.45,11.79,11.57,11.14,10.80,10.65,10.09,9.60,9.00,8.77,8.48,8.32,8.04,7.65,7.59,5.33,5.22,4.98,4.78
吉林省,,10.37,10.20,10.06,9.89,9.72,9.01,8.87,8.66,8.54,8.38,8.10,7.76,7.45,7.10,6.86,4.85,4.47,4.14,3.84
黑龙江省,,14.49,14.50,14.30,14.07,13.85,13.63,13.50,13.18,12.93,12.41,11.89,11.45,10.41,9.39,8.35,6.17,6.13,5.96,5.79
上海市,,1.29,1.30,1.31,1.33,1.33,1.32,1.29,1.26,1.25,1.21,1.20,1.17,1.15,1.12,1.04,0.81,0.78,0.63,0.60
江苏省,,15.81,15.80,15.63,15.58,15.44,15.15,14.98,14.83,14.61,14.41,14.17,13.42,12.93,11.77,10.86,7.50,7.01,5.63,5.00
浙江省,,12.31,12.17,12.03,11.88,11.69,11.56,11.37,11.20,11.00,10.79,10.59,10.22,9.73,9.20,8.59,4.62,4.43,4.34,4.28
安徽省,,23.64,21.78,20.79,20.11,19.41,18.29,16.96,16.81,15.94,14.34,14.23,13.94,13.47,12.82,12.26,6.71,6.58,6.34,6.14
福建省,,9.53,9.38,9.25,9.13,8.98,8.75,8.29,8.09,7.65,7.37,7.07,6.75,6.65,6.33,5.79,4.80,4.46,4.22,4.12
江西省,,20.51,19.55,13.54,13.49,13.40,12.99,12.83,12.27,12.03,11.45,10.15,9.22,7.73,7.24,6.67,4.35,4.06,3.78,3.61
山东省,,28.66,27.99,27.49,26.97,26.48,26.24,25.84,25.14,24.30,23.14,22.77,22.40,21.71,20.77,19.91,8.01,7.78,7.62,7.39
河南省,,25.40,24.82,24.28,23.28,23.03,20.05,19.76,19.68,19.44,19.12,18.26,17.72,17.02,16.49,15.00,7.50,7.09,6.87,6.65
湖北省,,28.27,28.14,26.59,25.96,24.98,24.09,22.42,21.29,20.31,19.65,18.78,16.88,15.37,14.72,13.58,7.61,7.28,6.99,6.73
湖南省,,22.92,22.66,22.37,21.73,21.59,21.35,21.13,20.66,20.36,19.89,18.40,14.82,11.87,9.15,6.24,4.58,4.44,3.97,3.84
广东省,,22.17,21.49,20.91,20.65,20.46,20.15,19.71,18.64,17.72,17.24,17.01,16.02,15.49,15.17,14.77,10.65,10.17,9.97,9.77
广西壮族自治区,,12.42,11.88,11.57,11.26,10.89,10.50,10.06,9.63,9.16,8.73,8.12,7.72,7.31,6.29,5.21,5.10,4.73,4.53,4.22
海南省,,4.00,3.79,3.47,3.02,2.77,2.63,2.54,2.42,2.35,2.21,2.10,1.45,1.13,0.93,0.83,1.27,1.19,1.19,1.18
重庆市,,16.49,15.52,13.39,12.09,11.60,11.29,9.87,9.04,8.68,8.36,7.72,7.04,5.90,5.00,4.19,3.08,2.40,2.26,2.19
四川省,,37.93,31.81,30.48,29.48,27.92,26.61,25.70,24.66,23.43,22.09,20.60,18.31,14.08,11.57,8.49,7.93,7.64,7.53,7.39
贵州省,,18.32,17.09,15.66,14.88,13.23,12.06,10.76,9.54,8.66,7.96,7.26,6.80,6.40,5.55,4.93,3.54,3.39,3.24,3.05
云南省,,27.23,23.17,22.06,20.85,20.09,19.71,18.95,17.84,17.20,16.58,15.81,13.82,12.45,10.48,9.98,11.19,11.09,10.93,10.76
西藏自治区,,9.87,9.18,8.55,7.79,7.14,5.84,5.44,4.87,4.18,3.89,3.62,2.61,2.27,1.95,1.59,1.09,1.01,0.91,0.84
陕西省,,16.75,16.61,16.10,15.90,15.68,15.38,15.12,14.90,14.63,13.95,13.45,12.85,10.76,9.08,6.08,4.93,4.73,4.44,4.08
甘肃省,,15.16,14.64,12.81,12.48,12.51,12.04,11.41,10.68,10.14,9.17,8.57,7.66,5.84,5.07,4.29,3.28,3.16,3.09,3.08
青海省,,7.36,7.20,7.02,6.85,7.00,6.46,6.08,5.71,5.21,5.00,4.76,3.97,3.26,3.06,2.46,2.70,2.53,2.16,1.85
宁夏回族自治区,,3.69,3.65,3.54,3.44,3.38,3.30,3.11,2.83,2.60,2.39,2.12,2.03,1.94,1.89,1.81,1.30,1.23,1.18,1.11
新疆维吾尔自治区,,18.24,16.43,15.45,14.86,14.41,13.70,13.19,12.54,11.89,10.43,9.86,9.16,8.13,7.45,6.99,7.16,6.81,6.40,6.28
数据来源：国家统计局
