数据库：分省年度数据
指标：二级等级公路里程(万公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.40,0.40,0.40,0.40,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.27,0.28,0.25,0.24,0.22,0.18,0.18
天津市,,0.28,0.29,0.30,0.31,0.32,0.32,0.31,0.32,0.33,0.32,0.32,0.32,0.24,0.23,0.22,0.17,0.17,0.15,0.14
河北省,,2.22,2.13,2.10,2.04,1.99,1.97,1.93,1.85,1.76,1.67,1.59,1.56,1.52,1.49,1.38,1.25,1.15,1.06,0.98
山西省,,1.60,1.59,1.57,1.57,1.54,1.52,1.52,1.51,1.48,1.44,1.42,1.41,1.34,1.26,1.19,1.16,1.05,0.94,0.89
内蒙古自治区,,1.99,1.88,1.77,1.72,1.69,1.46,1.45,1.44,1.41,1.37,1.24,1.18,1.16,1.08,0.91,0.84,0.75,0.66,0.61
辽宁省,,1.86,1.85,1.83,1.82,1.79,1.81,1.80,1.76,1.74,1.73,1.71,1.65,1.52,1.47,1.41,1.34,1.27,1.14,1.08
吉林省,,0.98,0.98,0.96,0.95,0.94,0.93,0.91,0.90,0.89,0.88,0.91,0.88,0.87,0.83,0.81,0.73,0.63,0.56,0.49
黑龙江省,,1.26,1.24,1.19,1.18,1.16,1.13,1.06,0.99,0.96,0.88,0.91,0.86,0.77,0.74,0.73,0.71,0.70,0.66,0.58
上海市,,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.32,0.31,0.31,0.29,0.28,0.27,0.26,0.23,0.21,0.15,0.12
江苏省,,2.43,2.39,2.34,2.31,2.31,2.29,2.28,2.27,2.21,2.18,2.13,2.08,2.06,1.94,1.68,1.40,1.35,1.13,1.06
浙江省,,1.07,1.07,1.04,1.03,1.02,1.00,0.98,0.96,0.94,0.92,0.91,0.89,0.86,0.82,0.77,0.66,0.62,0.59,0.58
安徽省,,1.32,1.17,1.16,1.09,1.07,1.07,1.07,1.04,0.99,1.06,1.05,1.03,1.01,0.98,0.92,0.96,0.91,0.82,0.75
福建省,,1.15,1.11,1.09,1.07,1.01,0.95,0.92,0.90,0.83,0.75,0.74,0.73,0.70,0.66,0.63,0.63,0.62,0.57,0.56
江西省,,1.23,1.19,1.16,1.08,1.06,1.01,0.99,0.98,0.95,0.95,0.93,0.92,0.86,0.93,0.90,0.86,0.81,0.74,0.67
山东省,,2.66,2.65,2.62,2.49,2.45,2.52,2.54,2.51,2.47,2.42,2.39,2.39,2.38,2.38,2.39,2.19,2.11,2.08,2.03
河南省,,2.86,2.78,2.72,2.64,2.62,2.62,2.56,2.53,2.50,2.50,2.40,2.37,2.34,2.29,2.29,2.17,1.99,1.79,1.58
湖北省,,2.46,2.39,2.32,2.27,2.20,2.16,1.80,1.76,1.72,1.71,1.62,1.63,1.60,1.57,1.56,1.52,1.42,1.23,1.11
湖南省,,1.57,1.53,1.45,1.39,1.36,1.26,1.16,1.07,1.01,0.94,0.80,0.75,0.61,0.59,0.58,0.56,0.54,0.52,0.50
广东省,,1.96,1.92,1.90,1.92,1.92,1.92,1.92,1.91,1.90,1.90,1.91,1.88,1.83,1.83,1.75,1.71,1.66,1.59,1.52
广西壮族自治区,,1.47,1.38,1.32,1.27,1.19,1.11,1.06,1.04,0.97,0.91,0.86,0.86,0.81,0.73,0.68,0.63,0.58,0.54,0.48
海南省,,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.15,0.14,0.13
重庆市,,0.94,0.88,0.86,0.80,0.75,0.79,0.78,0.77,0.76,0.75,0.75,0.75,0.66,0.63,0.59,0.47,0.42,0.36,0.34
四川省,,1.70,1.67,1.60,1.49,1.45,1.40,1.39,1.37,1.38,1.31,1.31,1.31,1.09,1.03,0.97,1.01,0.96,0.92,0.86
贵州省,,1.03,0.93,0.84,0.75,0.67,0.62,0.45,0.41,0.41,0.38,0.36,0.32,0.27,0.27,0.28,0.26,0.26,0.26,0.22
云南省,,1.30,1.28,1.22,1.19,1.18,1.09,1.06,1.03,1.03,0.96,0.58,0.50,0.49,0.44,0.37,0.33,0.31,0.27,0.22
西藏自治区,,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.08,0.06,0.06,0.06
陕西省,,1.00,1.01,0.97,0.94,0.90,0.85,0.84,0.84,0.84,0.76,0.72,0.68,0.63,0.62,0.62,0.59,0.56,0.53,0.51
甘肃省,,1.09,1.05,0.92,0.89,0.93,0.79,0.75,0.73,0.66,0.59,0.58,0.55,0.51,0.51,0.50,0.50,0.48,0.42,0.41
青海省,,0.90,0.87,0.85,0.75,0.71,0.70,0.64,0.61,0.60,0.53,0.54,0.52,0.50,0.49,0.40,0.40,0.34,0.32,0.30
宁夏回族自治区,,0.42,0.40,0.39,0.38,0.36,0.34,0.34,0.30,0.28,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.20,0.20,0.19
新疆维吾尔自治区,,2.00,1.86,1.81,1.67,1.57,1.45,1.39,1.33,1.22,1.11,1.10,0.99,0.90,0.84,0.80,0.70,0.70,0.62,0.58
数据来源：国家统计局
