数据库：分省年度数据
指标：货物周转量(亿吨公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,1077.31,1032.78,1089.40,1034.22,958.42,825.43,901.41,1036.71,1051.14,1001.13,999.60,876.93,731.59,758.89,724.80,653.20,582.10,537.70,462.50,411.60
天津市,2677.56,2600.37,2662.45,2240.53,2169.54,2302.32,2519.22,3602.38,3097.39,7844.06,10337.29,10065.05,9606.61,2703.44,15289.00,12240.80,12593.00,11223.30,6521.10,6302.10
河北省,14769.50,13729.95,13563.38,13873.03,13381.59,12332.68,12007.28,12684.47,11674.06,10604.96,9630.43,8071.11,6405.15,5925.48,6006.40,5556.60,5068.10,4029.20,3223.20,2910.80
山西省,6444.67,5711.76,5466.48,4489.44,4185.03,3565.46,3438.55,3710.81,3592.38,3341.13,3062.51,2840.02,2390.44,2562.24,1839.70,1734.10,1690.90,1417.70,1259.10,1111.60
内蒙古自治区,4933.82,4567.36,4689.49,5595.98,5146.76,4341.74,4190.30,4471.08,4461.96,5870.34,5422.33,4712.88,4116.91,3658.72,2023.30,1713.60,1437.10,1311.90,1160.30,1077.10
辽宁省,4524.65,5421.47,8921.43,10654.45,12757.20,12113.49,11711.92,12235.71,11970.28,11563.68,10404.55,9029.08,7753.94,7033.90,5817.80,4044.40,3350.50,2948.00,2385.20,1861.60
吉林省,2068.58,1865.06,1802.73,1704.71,1634.65,1478.52,1425.35,1703.81,1681.35,1596.11,1452.57,1282.18,1167.33,1157.78,655.00,611.70,605.90,595.90,531.00,502.40
黑龙江省,1744.82,1584.76,1615.08,1601.31,1657.69,1532.54,1545.35,1811.09,1930.04,2002.33,1968.24,1826.16,1644.68,1690.93,1282.40,1210.70,1167.40,1097.10,991.40,950.50
上海市,34074.60,32795.00,30324.90,28299.85,24998.71,19317.76,19495.88,18633.36,14332.71,20373.37,20309.56,18918.15,14372.56,16029.84,16053.60,13830.20,12128.10,10011.70,8492.30,7391.80
江苏省,11788.60,10895.72,9947.68,8969.29,9057.60,7653.78,8270.23,10417.86,9924.59,7904.05,6957.99,5589.50,4675.30,4300.95,3988.40,3548.20,2993.20,2348.30,1772.60,1502.30
浙江省,12937.51,12324.24,12391.92,11538.14,10106.23,9789.33,9869.72,9539.70,8951.22,9183.41,8634.91,7117.14,5659.86,4974.86,4962.50,4363.80,3417.00,2701.60,2047.20,1616.40
安徽省,11068.04,10241.67,10245.79,11803.68,11429.77,10896.37,10402.25,13500.60,12335.34,9817.83,8446.36,7153.41,6321.71,5843.21,1988.70,1702.70,1566.10,1455.90,1328.60,1223.70
福建省,10159.13,9014.32,8292.13,7646.24,6779.76,6070.59,5447.49,4780.22,3939.61,3871.45,3396.78,2976.67,2471.34,2396.21,2080.90,1900.20,1573.10,1398.90,1222.90,1003.80
江西省,4884.72,4010.78,3860.27,4528.63,4217.34,3897.75,3753.48,3827.98,3640.13,3433.53,2985.10,2719.47,2334.15,2285.49,1029.10,951.90,885.20,870.10,768.60,717.60
山东省,12049.70,10377.40,10166.42,10052.20,9719.46,8884.34,8418.04,8253.03,8194.15,11077.78,12684.26,11832.45,11022.22,10107.84,6413.40,6387.40,5551.00,4752.50,3908.90,4149.20
河南省,10674.57,8833.22,8658.54,8982.12,8228.70,7383.54,6948.05,7401.12,7259.81,9490.26,8530.79,7202.49,6153.97,5165.07,2736.90,2438.20,2352.50,2106.50,1891.60,1727.90
湖北省,6742.91,5294.95,6132.40,6675.50,6344.76,5922.87,5674.13,5503.57,4751.83,4439.82,3798.84,3097.29,2566.36,2526.39,1644.70,1489.00,1415.70,1383.40,1212.60,1087.20
湖南省,2897.70,2602.20,2593.58,4386.56,4300.74,4056.86,3895.53,4138.36,3832.33,3976.90,3369.97,2926.78,2513.28,2349.84,1922.30,1743.50,1628.60,1552.40,1350.60,1213.10
广东省,28031.52,27211.12,27373.67,28338.33,27919.79,21801.65,14882.21,14801.03,9228.55,9566.24,6904.99,5711.44,4769.73,4428.43,4292.20,4045.00,3860.30,3847.70,3158.00,3118.30
广西壮族自治区,4882.04,4159.61,3989.18,4983.78,4613.32,4260.41,4061.82,4089.65,3856.37,4110.64,3478.23,2926.76,2337.20,2079.02,1404.30,1220.60,1098.30,998.40,863.40,785.40
海南省,8771.75,3683.00,1648.03,875.83,864.26,1060.75,1181.73,1488.11,621.04,1548.05,1368.48,994.97,792.54,597.69,823.80,656.70,448.80,236.10,250.70,238.70
重庆市,3846.48,3527.39,3614.15,3597.91,3374.34,2968.29,2709.53,2594.96,2298.90,2653.33,2528.71,2015.59,1650.49,1490.30,1051.60,824.80,625.50,517.60,367.70,337.30
