数据库：分省年度数据
指标：机动车驾驶员人数(万人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1176.48,1163.09,1120.34,1083.52,1034.53,977.59,907.71,822.00,748.05,678.86,625.30,569.28,502.65,466.93,412.30,384.00,351.29,308.01,284.83
天津市,,498.38,480.78,456.33,434.01,412.13,389.25,366.12,337.80,315.09,280.90,252.00,238.75,220.19,200.32,181.27,164.50,160.52,143.59,130.53
河北省,,2426.19,2312.98,2160.78,2031.99,1901.41,1746.31,1573.42,1433.45,1357.88,1204.34,1058.89,1024.59,946.54,859.76,787.98,727.90,676.02,629.14,577.02
山西省,,1101.23,1044.24,976.60,927.53,857.58,763.92,682.59,617.86,588.77,518.57,455.92,425.00,387.64,350.21,307.12,255.03,220.55,216.49,201.98
内蒙古自治区,,826.67,797.12,762.87,726.54,682.92,628.09,573.67,529.94,512.63,456.21,332.77,432.67,380.27,87.39,280.38,364.28,353.92,281.48,205.07
辽宁省,,1403.13,1370.19,1323.89,1290.27,1214.62,1134.22,1048.31,895.53,851.04,808.64,748.26,710.32,630.19,501.30,427.87,416.87,377.83,359.45,346.75
吉林省,,789.28,779.17,744.60,720.59,693.04,651.55,591.83,529.88,514.70,470.84,461.41,390.27,405.83,372.06,340.16,297.69,272.70,239.77,213.77
黑龙江省,,958.35,938.45,883.57,835.23,788.35,725.67,654.47,591.59,545.11,492.88,455.96,442.04,395.88,345.38,313.41,260.64,216.14,204.01,178.06
上海市,,828.15,790.06,751.47,715.68,679.12,650.67,625.63,593.44,558.96,501.73,448.48,410.79,373.06,338.90,306.63,276.29,253.23,222.59,189.63
江苏省,,3084.94,2967.47,2873.43,2732.38,2568.27,2385.62,2191.96,2023.29,1880.71,1701.45,1531.46,1460.95,1340.04,1222.93,1064.32,978.79,880.58,814.56,729.71
浙江省,,2429.09,2328.60,2201.74,2077.71,1939.83,1776.09,1583.05,1422.23,1318.66,1197.49,1086.94,997.34,920.46,845.09,770.54,694.55,617.05,549.20,456.08
安徽省,,1700.34,1619.09,1504.97,1392.43,1261.57,1121.82,1007.53,914.08,852.28,769.58,692.42,610.40,555.10,506.69,443.89,439.73,326.58,308.23,206.39
福建省,,1403.45,1342.74,1260.00,1184.85,1102.05,1014.52,981.19,876.77,818.16,753.72,692.10,632.89,571.65,537.80,485.50,442.79,379.30,350.54,315.51
江西省,,1490.51,1445.82,1376.09,1310.57,1238.46,1137.39,1027.24,938.26,875.23,775.07,695.35,631.69,560.15,488.94,423.63,357.98,290.62,235.47,208.93
山东省,,3280.85,3137.78,2940.03,2804.17,2645.82,2467.52,2232.26,2020.29,1938.58,1749.40,1579.00,1505.60,1578.88,1305.50,1210.46,1096.06,1065.37,991.64,814.70
河南省,,3146.28,2964.44,2769.50,2276.55,2277.89,1996.80,1969.32,1614.28,1529.09,1405.64,1243.31,1469.22,1139.87,1003.63,930.86,762.52,716.98,555.75,521.74
湖北省,,1812.49,1742.02,1637.33,1544.60,1437.85,1284.95,1128.85,1005.12,946.39,865.88,795.49,778.84,671.08,568.48,658.51,588.39,561.21,394.74,348.17
湖南省,,1748.28,1653.88,1559.07,1480.86,1377.23,1239.67,1106.64,995.79,908.77,787.30,690.78,671.91,563.87,521.70,433.32,371.52,310.31,307.09,279.53
广东省,,4379.96,4137.39,3755.78,3415.33,3133.51,2874.75,2642.32,2461.75,2339.40,2142.68,1956.02,1924.60,1799.83,1712.14,1610.05,1511.21,1451.38,1345.93,1259.30
广西壮族自治区,,1594.51,1517.19,1435.92,1369.08,1289.22,1205.75,1130.66,1066.94,995.64,943.78,429.97,373.33,350.81,312.69,565.28,524.87,482.28,448.45,355.40
海南省,,268.00,259.36,250.88,211.85,222.66,204.98,199.38,173.95,163.53,148.70,138.72,115.51,101.31,96.13,86.08,94.88,88.14,88.14,70.45
重庆市,,961.07,924.37,872.76,811.97,742.39,660.77,579.36,521.39,473.29,407.39,321.43,266.63,232.69,208.52,189.21,169.25,147.48,122.13,99.91
四川省,,2536.33,2418.13,2280.05,2138.53,1965.61,1791.39,1616.35,1480.11,1375.30,1254.23,1137.66,1021.76,857.01,749.13,666.90,558.55,522.87,520.63,472.25
贵州省,,1110.51,1039.09,964.22,877.30,786.47,699.19,525.03,454.85,415.77,359.80,313.33,288.13,258.41,224.61,193.56,156.94,143.45,121.35,97.62
云南省,,1626.09,1484.01,1387.71,1295.56,1211.33,1115.94,1010.93,919.61,845.48,757.96,716.08,649.54,578.16,487.36,393.65,375.33,315.76,288.87,257.24
西藏自治区,,61.37,56.57,50.24,42.20,31.61,27.36,25.63,24.47,22.50,20.82,18.16,20.73,17.05,14.80,12.22,12.37,12.17,9.38,8.20
陕西省,,1233.71,1170.88,1094.52,1024.22,947.15,885.36,818.80,731.12,680.15,588.84,507.35,486.63,435.66,323.58,280.16,316.81,221.69,216.32,215.98
甘肃省,,697.30,670.43,631.31,597.06,554.08,489.56,352.27,312.05,280.05,237.06,200.66,174.90,148.91,133.25,117.73,174.19,122.07,106.80,105.00
青海省,,178.13,176.00,162.28,153.52,143.42,131.91,130.14,90.96,100.19,91.67,81.77,74.14,72.03,52.63,50.15,56.66,42.70,44.32,41.17
宁夏回族自治区,,246.45,234.33,219.15,208.08,193.62,175.70,155.12,142.05,117.71,102.99,90.42,81.82,75.96,62.96,53.60,62.88,56.66,49.63,42.21
新疆维吾尔自治区,,704.98,671.09,622.74,579.06,543.23,498.75,454.54,415.06,381.72,343.20,311.07,287.31,265.39,238.43,217.15,176.06,132.21,137.36,128.86
数据来源：国家统计局
