数据库：分省年度数据
指标：新注册民用汽车拥有量(万辆)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,49.89,58.27,54.77,62.60,57.35,54.35,50.33,58.93,58.85,40.07,86.95,67.49,46.84,40.66,34.92,34.22,27.07,33.93,25.83
天津市,31.22,24.87,27.33,29.14,30.40,22.61,23.54,42.17,34.25,32.68,31.09,24.18,18.42,15.92,12.93,12.13,9.85,7.79,5.75
河北省,149.34,155.30,166.64,181.12,184.19,163.64,154.24,138.52,121.53,111.69,13.27,81.32,39.77,5.48,34.42,58.54,40.48,55.42,48.96
山西省,62.28,63.88,66.49,73.69,69.16,60.24,58.42,59.06,56.61,51.63,47.71,37.11,32.87,22.12,18.83,17.88,15.46,20.08,9.32
内蒙古自治区,36.33,38.27,42.68,53.41,46.77,39.53,40.45,43.33,45.46,46.36,39.85,29.75,21.45,5.90,2.40,11.30,9.99,5.47,4.97
辽宁省,61.30,57.85,63.26,73.94,76.50,67.32,50.17,63.42,44.78,60.99,54.58,42.50,18.65,16.88,18.01,17.97,15.74,12.23,8.89
吉林省,32.57,32.23,34.67,44.06,42.89,39.23,38.79,35.23,32.48,31.02,30.98,24.88,8.52,11.86,10.58,9.09,7.32,5.76,4.62
黑龙江省,35.52,37.17,41.44,49.79,50.10,42.24,39.31,37.39,35.58,36.72,36.31,33.66,18.10,2.41,11.74,9.12,8.11,7.02,5.27
上海市,56.13,46.74,50.37,53.68,54.79,44.93,37.20,34.99,33.00,31.11,34.57,22.50,18.60,20.07,20.52,16.97,15.69,13.81,11.05
江苏省,190.46,195.38,205.14,218.36,221.66,185.18,177.53,156.83,137.47,131.12,122.26,86.39,56.18,56.03,47.87,38.16,33.67,28.66,19.19
浙江省,161.73,169.61,171.26,170.14,161.91,150.99,147.49,140.95,127.70,124.49,122.47,88.09,53.28,58.51,50.00,40.28,35.99,37.34,27.27
安徽省,93.51,107.96,113.63,121.07,114.69,87.90,76.47,69.34,58.22,51.91,48.20,34.97,22.05,17.70,14.57,11.60,11.65,8.92,6.81
福建省,60.89,68.66,71.90,75.59,72.63,60.42,60.85,55.69,47.43,43.96,40.43,30.23,21.69,22.06,17.59,13.30,11.05,10.17,8.35
江西省,67.21,71.60,76.33,78.06,72.28,57.82,50.99,45.48,38.33,34.30,32.49,26.09,13.95,9.71,10.11,7.66,6.66,5.38,5.06
山东省,198.64,200.71,196.65,214.82,223.58,204.45,201.29,183.78,167.16,139.70,140.07,125.33,69.81,58.24,56.03,42.46,33.79,29.65,26.51
河南省,159.35,175.09,184.24,194.78,189.49,153.23,146.84,126.45,104.43,80.15,88.99,67.39,38.56,32.94,23.37,25.25,25.50,22.59,16.06
湖北省,84.33,98.61,101.52,107.24,106.15,91.76,77.44,64.34,51.50,38.88,42.85,34.58,22.78,11.67,14.66,11.59,11.25,10.09,7.63
湖南省,93.86,100.37,106.10,108.73,103.29,85.26,76.01,68.60,57.29,49.80,46.94,35.00,13.06,9.40,9.31,8.66,8.69,9.09,7.40
广东省,224.96,255.31,265.64,265.41,254.78,208.87,200.30,161.16,136.36,137.45,131.94,95.24,78.15,83.72,69.93,57.26,53.52,46.07,33.86
广西壮族自治区,66.78,73.35,75.27,71.86,62.99,51.61,48.40,44.59,37.91,34.83,32.88,26.01,5.77,15.17,11.23,9.35,8.01,4.36,4.28
海南省,15.86,14.49,16.35,19.24,14.81,12.54,11.78,10.14,8.44,8.77,8.90,5.59,4.44,3.64,2.47,2.14,1.99,1.83,1.44
重庆市,50.26,57.00,57.74,55.12,54.35,50.29,53.22,42.95,35.00,30.53,27.54,20.57,16.26,11.80,9.70,8.84,6.70,5.67,5.51
四川省,121.40,130.02,134.62,139.29,138.01,124.65,112.76,96.16,82.10,77.69,80.56,68.71,32.27,5.69,25.76,20.39,15.85,16.09,14.53
贵州省,60.41,65.47,73.11,73.76,64.93,49.87,47.35,40.98,33.06,27.43,25.25,19.75,12.55,11.29,7.64,7.34,6.02,4.46,3.58
云南省,72.02,75.06,79.42,82.41,79.37,66.95,65.45,60.96,52.89,48.54,48.49,36.70,22.97,21.33,15.10,14.94,12.13,9.08,8.41
西藏自治区,0.47,0.58,5.98,5.24,4.18,4.33,4.34,3.64,2.41,2.16,2.39,1.53,1.29,0.62,1.28,1.44,0.35,0.99,0.72
陕西省,70.99,77.46,77.39,74.35,70.56,62.52,63.75,59.50,53.78,49.60,47.42,35.37,21.18,15.22,12.77,6.83,11.58,9.26,5.40
甘肃省,32.70,29.93,29.69,35.84,39.51,33.40,31.30,28.44,23.63,20.52,22.04,15.64,6.18,6.71,3.78,4.09,2.20,3.32,2.95
青海省,10.26,9.96,11.02,12.34,12.15,10.92,11.64,10.10,9.36,8.51,7.05,5.12,0.22,0.19,1.74,0.73,1.13,1.24,1.51
宁夏回族自治区,12.63,12.23,13.12,15.87,15.15,13.65,13.20,13.10,12.66,11.56,10.24,7.26,4.45,3.37,2.52,2.67,2.46,1.61,1.27
新疆维吾尔自治区,36.82,41.17,38.33,39.45,35.84,31.05,34.37,34.74,32.82,30.08,24.13,17.02,0.72,9.57,1.25,6.42,1.27,6.38,4.79
数据来源：国家统计局
