数据库：分省年度数据
指标：公路营运汽车拥有量(万辆)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,10.97,16.10,24.39,25.92,25.09,25.08,26.10,24.11,21.28,18.60,15.75,17.96,15.09,13.78,16.70,12.92,12.03,11.97,10.56
天津市,12.10,10.96,18.83,19.27,19.34,17.84,18.05,16.91,12.40,10.94,8.49,8.11,8.04,8.10,6.64,7.38,6.72,6.22,6.34
河北省,123.72,118.18,138.22,146.50,145.18,142.47,140.61,134.45,103.22,93.44,80.73,71.53,59.96,51.07,44.23,39.85,71.45,65.53,60.60
山西省,54.74,50.29,60.98,58.90,49.97,51.59,53.05,50.29,42.41,40.84,39.00,37.76,34.35,23.76,21.34,20.84,25.31,23.04,22.99
内蒙古自治区,26.19,26.66,30.95,33.08,31.98,33.14,40.97,41.26,35.98,33.73,29.29,30.83,28.43,26.86,26.67,22.80,34.95,25.38,23.91
辽宁省,54.46,49.94,77.57,79.49,77.17,81.73,82.13,79.35,67.36,62.44,55.23,56.67,49.45,44.63,44.05,32.62,30.76,29.14,26.02
吉林省,24.95,21.54,35.19,33.46,34.29,37.28,35.89,32.94,32.13,28.38,25.09,28.69,22.68,19.62,17.97,16.94,22.49,21.95,23.43
黑龙江省,34.64,35.65,50.11,49.84,51.05,49.41,49.32,47.59,46.59,43.49,38.43,38.16,27.22,22.75,21.45,20.94,38.60,38.16,34.22
上海市,21.00,26.93,25.92,25.57,23.88,23.90,23.76,23.99,19.60,19.19,18.43,24.74,23.96,24.04,23.64,17.90,21.87,19.91,17.91
江苏省,78.93,80.73,90.63,85.92,80.70,77.42,79.19,77.18,65.98,63.00,55.98,52.29,44.15,40.93,40.28,41.03,144.28,90.13,72.02
浙江省,36.36,30.79,38.15,36.80,36.63,45.97,51.20,51.42,54.06,52.36,50.81,54.21,52.31,51.09,44.57,31.56,145.04,111.57,80.78
安徽省,62.63,66.96,71.97,68.99,68.52,66.98,72.31,69.56,64.74,55.12,47.29,45.42,39.65,34.74,31.74,26.57,24.32,22.27,20.18
福建省,23.15,20.98,27.14,25.80,26.69,26.92,29.57,27.49,25.66,23.92,22.80,22.11,19.60,19.68,17.92,16.09,14.65,14.68,14.83
江西省,32.48,33.19,37.90,34.61,32.93,38.02,40.18,40.38,32.21,28.96,25.39,21.74,18.66,16.21,14.25,13.35,12.86,10.99,10.00
山东省,127.19,107.01,115.96,109.09,102.57,96.92,105.76,113.76,105.09,104.16,91.38,78.78,67.49,61.36,58.87,58.28,60.72,60.73,56.61
河南省,79.71,82.35,106.02,102.32,101.40,116.76,123.54,114.66,99.80,93.74,83.77,80.04,55.57,49.26,42.99,38.28,28.77,25.72,25.78
湖北省,33.34,33.23,38.06,37.94,41.92,42.88,47.23,47.00,40.78,37.38,34.66,33.52,30.81,28.74,27.04,26.54,24.51,23.65,20.94
湖南省,28.12,24.15,34.53,33.28,41.53,42.64,45.03,46.59,43.67,40.99,40.38,39.19,34.31,27.97,25.58,23.21,26.71,23.23,22.31
广东省,56.92,52.59,67.23,71.72,73.77,76.61,84.00,98.50,90.66,98.11,90.27,92.88,86.15,90.87,91.04,86.71,80.18,74.16,77.55
广西壮族自治区,37.11,34.66,38.99,53.12,52.21,51.40,48.81,45.27,38.57,34.98,30.91,27.16,22.22,18.24,16.16,15.66,15.06,14.46,14.05
海南省,3.43,3.26,6.01,6.91,6.81,6.32,6.17,5.98,6.17,5.97,5.31,4.97,3.77,3.46,3.48,2.98,2.98,2.84,2.78
重庆市,28.23,28.34,29.74,31.35,28.71,28.60,28.99,27.54,25.58,28.19,26.55,24.51,20.67,20.39,20.96,18.48,38.03,33.36,29.07
四川省,46.55,53.98,62.07,60.02,56.94,56.05,62.93,60.79,61.77,59.97,55.37,50.49,43.57,40.11,36.39,36.48,34.46,32.92,32.57
贵州省,10.71,12.53,19.62,21.40,28.20,27.84,28.15,25.76,25.22,22.91,20.58,17.59,14.46,12.87,12.32,12.91,20.05,18.31,16.09
云南省,29.44,39.35,53.07,65.30,63.80,63.53,63.85,60.03,55.55,51.19,44.64,38.28,32.03,27.86,27.96,26.02,61.92,62.15,50.43
西藏自治区,5.49,5.32,6.43,6.24,5.72,4.99,4.69,4.07,3.36,2.83,2.29,2.24,2.06,2.62,2.92,2.61,3.00,2.91,2.19
陕西省,26.24,24.93,43.80,41.02,43.33,43.00,41.40,37.98,35.73,33.69,28.73,25.97,20.17,18.18,17.64,16.32,15.04,13.63,12.87
甘肃省,14.23,25.35,30.63,32.54,31.32,30.58,31.49,28.30,23.72,20.77,18.08,16.84,14.52,13.54,12.92,12.95,14.65,13.86,11.97
青海省,4.71,7.49,8.21,8.29,7.81,9.02,9.49,8.74,8.93,8.10,6.86,6.88,5.80,5.41,5.34,4.59,6.10,6.10,5.25
宁夏回族自治区,11.60,10.80,10.06,10.10,10.90,11.97,13.59,14.17,12.55,11.66,10.65,10.26,9.80,8.67,7.63,7.24,8.43,7.67,6.54
新疆维吾尔自治区,32.18,31.27,37.11,35.42,35.41,46.27,50.49,48.67,39.11,34.72,30.19,27.53,23.65,22.42,21.88,23.15,21.25,17.98,15.54
注：公路营运汽车拥有量在1999年为全国营运汽车，以前仅为公路部门营运汽车；2000-2004年为全国运输汽车(含营运和非营运汽车)；2005年起为全国营运。
数据来源：国家统计局
