数据库：分省年度数据
指标：电信业务总量(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3247.63,2681.99,1755.46,870.58,593.08,923.36,686.67,594.00,488.90,436.29,1120.00,881.55,751.86,634.59,468.39,372.37,312.71,255.96,226.47
天津市,,1584.54,1194.60,737.82,300.67,183.09,261.00,207.53,183.78,159.35,153.22,399.46,364.06,333.19,282.90,211.81,163.25,133.19,104.96,83.55
河北省,,5971.71,4741.94,2790.14,1096.19,623.20,866.46,728.09,651.66,538.70,491.34,1293.51,1149.28,1014.96,810.45,608.15,498.36,406.28,272.17,205.40
山西省,,3091.70,2375.20,1372.93,584.21,328.73,472.80,394.57,358.16,308.49,279.33,696.69,599.00,530.47,410.72,306.83,256.79,201.96,132.38,99.30
内蒙古自治区,,2584.73,2075.81,1270.77,491.17,249.64,377.07,316.57,293.71,258.51,231.51,584.75,542.20,454.21,353.33,244.35,188.23,148.01,99.85,78.45
辽宁省,,3388.94,2723.21,1774.96,873.25,512.71,729.40,587.80,532.06,473.18,434.42,1113.22,917.77,786.01,669.69,532.00,420.25,349.00,276.97,242.67
吉林省,,2119.90,1769.31,1077.80,486.10,264.31,351.13,297.54,269.63,240.62,220.25,587.40,504.32,442.81,393.15,321.16,246.39,201.36,141.61,107.77
黑龙江省,,2092.50,1732.45,1131.53,597.31,320.28,459.29,385.92,338.16,297.38,277.65,697.87,660.05,572.58,483.13,380.25,314.63,263.02,201.43,167.51
上海市,,2824.19,2240.43,1436.34,693.79,509.97,778.76,595.48,533.16,447.09,415.31,1098.79,840.02,797.64,668.32,509.89,371.18,312.94,260.88,203.66
江苏省,,9188.72,7545.40,4814.66,2066.50,1206.60,1800.47,1321.33,1133.21,914.62,832.45,2140.42,1658.54,1453.83,1210.02,934.85,670.94,510.10,397.25,304.62
浙江省,,8309.99,6717.01,4101.33,1794.18,1116.48,1613.54,1143.87,955.58,809.89,750.40,1947.77,1625.30,1487.40,1281.73,997.09,798.95,648.12,465.69,350.82
安徽省,,5053.59,4006.72,2260.95,831.80,489.54,707.27,549.18,476.44,372.23,332.34,841.62,664.60,530.26,420.28,331.98,258.26,203.71,150.57,130.56
福建省,,3908.46,3235.45,2026.23,908.95,588.52,860.61,694.26,624.34,514.22,451.52,1145.33,941.95,841.64,756.25,604.02,493.81,407.84,284.83,221.75
江西省,,3537.88,2838.50,1609.18,661.48,386.54,550.37,394.38,338.29,278.74,251.04,655.15,560.42,466.26,383.31,296.34,241.84,186.46,125.88,110.06
山东省,,7198.80,5786.39,3659.14,1499.00,863.38,1269.06,1066.84,946.39,797.48,727.65,1855.86,1593.35,1425.22,1168.15,917.36,667.01,499.15,346.28,294.09
河南省,,8156.78,5999.12,3950.31,1484.62,757.67,1164.37,894.52,745.37,610.87,540.87,1383.65,1219.77,1075.29,884.89,680.82,517.60,405.27,264.04,202.33
湖北省,,4205.17,3370.84,2040.03,857.64,515.29,828.34,620.43,536.01,438.74,388.89,983.32,796.26,675.58,550.95,429.39,347.31,270.01,188.60,149.61
