数据库：分省年度数据
指标：汇票业务(万笔)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,46.91,65.37,112.99,159.92,226.48,337.47,488.58,707.80,886.36,1027.69,1081.06,1103.44,918.91,804.10,756.50,,,,
天津市,,10.47,13.46,20.55,29.93,49.55,82.51,138.39,196.06,244.59,300.82,305.42,296.06,283.30,231.60,201.80,,,,
河北省,,20.27,24.79,48.36,83.41,115.21,170.54,270.35,438.98,501.12,589.26,620.16,562.74,523.44,422.00,360.20,,,,
山西省,,19.40,26.53,49.33,69.13,98.42,143.33,282.71,535.46,704.08,795.72,774.23,689.13,696.92,595.90,470.50,,,,
内蒙古自治区,,8.10,16.83,30.29,60.95,139.75,263.18,416.20,569.48,663.34,678.26,575.76,423.81,455.73,363.40,248.50,,,,
辽宁省,,46.13,62.99,92.39,143.36,258.59,404.37,609.46,824.05,962.94,1039.55,980.90,918.83,728.64,564.30,443.50,,,,
吉林省,,10.55,23.67,40.02,57.86,107.86,164.06,278.12,388.85,443.76,479.07,483.77,473.31,446.82,330.30,205.60,,,,
黑龙江省,,7.65,11.24,22.37,41.90,92.15,136.02,212.20,336.07,411.56,487.52,534.13,502.92,487.33,406.10,302.10,,,,
上海市,,129.37,177.24,238.24,252.24,325.28,399.14,515.90,662.91,773.89,888.78,944.16,967.60,998.40,843.50,864.70,,,,
江苏省,,102.65,186.76,265.88,381.99,522.87,664.55,912.26,1269.54,1653.79,1963.41,1930.13,1817.53,1731.88,1414.30,1140.90,,,,
浙江省,,53.77,79.52,122.64,205.52,342.31,531.84,952.47,1324.91,1729.80,2107.23,2206.08,2083.30,2086.69,1627.30,1292.00,,,,
安徽省,,15.41,17.78,24.89,39.01,61.73,83.64,126.61,207.26,274.47,341.25,394.41,385.69,358.91,245.60,217.80,,,,
福建省,,24.38,37.01,55.45,92.21,167.07,250.40,441.43,643.58,857.31,1049.85,1104.20,1048.43,1008.02,729.30,579.90,,,,
江西省,,23.44,37.88,63.27,87.13,111.49,129.89,172.39,261.15,341.58,429.20,480.56,502.54,426.99,294.20,193.60,,,,
山东省,,36.46,60.66,115.04,167.75,256.14,313.47,442.03,804.21,922.66,1106.87,1223.36,1251.26,1247.72,1071.20,794.50,,,,
河南省,,84.72,251.40,341.44,425.87,490.34,548.10,744.70,1115.43,1297.35,1422.79,1399.88,1327.92,1183.98,905.90,515.30,,,,
湖北省,,21.07,28.83,37.65,49.87,73.02,105.45,214.16,432.73,553.08,655.51,654.12,604.28,590.38,487.10,349.20,,,,
湖南省,,14.84,21.95,42.77,94.61,135.11,183.32,310.26,495.15,668.33,765.04,830.87,964.63,992.17,856.40,592.30,,,,
广东省,,34.12,65.66,132.27,299.05,707.93,1352.15,2133.79,3182.67,4217.47,5190.24,6324.47,6371.37,6852.87,6859.90,6398.40,,,,
广西壮族自治区,,22.28,40.41,71.78,97.31,134.46,196.01,286.81,411.63,418.46,308.09,299.84,279.11,280.47,291.10,276.90,,,,
海南省,,5.12,8.28,13.17,18.47,28.61,45.29,79.34,133.29,185.12,235.87,256.27,236.00,210.36,161.20,83.50,,,,
重庆市,,13.40,14.04,17.62,27.48,45.90,67.02,121.21,221.53,332.75,403.01,419.60,370.12,352.91,314.30,260.60,,,,
四川省,,48.11,67.08,97.22,134.11,190.71,290.40,514.31,777.63,929.20,1045.86,1087.90,1025.73,868.59,776.20,611.60,,,,
贵州省,,21.28,59.09,97.48,160.40,244.59,262.87,351.54,529.77,568.01,581.23,556.81,549.56,412.79,333.10,225.00,,,,
云南省,,47.76,77.77,112.65,203.23,354.92,380.99,428.83,461.97,451.35,461.12,445.93,419.92,415.20,391.80,351.70,,,,
西藏自治区,,11.26,14.56,17.37,24.96,39.25,58.21,89.58,125.54,134.64,140.73,140.98,144.73,116.85,108.50,89.70,,,,
陕西省,,23.64,29.62,40.41,53.98,74.41,110.03,181.92,324.17,511.24,595.32,643.68,637.30,569.01,448.10,294.50,,,,
甘肃省,,16.48,29.15,41.24,53.59,84.52,126.43,191.31,285.70,314.28,353.06,353.77,316.60,270.95,220.70,179.20,,,,
青海省,,6.87,8.24,11.48,15.05,30.40,53.85,86.34,129.76,142.68,150.30,150.59,147.09,143.44,131.80,109.30,,,,
宁夏回族自治区,,7.85,14.23,17.96,24.69,25.33,29.38,76.85,112.53,124.79,141.57,133.14,108.83,109.35,94.40,80.20,,,,
新疆维吾尔自治区,,26.89,67.61,125.80,188.43,269.97,357.76,457.33,610.77,693.37,740.03,707.02,647.58,640.79,551.60,438.40,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
