数据库：分省年度数据
指标：集邮业务量(万枚)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,5947.5,7208.0,9546.6,13237.5,14258.9,14258.1,12435.4,14330.4,15821.3,10836.3,16913.0,17816.9,25713.7,11474.2,9861.2,15681.4,11610.0,13387.0,17710.5
天津市,,1772.2,1980.4,2672.6,3620.7,4014.4,3911.4,3438.2,2719.7,2154.7,1801.9,5339.3,5740.3,5707.4,3848.6,3129.3,5000.2,5353.0,6794.0,6690.5
河北省,,3116.7,3871.8,4769.4,5047.9,4641.3,5234.4,6017.5,3618.8,2720.3,2206.2,2764.5,2439.0,3330.9,3974.4,3749.7,3395.9,4070.0,6460.0,6996.6
山西省,,2125.3,2444.8,2880.3,3168.9,3641.7,3847.4,2987.5,1082.4,1304.1,1518.2,1018.1,1452.9,2853.9,3146.8,3105.0,3686.0,3165.0,3249.0,3987.5
内蒙古自治区,,1810.6,2279.5,2830.8,3294.5,2755.0,3191.6,2560.9,2009.6,1665.3,1536.9,1661.0,1423.8,1666.1,1484.3,1663.7,1732.8,1584.0,3082.0,4958.8
辽宁省,,2667.3,3636.0,4260.6,4606.3,4573.0,5704.9,4727.5,4524.4,5501.8,5002.5,4398.8,4159.5,4638.9,4464.7,3830.6,4370.5,3714.0,4413.0,7821.9
吉林省,,1458.8,2267.7,3018.3,3519.6,3597.5,3632.7,3415.4,2015.4,2400.6,2304.2,874.3,1981.5,1836.7,1933.4,1830.7,1958.1,1789.0,2792.0,4024.4
黑龙江省,,3459.9,4041.4,4939.9,5162.0,5777.4,6306.2,5389.8,4237.1,4139.4,3751.4,3477.5,3387.1,3817.6,3794.2,3371.8,3684.3,3936.0,4869.0,6688.5
上海市,,3365.1,4113.5,5219.0,6762.7,9081.2,7683.9,6559.0,5571.5,4202.3,3447.2,5156.0,3838.9,3445.0,3655.3,3560.1,4422.3,4678.0,4041.0,6681.8
江苏省,,5145.4,6350.7,7785.6,8918.8,10339.9,11995.7,10209.3,7158.9,8618.1,7330.0,7447.9,8217.3,12537.8,10437.8,8662.5,9668.4,11829.0,13708.0,19245.9
浙江省,,2571.2,3685.9,4804.3,6754.4,7856.9,7520.6,6174.6,6352.5,5825.7,5930.7,6597.7,6331.1,6826.3,5864.4,5971.2,6729.7,8111.0,10847.0,13637.3
安徽省,,2467.9,3129.1,4687.8,4919.7,6102.3,5705.7,4651.3,2431.5,2343.2,952.8,604.8,971.7,2009.3,2898.5,3407.1,4010.4,8988.0,13711.0,17417.4
福建省,,2261.1,2803.0,3591.3,5112.4,6222.0,5315.0,5423.3,4088.4,4028.1,3995.9,3526.3,4196.8,4509.3,4379.9,4364.4,4375.6,5570.0,5410.0,7733.3
江西省,,1941.4,3087.8,4861.9,5166.4,5935.5,7349.5,7356.3,5275.6,4412.8,4252.5,2539.7,2923.6,3803.0,5042.5,3855.3,3328.0,3534.0,2605.0,5047.6
山东省,,3737.0,5121.6,6905.9,8097.2,7570.1,7545.1,7000.0,8906.1,9350.3,8463.3,4360.8,5346.8,4990.1,4600.9,4152.2,5197.5,6188.0,7002.0,10648.4
河南省,,3400.2,3882.9,6648.2,6758.4,7128.6,6766.5,5338.0,4905.7,5343.0,5572.3,8158.2,6063.7,7085.3,6882.7,7038.5,8768.7,10495.0,9159.0,10441.4
湖北省,,2947.3,3869.4,4976.7,6521.0,6533.1,7204.6,7740.7,5241.7,4893.5,4923.9,6842.8,4162.6,4714.6,4744.7,4787.9,5113.1,7539.0,15782.0,21565.5
湖南省,,2762.3,3057.6,3880.8,4490.9,4664.2,5010.5,4346.7,4317.9,3666.4,2832.6,2275.8,2350.9,2982.4,4571.5,2137.5,3072.1,3257.0,5161.0,9743.2
广东省,,4227.7,6672.2,6975.9,8318.9,8702.0,9496.5,7361.2,8963.4,7937.5,8474.7,11470.1,7929.5,8390.2,6805.1,6758.0,7068.3,7856.0,8076.0,14738.3
广西壮族自治区,,1361.7,1469.7,1463.9,1942.5,2297.4,2023.6,2188.1,826.2,845.0,984.2,1191.0,1284.3,1219.8,1918.7,1884.6,1708.0,2630.0,3068.0,3308.3
海南省,,318.1,418.1,570.3,904.6,987.3,964.7,788.1,393.8,393.2,425.5,367.2,323.4,368.7,322.0,633.7,681.3,671.0,770.0,1880.1
重庆市,,1546.1,1601.2,2055.0,2185.0,2915.9,2679.4,2549.0,2173.5,2501.5,1000.5,777.7,771.8,1039.0,1581.7,2105.3,2059.0,2169.0,1842.0,3108.9
四川省,,2330.3,3262.7,4032.9,4247.9,5399.9,5402.2,4674.4,3334.4,3240.5,3913.2,4628.1,4664.4,4663.7,4216.1,3676.1,3838.4,4094.0,5204.0,7900.0
贵州省,,1773.0,2769.3,3356.5,4398.1,4808.8,3274.1,2616.1,2137.8,1941.7,1345.6,1226.2,748.7,945.2,900.7,848.7,881.7,1089.0,1031.0,1743.7
云南省,,1174.0,1635.1,2077.2,1808.3,2311.1,2499.3,2137.6,2851.0,3069.5,2088.9,2199.3,1820.3,2245.1,2162.9,1891.5,1766.7,2710.0,2701.0,4631.2
西藏自治区,,206.2,305.4,377.6,446.8,713.2,764.0,558.4,327.1,274.2,229.3,244.1,284.9,438.4,276.4,180.7,295.8,170.0,250.0,381.8
陕西省,,1870.2,2406.3,3097.3,3740.4,4146.5,4652.3,4022.1,3101.6,4275.3,2971.1,2296.0,3399.6,3374.1,3055.0,3030.9,3575.3,4133.0,5537.0,5739.5
甘肃省,,1163.5,1367.6,1763.5,1741.4,2216.0,2166.3,1920.2,1785.8,1730.3,1887.6,1490.1,1609.2,1841.9,1426.9,1381.4,1740.5,2495.0,2876.0,3503.0
青海省,,433.9,541.0,646.0,678.9,849.0,779.5,763.6,559.8,569.8,570.7,716.8,744.7,723.4,592.0,590.8,489.9,599.0,515.0,969.3
宁夏回族自治区,,686.7,850.0,1110.7,1224.8,1495.0,1258.3,1108.8,725.6,700.1,337.5,1387.7,1183.2,1819.6,1065.8,915.8,841.7,758.0,1842.0,2174.8
新疆维吾尔自治区,,1323.2,1671.7,2269.6,3422.5,2785.4,2856.7,2531.3,2210.9,2262.1,1942.0,2671.7,2520.1,2335.2,2134.6,2205.1,2072.0,3141.0,3113.0,4619.8
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
