数据库：分省年度数据
指标：移动电话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,9580053.6,10818784.5,12197152.7,13369129.8,15293210.7,15628777.1,15948934.7,15482311.8,14992700.0,13803155.5,11635571.1,9636623.9,,,,,,,
天津市,,5144749.9,5371416.1,5729648.4,6111107.2,6472818.3,6372059.1,6608764.8,6682286.5,6490295.0,6293889.8,5489199.3,4870566.5,,,,,,,
河北省,,19720126.3,21426960.2,23501005.1,25179433.1,26307331.0,26232265.7,27091169.3,26697791.5,25316663.0,23500529.0,20911762.4,17420239.6,,,,,,,
山西省,,12476480.7,12928646.9,12966771.6,13849147.2,14390930.1,14670480.3,15265438.0,15245757.2,14514323.0,12624981.1,10412511.4,8617431.9,,,,,,,
内蒙古自治区,,9149762.2,9717003.7,10743047.1,11459405.2,12212982.3,12410899.2,12909168.4,13341413.2,13037432.0,12029942.2,10328662.8,8608162.4,,,,,,,
辽宁省,,14707289.1,15678682.3,16837290.6,18248694.9,19681300.6,20614447.5,21374898.8,21451943.5,20324423.0,18574979.6,15788377.7,12636656.0,,,,,,,
吉林省,,8017275.0,8700986.0,9384625.8,10237633.1,11109820.9,11809600.0,12362718.3,12551422.3,12041873.0,11284497.3,10025628.3,7851494.9,,,,,,,
黑龙江省,,9964409.2,10865870.8,11891630.0,13140052.2,14382653.1,15163320.8,15670088.1,15619404.4,14872905.0,13734023.6,12011819.8,10203707.0,,,,,,,
上海市,,8417763.4,8877928.4,9984100.2,10685582.9,11759383.4,12382039.9,12868118.4,12928538.4,12808652.0,12051745.9,10110433.3,8759786.9,,,,,,,
江苏省,,27085568.0,28742859.6,31161654.5,32768970.7,34333492.5,35230218.6,36096950.6,35785339.4,34363153.0,31839281.4,27357131.1,22183798.1,,,,,,,
浙江省,,24191994.0,25540648.5,27528958.8,29044725.7,30238931.8,31227803.9,32641138.9,32751721.0,31942998.0,29841528.5,26602011.6,21688529.7,,,,,,,
安徽省,,14333744.8,15059718.2,16168291.1,16869164.4,17507594.3,17252775.2,17305958.7,16638695.8,15221924.0,13438279.4,11044833.6,8478176.3,,,,,,,
福建省,,14745551.5,15661991.4,16424154.4,16972658.5,18295305.7,19515090.2,21100503.2,21416067.3,20829335.0,19256215.6,16631324.8,13591324.7,,,,,,,
江西省,,11183403.9,12011784.8,12887132.7,13208379.4,13435384.8,13697037.8,13716405.3,13400769.3,12688607.0,11529849.3,10224215.9,8592423.1,,,,,,,
