数据库：分省年度数据
指标：移动电话去话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,5118773.4,5828364.7,6540420.1,7111138.5,8486633.5,8604120.4,8576036.6,8195805.5,7852021.0,7140396.8,,,,,,,,,
天津市,,2627137.3,2727967.4,2900579.9,3140501.8,3331390.8,3245936.4,3377173.8,3427089.5,3332246.0,3254887.0,,,,,,,,,
河北省,,9643327.7,10451235.3,11517511.8,12357256.4,12819068.4,12732769.6,13323520.3,13262522.6,12511067.0,11674634.5,,,,,,,,,
山西省,,6187746.5,6442853.1,6442146.4,6904517.8,7117445.4,7180030.6,7551130.6,7637796.5,7310625.0,6368619.5,,,,,,,,,
内蒙古自治区,,4559263.6,4850093.7,5421920.4,5721462.4,6056386.3,6117397.4,6398746.5,6690032.4,6591913.0,6101489.0,,,,,,,,,
辽宁省,,7342302.4,7787717.8,8442866.3,9155761.1,9843812.4,10333185.6,10818872.0,10817929.6,10189275.0,9367505.8,,,,,,,,,
吉林省,,3984789.3,4309680.0,4633586.4,5010453.3,5404942.6,5726323.0,6024565.5,6163857.0,5920357.0,5541869.5,,,,,,,,,
黑龙江省,,4895477.0,5334946.2,5839596.8,6448774.2,6971138.6,7292818.3,7556704.2,7556738.9,7233372.0,6647578.6,,,,,,,,,
上海市,,4343541.7,4592141.9,5124898.4,5453780.0,6017690.6,6369483.5,6630664.7,6690449.8,6633470.0,6228358.5,,,,,,,,,
江苏省,,13401508.7,14267781.5,15621978.8,16381507.2,17105854.0,17581230.5,18090185.8,18026316.1,17340646.0,16033023.6,,,,,,,,,
浙江省,,12065583.6,12804732.8,13845523.3,14675479.2,15296970.3,15869314.4,16699284.5,16849377.8,16518018.0,15477172.8,,,,,,,,,
安徽省,,6920611.0,7251918.0,7924872.6,8230321.0,8450879.8,8148623.2,8169998.7,7864019.2,7284949.0,6455303.5,,,,,,,,,
福建省,,7327988.0,7818315.7,8278366.9,8732457.0,9331416.3,9992818.6,10580791.7,10793037.0,10502615.0,9683302.9,,,,,,,,,
江西省,,5484723.1,5871052.6,6270041.9,6402531.3,6469996.3,6587959.8,6613142.1,6460505.6,6116254.0,5557322.9,,,,,,,,,
山东省,,18256672.8,18544909.4,18934989.0,19327144.7,19729525.1,19278338.7,19842618.2,19495379.1,18068735.0,16201479.0,,,,,,,,,
河南省,,13696214.9,14390384.1,14930236.3,15253701.7,15483936.9,15356543.9,15239684.4,14495594.9,13271328.0,11378837.6,,,,,,,,,
湖北省,,7152570.9,7771214.4,8293392.4,8588295.7,8789874.9,8893411.0,8936626.5,8620136.5,8133135.0,7502985.8,,,,,,,,,
湖南省,,9641435.2,9786418.0,9974039.4,10484255.4,10751454.7,10716806.6,10829463.9,10487682.7,9866181.0,8951565.7,,,,,,,,,
广东省,,20853929.1,23145310.1,25501992.2,28296071.9,30207211.7,32402751.6,34712281.1,35560984.4,35005905.0,31930276.1,,,,,,,,,
广西壮族自治区,,5859057.2,6445038.7,6881828.5,7285582.0,7438849.4,7533360.5,7595205.1,7467760.8,7044637.0,6354234.3,,,,,,,,,
海南省,,2092153.8,2266344.7,2125622.4,2327326.4,2349625.4,2394832.8,2444260.7,2513966.6,2533775.0,2311658.3,,,,,,,,,
重庆市,,6068924.1,6736711.4,6011868.1,6196915.8,6506442.3,6585379.0,6713588.7,6428597.8,5911700.0,5262286.4,,,,,,,,,
四川省,,12206267.7,13739249.9,14567200.4,15147492.1,15475748.7,15550235.3,15470495.2,14882497.7,14009426.0,12480366.1,,,,,,,,,
贵州省,,7177271.7,7353541.5,7864595.7,8234125.3,8133860.3,7675110.9,7440770.3,7096656.1,6454185.0,5522091.4,,,,,,,,,
云南省,,8509223.4,8639847.3,8800987.9,9033185.9,9183078.2,8939108.9,9013141.8,8856584.8,8180683.0,7334902.8,,,,,,,,,
西藏自治区,,680584.4,737305.9,733465.9,763838.3,778681.7,779027.6,764588.0,740735.5,673468.0,566182.0,,,,,,,,,
陕西省,,6278873.0,6788959.7,7350185.1,7754605.1,8240651.6,8273130.1,8607960.4,8599678.2,8294973.0,7533252.7,,,,,,,,,
甘肃省,,3733200.2,4016076.8,4538439.8,4945435.6,5128921.2,5103082.7,4990466.0,4726997.3,4288619.0,3797336.3,,,,,,,,,
青海省,,858417.1,930975.2,1081540.8,1243328.6,1324404.2,1341776.2,1354756.6,1312467.4,1212830.0,1049543.8,,,,,,,,,
宁夏回族自治区,,1087194.2,1164757.9,1309526.8,1489188.0,1582081.6,1597067.0,1611117.6,1533736.8,1444575.0,1307619.7,,,,,,,,,
新疆维吾尔自治区,,6430033.1,6496285.4,6710813.6,6945089.5,6920202.7,6796603.9,6723147.9,6622392.7,6303587.0,5544009.1,,,,,,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
