数据库：分省年度数据
指标：移动电话非漫游去话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,6180388.9,7585258.2,7457827.5,7183410.5,7188603.6,7048231.0,6511363.4,,,,,,,,,
天津市,,,,,2913882.4,3113799.3,2997562.6,3087626.6,3156109.0,3091878.0,3081991.4,,,,,,,,,
河北省,,,,,11615938.2,12267341.4,11832887.8,12134613.8,12143219.0,11516947.0,10913550.3,,,,,,,,,
山西省,,,,,6124626.2,6353685.6,6435068.4,6755125.3,6876172.8,6668613.0,5874164.9,,,,,,,,,
内蒙古自治区,,,,,5155895.0,5513374.2,5564115.0,5788523.2,5986504.8,6010939.0,5649983.4,,,,,,,,,
辽宁省,,,,,8382020.0,9089658.4,9567863.4,10008141.6,10019030.2,9425559.0,8658324.5,,,,,,,,,
吉林省,,,,,4499682.6,4893780.1,5200285.2,5482703.1,5644265.0,5429219.0,5092722.2,,,,,,,,,
黑龙江省,,,,,5845518.8,6378054.9,6682419.4,6972637.0,7033049.2,6721460.0,6218593.5,,,,,,,,,
上海市,,,,,4521153.5,5127338.6,5499025.6,5788235.2,5954472.3,6016323.0,5753566.6,,,,,,,,,
江苏省,,,,,13997962.3,14752686.4,15279691.3,15857634.3,15996488.8,15634128.0,14753892.9,,,,,,,,,
浙江省,,,,,12511236.2,13113683.2,13732998.1,14668223.6,14984258.7,14898453.0,14226387.0,,,,,,,,,
安徽省,,,,,6823778.2,7107115.7,6903611.1,7037766.0,6926271.8,6537213.0,5915539.7,,,,,,,,,
福建省,,,,,7662860.8,8261388.2,8847810.9,9416091.7,9726771.7,9613907.0,9045375.5,,,,,,,,,
江西省,,,,,5549330.7,5667231.7,5815858.8,5902130.5,5858281.1,5629556.0,5241352.9,,,,,,,,,
山东省,,,,,17406331.1,17913018.5,17572578.3,18072187.9,17780526.7,16625111.0,15177824.0,,,,,,,,,
河南省,,,,,12713927.6,13054956.2,13121703.1,13157035.4,12641073.9,11698427.0,10209284.3,,,,,,,,,
湖北省,,,,,7290552.6,7558085.8,7695126.2,7807091.7,7630000.9,7299627.0,6880114.8,,,,,,,,,
湖南省,,,,,9054956.3,9404771.8,9470681.0,9638413.5,9448959.3,9006132.0,8309774.9,,,,,,,,,
广东省,,,,,22574307.7,24438090.4,26441952.3,28637576.7,29845947.0,29989740.0,27978027.1,,,,,,,,,
广西壮族自治区,,,,,6390053.7,6589244.4,6710179.7,6823545.0,6761542.7,6430866.0,5883304.4,,,,,,,,,
海南省,,,,,2230770.9,2247768.9,2287794.3,2332985.1,2399624.3,2424119.0,2216751.2,,,,,,,,,
重庆市,,,,,5678242.6,5887249.6,5992462.2,6120475.3,5946746.8,5586370.0,5053089.3,,,,,,,,,
四川省,,,,,13600805.9,13411132.3,13465427.3,13620556.3,13380462.4,12858479.0,11688088.0,,,,,,,,,
贵州省,,,,,7056161.2,7068974.4,6791105.9,6732614.6,6447631.9,5948221.0,5184901.6,,,,,,,,,
云南省,,,,,8261469.5,8433594.8,8163506.2,8240623.8,8207700.2,7651115.0,6921686.6,,,,,,,,,
西藏自治区,,,,,615073.9,630065.8,629187.0,619857.3,608524.1,562764.0,483802.7,,,,,,,,,
陕西省,,,,,6805092.7,7319293.8,7410218.3,7703729.1,7749202.3,7605728.0,7091914.6,,,,,,,,,
甘肃省,,,,,4304638.1,4542807.3,4515977.0,4444434.6,4266126.3,3925201.0,3542737.5,,,,,,,,,
青海省,,,,,1030421.9,1113676.4,1136844.3,1159196.3,1132156.8,1055147.0,926675.3,,,,,,,,,
宁夏回族自治区,,,,,1256751.7,1345168.0,1364467.8,1388471.4,1342384.6,1278708.0,1172582.2,,,,,,,,,
新疆维吾尔自治区,,,,,6189796.0,6190815.8,6109532.0,6074567.6,6027832.8,5809067.0,5174555.6,,,,,,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
