数据库：分省年度数据
指标：移动电话国内漫游去话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,924976.3,895700.8,1139262.8,1384130.1,999000.3,798615.0,624942.5,,,,,,,,,
天津市,,,,,226039.3,216533.0,246980.1,287855.9,269214.9,238825.0,171659.1,,,,,,,,,
河北省,,,,,740545.9,551012.6,899010.3,1187816.0,1118306.1,993510.0,760689.8,,,,,,,,,
山西省,,,,,779565.0,763439.1,744571.5,795533.2,761170.1,641676.0,494216.2,,,,,,,,,
内蒙古自治区,,,,,564589.4,542020.9,552639.1,609678.7,702962.5,580472.0,451175.5,,,,,,,,,
辽宁省,,,,,772203.3,752460.9,763305.0,808468.5,796594.6,761856.0,707853.5,,,,,,,,,
吉林省,,,,,510321.1,510703.3,525522.3,541293.2,519093.0,490770.0,448946.6,,,,,,,,,
黑龙江省,,,,,602704.8,592553.6,609690.7,583264.8,522888.1,511327.0,428588.4,,,,,,,,,
上海市,,,,,925790.9,883131.2,862254.7,833374.1,727114.3,609294.0,468533.2,,,,,,,,,
江苏省,,,,,2380159.2,2349695.4,2297476.9,2227817.9,2025391.3,1702856.0,1276493.3,,,,,,,,,
浙江省,,,,,2160579.7,2179244.9,2131069.5,2024651.5,1858476.9,1613698.0,1245915.6,,,,,,,,,
安徽省,,,,,1406079.1,1343314.3,1244477.4,1131649.5,937461.4,747516.0,539548.6,,,,,,,,,
福建省,,,,,1067241.9,1067669.5,1142252.3,1161484.6,1063576.2,886714.0,636310.2,,,,,,,,,
江西省,,,,,852542.0,802119.8,771215.0,710058.9,601391.5,486059.0,315537.6,,,,,,,,,
山东省,,,,,1918942.2,1814935.6,1704084.3,1768923.5,1713760.5,1442797.0,1023007.5,,,,,,,,,
河南省,,,,,2538424.9,2427638.8,2233140.7,2080736.1,1852981.5,1571831.0,1168744.3,,,,,,,,,
湖北省,,,,,1296644.5,1230780.3,1197121.1,1128200.0,989007.4,832696.0,622274.1,,,,,,,,,
湖南省,,,,,1428206.4,1345628.4,1244831.4,1189624.2,1037282.4,858950.0,641053.0,,,,,,,,,
广东省,,,,,5702676.9,5747075.6,5934703.8,6045037.2,5685508.1,4989589.0,3928491.6,,,,,,,,,
广西壮族自治区,,,,,894658.8,848782.9,822229.5,770618.7,705213.6,612979.0,470408.0,,,,,,,,,
海南省,,,,,96005.8,101329.7,106489.9,110711.0,113758.9,109193.0,94577.6,,,,,,,,,
重庆市,,,,,518052.1,618565.5,592185.8,592248.2,481099.1,324858.0,208878.5,,,,,,,,,
四川省,,,,,1545559.4,2063582.1,2083513.5,1848564.3,1500889.5,1150224.0,791328.3,,,,,,,,,
贵州省,,,,,1177409.1,1064372.3,883428.1,707574.7,648491.4,505523.0,336999.9,,,,,,,,,
云南省,,,,,771024.8,748887.3,774906.1,771721.5,648076.0,528733.0,412712.4,,,,,,,,,
西藏自治区,,,,,148753.9,148605.1,149830.1,144720.3,132203.5,110698.0,82371.5,,,,,,,,,
陕西省,,,,,948802.6,920599.2,861944.6,903230.4,849514.7,688379.0,440707.8,,,,,,,,,
甘肃省,,,,,640580.7,585902.4,586855.6,545775.7,460663.7,363292.0,254525.5,,,,,,,,,
青海省,,,,,212821.6,210642.0,204836.1,195480.8,180234.8,157606.0,122796.0,,,,,,,,,
宁夏回族自治区,,,,,232401.6,236862.7,232545.2,222597.0,191241.7,165792.0,134988.0,,,,,,,,,
新疆维吾尔自治区,,,,,755076.5,729083.4,686502.7,648042.6,594095.1,494200.0,369227.9,,,,,,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
