数据库：分省年度数据
指标：移动电话国际及港澳台漫游去话通话时长(万分钟)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,5765.3,5674.6,7030.2,8496.0,8201.6,5174.0,4091.0,,,,,,,,,
天津市,,,,,580.1,1058.5,1393.8,1691.3,1765.6,1543.0,1236.5,,,,,,,,,
河北省,,,,,772.4,714.3,871.5,1090.5,997.6,611.0,394.4,,,,,,,,,
山西省,,,,,326.2,320.7,390.6,472.0,453.5,336.0,238.3,,,,,,,,,
内蒙古自治区,,,,,977.9,991.2,643.2,544.6,565.0,502.0,330.1,,,,,,,,,
辽宁省,,,,,1537.8,1693.2,2017.2,2261.9,2304.7,1859.0,1327.9,,,,,,,,,
吉林省,,,,,449.6,459.2,515.5,569.2,499.0,368.0,200.6,,,,,,,,,
黑龙江省,,,,,550.7,530.1,708.2,802.4,801.6,585.0,396.7,,,,,,,,,
上海市,,,,,6280.5,7220.8,8203.3,9055.5,8863.1,7852.0,6258.7,,,,,,,,,
江苏省,,,,,3385.0,3472.2,4062.3,4733.7,4436.0,3661.0,2637.5,,,,,,,,,
浙江省,,,,,3663.3,4042.2,5246.8,6409.5,6642.3,5868.0,4870.2,,,,,,,,,
安徽省,,,,,463.8,449.8,534.8,583.3,285.9,220.0,215.2,,,,,,,,,
福建省,,,,,2354.2,2358.6,2755.4,3215.4,2689.1,1994.0,1617.2,,,,,,,,,
江西省,,,,,658.2,644.8,886.0,952.7,833.0,639.0,432.4,,,,,,,,,
山东省,,,,,1871.5,1570.9,1676.1,1506.8,1091.8,827.0,647.5,,,,,,,,,
河南省,,,,,1349.1,1341.9,1700.1,1913.0,1539.5,1070.0,809.0,,,,,,,,,
湖北省,,,,,1098.6,1008.8,1163.7,1334.8,1128.2,811.0,597.0,,,,,,,,,
湖南省,,,,,1092.6,1054.6,1294.2,1426.2,1441.0,1099.0,737.7,,,,,,,,,
广东省,,,,,19086.9,22045.7,26095.5,29667.2,29529.2,26576.0,23757.4,,,,,,,,,
广西壮族自治区,,,,,869.5,822.1,951.3,1041.5,1004.5,792.0,521.9,,,,,,,,,
海南省,,,,,548.4,526.7,548.7,564.6,583.5,464.0,329.5,,,,,,,,,
重庆市,,,,,621.2,627.2,731.1,865.2,751.9,472.0,318.6,,,,,,,,,
四川省,,,,,1126.7,1034.3,1294.6,1374.7,1145.7,723.0,949.9,,,,,,,,,
贵州省,,,,,555.0,513.6,576.9,581.1,532.8,441.0,189.9,,,,,,,,,
云南省,,,,,691.6,596.0,696.7,796.6,808.7,835.0,503.9,,,,,,,,,
西藏自治区,,,,,10.6,10.8,10.4,10.4,8.0,0.0,7.7,,,,,,,,,
陕西省,,,,,709.8,758.6,967.2,1000.9,961.3,866.0,630.3,,,,,,,,,
甘肃省,,,,,216.8,211.5,250.2,255.8,207.3,126.0,73.4,,,,,,,,,
青海省,,,,,85.1,85.8,95.7,79.5,75.7,78.0,72.5,,,,,,,,,
宁夏回族自治区,,,,,34.8,50.9,54.0,49.2,110.6,74.0,49.5,,,,,,,,,
新疆维吾尔自治区,,,,,216.8,303.4,569.3,537.7,464.8,321.0,225.6,,,,,,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
