数据库：分省年度数据
指标：3G移动电话用户(万户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,62.3,241.1,383.6,414.8,502.9,849.6,1906.9,1461.0,855.4,464.7,226.8,84.5,,,,,,,
天津市,,35.8,42.5,147.0,151.2,223.6,349.4,763.0,483.5,296.4,188.3,61.8,38.8,,,,,,,
河北省,,123.3,511.6,686.3,628.3,775.4,1283.8,2044.2,2003.5,1077.2,550.1,166.8,43.7,,,,,,,
山西省,,72.1,80.8,342.2,310.2,374.2,699.8,1466.3,952.0,547.6,292.4,120.8,21.2,,,,,,,
内蒙古自治区,,52.4,62.2,306.7,288.6,338.3,501.2,853.7,736.4,451.3,257.6,145.9,18.5,,,,,,,
辽宁省,,103.4,104.9,418.7,391.1,520.5,904.6,1606.3,1419.2,893.1,547.7,194.8,43.4,,,,,,,
吉林省,,72.4,74.8,307.9,278.1,338.6,499.8,929.1,606.0,391.0,240.6,101.4,14.9,,,,,,,
黑龙江省,,71.0,77.2,385.5,399.8,483.9,705.6,1094.4,837.4,471.7,268.8,90.4,19.2,,,,,,,
上海市,,176.3,137.9,361.8,419.5,512.5,822.1,1340.5,1147.4,748.2,464.7,199.9,62.5,,,,,,,
江苏省,,118.8,164.8,691.7,740.1,897.8,1676.9,3173.6,2867.6,1807.6,1015.3,373.1,90.7,,,,,,,
浙江省,,102.4,119.6,570.2,596.8,714.6,1371.0,2554.0,2359.9,1328.8,799.7,293.6,79.5,,,,,,,
安徽省,,101.1,134.4,596.9,442.5,545.7,886.8,1678.5,1394.1,853.4,442.4,119.1,23.0,,,,,,,
福建省,,83.4,234.9,311.4,274.1,448.7,746.1,1511.8,1326.1,839.5,448.8,150.0,42.4,,,,,,,
江西省,,51.0,51.8,293.6,259.5,307.1,622.2,1150.7,938.2,507.0,249.4,73.7,14.9,,,,,,,
山东省,,316.8,266.1,1074.2,926.1,1250.3,1970.0,3262.1,2592.4,1516.8,881.2,371.2,93.1,,,,,,,
河南省,,253.6,621.5,639.5,787.2,1031.8,1574.6,3002.6,2314.4,1144.6,548.2,199.6,68.9,,,,,,,
湖北省,,101.7,304.0,403.3,356.3,567.0,948.5,1716.6,1509.3,873.9,491.4,155.3,42.6,,,,,,,
湖南省,,99.4,318.1,505.2,391.3,384.6,1108.3,2037.7,1580.5,899.8,475.0,160.7,30.3,,,,,,,
广东省,,250.6,425.4,1190.4,1095.1,1578.6,3089.1,4981.2,4469.1,2784.3,1659.4,622.1,176.2,,,,,,,
广西壮族自治区,,70.3,101.1,436.6,368.1,442.9,666.7,1359.0,1067.4,560.7,278.6,98.8,18.9,,,,,,,
海南省,,13.0,17.6,73.1,74.7,99.6,178.4,390.6,314.7,198.8,106.6,31.8,9.6,,,,,,,
重庆市,,55.2,235.3,331.6,289.2,338.4,600.6,1078.8,854.1,441.8,244.4,91.4,21.7,,,,,,,
四川省,,129.6,203.1,541.3,725.6,1340.8,1688.6,2447.0,1936.0,1062.8,584.5,194.9,37.9,,,,,,,
贵州省,,44.5,196.1,330.5,260.2,307.2,533.9,1014.1,761.2,386.6,186.1,56.3,12.2,,,,,,,
云南省,,37.0,72.0,284.2,320.3,448.1,708.7,1286.5,1084.6,571.8,272.3,88.8,16.2,,,,,,,
西藏自治区,,7.6,22.5,43.2,165.7,162.7,130.3,336.7,96.4,41.7,19.3,7.7,1.6,,,,,,,
陕西省,,68.7,97.4,371.4,349.9,441.7,629.6,1132.3,1325.9,805.6,395.9,127.5,37.1,,,,,,,
甘肃省,,49.6,189.8,280.3,248.5,334.6,454.6,939.2,608.9,308.7,152.7,52.8,14.0,,,,,,,
青海省,,11.8,16.5,65.6,76.5,104.7,152.8,454.9,184.2,90.7,44.2,14.0,3.5,,,,,,,
宁夏回族自治区,,11.0,13.1,76.0,67.2,83.3,141.1,302.7,218.0,104.7,52.9,18.2,3.7,,,,,,,
新疆维吾尔自治区,,611.1,738.1,1568.5,1366.8,1180.5,1078.5,709.7,709.7,399.1,182.6,55.4,10.5,,,,,,,
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
