数据库：分省年度数据
指标：城市电话年末用户数(万户)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,529.8,561.3,638.0,713.4,695.2,705.5,700.7,696.4,694.2,681.5,709.4,805.2,847.7,759.8,602.3,510.5
天津市,,,,,293.3,309.1,340.7,351.0,348.6,349.2,329.7,363.0,381.6,392.6,394.7,420.9,425.3,405.7,358.5,265.8
河北省,,,,,641.1,694.2,766.7,807.5,840.1,850.8,814.2,811.8,870.1,925.4,930.5,952.5,901.3,883.2,731.5,558.4
山西省,,,,,259.2,287.7,354.2,462.1,433.6,482.0,468.0,488.0,498.6,522.4,535.9,570.0,602.5,521.9,463.6,370.5
内蒙古自治区,,,,,204.6,233.0,277.6,296.7,317.7,310.7,318.9,353.8,372.8,388.3,419.0,406.8,417.6,390.1,342.8,242.5
辽宁省,,,,,667.2,771.9,906.5,671.5,800.1,861.3,934.9,985.8,1075.7,1142.1,1202.5,1175.5,1177.0,1058.7,907.4,712.4
吉林省,,,,,388.0,404.9,448.6,507.5,439.3,434.7,434.0,433.1,425.4,445.4,503.0,483.3,529.8,461.5,417.2,339.4
黑龙江省,,,,,376.9,430.7,503.8,514.8,602.0,594.3,608.0,620.4,659.1,790.5,819.3,775.2,784.5,833.0,658.1,488.4
上海市,,,,,690.9,731.6,797.3,830.1,858.6,891.9,915.4,920.1,923.5,1003.1,1009.8,1100.1,987.0,859.2,733.9,672.1
江苏省,,,,,1003.2,1097.0,1218.0,1222.9,1275.9,1341.0,1392.5,1527.8,1694.3,1974.5,2209.1,2226.6,2089.1,1641.9,1175.4,920.2
浙江省,,,,,978.1,1036.1,1095.6,1128.5,1051.9,1127.4,1168.2,1200.0,1326.1,1482.4,1592.2,1566.6,1421.5,1188.2,937.3,715.4
安徽省,,,,,392.6,432.0,505.3,532.2,603.8,641.0,661.5,612.9,625.8,677.5,727.1,754.8,680.0,591.9,472.1,376.4
福建省,,,,,488.2,512.2,563.9,516.8,609.7,632.8,623.6,661.2,853.8,1065.0,1072.1,1060.9,982.1,848.3,695.9,536.7
江西省,,,,,317.4,337.4,363.8,354.1,395.9,405.4,421.9,439.7,448.0,495.9,505.9,499.1,488.1,411.5,387.1,310.1
山东省,,,,,638.5,678.2,774.1,816.0,995.4,1067.4,1088.0,1162.6,1260.3,1362.3,1324.3,1292.1,1364.3,1265.8,1004.2,792.3
河南省,,,,,520.0,543.2,679.5,736.6,753.7,789.9,845.4,926.5,1009.0,1045.0,1142.4,1189.4,1066.1,927.3,752.7,641.2
湖北省,,,,,495.8,531.7,632.5,613.0,662.9,666.2,681.3,670.7,710.2,771.2,865.4,921.2,887.6,777.1,640.5,539.3
湖南省,,,,,467.4,470.3,559.2,582.4,624.8,645.2,666.7,735.2,764.6,812.8,786.8,803.6,718.2,616.5,541.3,445.9
广东省,,,,,1850.7,1991.3,2131.3,2166.5,2265.7,2220.9,2206.1,2236.1,2554.4,2764.5,2941.7,2838.6,2614.6,2179.3,1759.5,1277.6
广西壮族自治区,,,,,221.3,244.4,312.0,336.9,354.7,376.5,399.6,430.3,485.8,515.7,535.0,568.3,557.2,544.2,429.2,355.7
海南省,,,,,104.5,116.2,122.5,119.9,122.7,122.0,122.7,124.9,125.5,159.5,170.9,179.7,170.0,140.6,114.4,96.9
重庆市,,,,,435.8,420.2,431.2,437.8,430.3,407.3,384.5,376.4,397.8,426.0,458.7,469.1,456.5,425.5,343.8,262.5
四川省,,,,,1027.9,981.3,939.1,917.4,926.4,927.8,922.8,895.4,985.3,1052.3,1159.5,1156.7,1101.5,989.2,804.9,621.8
贵州省,,,,,202.5,210.4,249.6,261.4,269.6,264.9,254.9,246.8,254.5,282.0,311.2,317.1,328.3,281.0,234.8,204.2
云南省,,,,,247.0,267.1,294.1,312.3,346.9,364.7,361.4,357.7,359.5,376.3,400.0,441.7,444.0,410.4,359.9,357.6
西藏自治区,,,,,47.2,38.8,34.7,325.8,39.3,39.1,39.0,41.9,51.2,68.0,64.7,64.9,49.0,35.2,26.1,18.8
陕西省,,,,,483.9,524.2,558.0,165.1,555.0,541.3,531.1,519.6,525.7,564.7,583.4,580.6,561.8,527.1,446.1,358.9
甘肃省,,,,,239.2,241.2,261.9,472.9,269.8,272.4,269.9,265.4,285.9,334.7,394.4,431.8,395.3,344.6,284.9,233.4
青海省,,,,,94.9,89.2,91.5,224.8,86.6,85.6,84.6,80.8,84.1,92.5,95.9,99.5,92.8,77.7,64.2,50.3
宁夏回族自治区,,,,,55.3,61.8,73.8,85.6,87.0,83.3,81.3,77.9,77.3,79.5,95.4,100.0,98.3,84.4,72.2,65.6
新疆维吾尔自治区,,,,,368.4,370.8,395.8,144.5,393.6,391.0,390.8,395.9,409.6,462.2,520.6,533.6,459.2,376.7,311.1,238.4
注：1.邮政业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2020年按2010年不变价格计算，2021年起按2020年不变价格计算。
　　　2.电信业务总量2000年及以前按1990年不变价格计算，2001-2010年按2000年不变价格计算，2011-2015年按2010年不变价格计算，2016-2020年按2015年不变价格计算，2021年起按上年不变价格计算。
数据来源：国家统计局
