数据库：分省年度数据
指标：快递量(万件)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,238221.33,228716.43,220875.62,227452.10,196029.02,141447.26,111011.95,81818.20,48073.73,33663.38,18002.50,14986.45,13487.91,9504.31,2081.18,1795.10,1499.70,1188.80,1066.70
天津市,92767.36,69733.02,57576.69,50199.02,41005.35,25624.45,12404.23,8718.97,6364.03,5130.56,3670.10,2598.08,2540.16,2048.20,489.36,410.20,352.10,321.50,287.70
河北省,370249.80,230392.65,174136.22,119389.30,90392.39,54911.94,34019.15,20755.74,12469.11,8660.43,4573.70,4506.80,3795.46,2956.53,1023.45,842.90,739.90,651.00,488.30
山西省,53583.56,36413.78,30332.87,24359.07,18665.25,11477.30,9130.43,8868.97,2805.32,2098.46,1479.30,1237.41,1261.62,1007.55,331.12,298.60,238.40,199.90,167.70
内蒙古自治区,19557.57,14263.24,15182.32,11035.31,8470.64,5410.15,4363.63,2838.98,2439.98,1994.95,1432.10,1196.43,1061.48,850.81,272.08,246.00,218.10,191.70,147.60
辽宁省,111978.01,79515.65,65363.68,51434.46,39825.89,24674.13,16656.40,11411.11,7757.36,6211.54,4585.60,3497.28,3238.91,2832.24,911.64,804.40,744.30,619.80,509.10
吉林省,44693.65,30662.04,22637.55,17569.40,13893.98,9017.05,6640.24,4526.69,3854.37,2647.29,1855.00,1445.76,1342.58,1176.37,561.34,424.70,322.90,330.10,266.70
黑龙江省,45522.34,35088.91,30177.15,23185.63,21769.77,12636.84,7014.55,5393.85,3623.47,3066.02,2308.20,2052.90,2066.72,1842.94,493.32,408.60,371.50,339.60,288.80
上海市,336330.67,313326.08,348648.80,311503.70,260274.43,170777.96,128366.11,95012.45,59905.25,40914.91,24318.90,34178.35,29259.07,24247.01,2112.31,1685.50,1388.40,1148.70,946.40
江苏省,697680.50,574060.40,438935.42,359627.79,283823.24,229047.65,148435.20,98415.47,63870.50,38508.96,23796.50,17498.18,11926.59,9430.67,2085.28,1719.20,1464.00,1302.90,1103.40
