数据库：分省年度数据
指标：邮政营业网点(处)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,4495,4927,5425,5106,7156,6121,4129,3838,3086,2447,2205,1804,1510,1522,896,892,845,874,817
天津市,3926,3266,2444,2084,1956,1831,1386,1423,1068,702,749,601,632,673,464,456,406,364,364
河北省,14323,12352,9836,7014,6537,5663,4339,3349,2843,2492,2353,1962,2066,2138,2610,2679,2484,2487,2546
山西省,8185,7269,6779,6596,5972,5906,4100,3228,2097,1582,1502,1533,1640,1656,1623,1603,1608,1633,1683
内蒙古自治区,7327,5880,4934,4605,4150,3562,2981,2682,2204,1662,1733,1613,1691,1802,1748,1773,1691,1686,1679
辽宁省,10385,9076,7117,7125,5937,5301,3846,3722,3087,2339,2172,1907,1804,1904,1645,1686,1668,1643,1644
吉林省,5736,5100,4659,4711,3748,4081,2369,2290,1609,1500,1302,1131,1242,1401,1423,1395,1382,1374,1413
黑龙江省,8391,6638,6155,5818,4714,4348,3156,2645,2450,2112,1974,1794,2200,2215,2161,2138,2169,2165,2158
上海市,5919,5503,4716,16374,7629,7796,4480,4569,3792,5078,4210,2374,4875,4710,673,647,616,601,594
江苏省,24643,21469,15202,15190,12951,10898,11861,8913,6772,5551,4808,3920,3560,3874,3023,3164,3207,3216,3185
浙江省,25229,27381,25861,26487,11948,11959,7499,7035,5305,3755,3734,2792,2693,2986,2347,2374,2405,2453,2446
安徽省,15022,13104,10479,10652,7528,7229,4008,4031,2548,2809,2309,2323,2235,2521,2601,2560,2698,2700,2605
福建省,8365,8902,10255,9308,7418,6467,4341,4275,3177,2067,2256,1763,1657,1819,1605,1638,1674,1654,1653
江西省,10491,8897,7384,10238,6561,4724,3852,3845,2715,2271,2046,1888,1884,1895,1862,1858,1906,1979,2381
山东省,17679,19038,14762,14936,10221,8605,6498,6567,5820,3891,4206,3408,3344,3411,3048,5841,6608,4410,3057
河南省,19184,16627,14138,12150,10827,7434,6526,5626,4368,4366,3908,2904,2772,2821,2649,2739,2801,2828,2936
湖北省,14261,13703,14210,14222,11812,9198,5581,5194,4046,2455,2422,2254,2351,2262,2115,2119,2480,2644,2640
湖南省,12061,11474,10433,9810,8004,7249,5190,6354,3115,3046,3095,5133,5053,5985,6940,6525,5749,4353,3028
广东省,32335,30019,25111,24234,21602,22018,14476,14020,10910,6552,8526,5245,6380,5123,3683,3939,4294,4532,4694
广西壮族自治区,10311,9461,8024,7631,6166,4849,3419,2764,2328,1972,1739,1685,1654,1722,1688,1672,1694,1707,1710
海南省,2109,1684,1767,1714,1740,1516,1109,878,685,630,488,495,460,512,505,503,506,536,546
重庆市,10164,8834,6786,6583,4955,3725,3623,3170,2583,3299,3016,2309,2427,2386,2231,2290,2324,2440,2392
四川省,28160,24583,20170,18962,16532,13220,10767,9238,7071,5930,5286,5656,5649,5597,5883,6198,6193,6250,6196
贵州省,11565,10148,8332,8047,6074,4982,3461,3076,2017,1934,1796,2068,2131,2123,2081,1908,1741,1729,1635
云南省,11767,10250,9100,7970,6306,4802,3638,3321,2856,2293,2235,1874,1890,2038,1928,1957,1983,1965,1934
西藏自治区,1232,1183,1167,1073,965,888,406,303,247,240,302,199,199,199,193,180,127,128,129
陕西省,12492,10109,8366,8466,6435,4801,3548,2702,2428,1974,1934,1756,1806,1818,1766,1794,1819,1899,1905
甘肃省,5991,5170,4725,4863,4635,4016,2708,2039,1710,1515,1282,1397,1387,1448,1392,1386,1386,1383,1398
青海省,1671,1191,1098,970,986,877,708,748,261,192,226,199,251,254,233,219,214,210,220
宁夏回族自治区,1637,1558,1508,1319,1297,1004,808,633,489,455,462,347,326,358,342,340,371,378,379
新疆维吾尔自治区,4019,3720,3692,3767,3946,3567,2749,2637,1885,1556,1463,1338,1377,1482,1441,1444,1344,1334,1402
注：邮政营业网点1998年及以前为邮电局所，1999-2006年为邮政局所；统计口径从2002年起为邮政局所和邮政代办点，2007年起为规模以上邮政业法人企业办理业务的场所。
数据来源：国家统计局
