数据库：分省年度数据
指标：快递营业网点(处)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,6110,4110,3826,3052,2507,,,,,,,,,
天津市,,,,,,,1814,1342,1405,1068,765,,,,,,,,,
河北省,,,,,,,4830,3697,3260,2734,2461,,,,,,,,,
山西省,,,,,,,5580,3568,2727,1728,1300,,,,,,,,,
内蒙古自治区,,,,,,,3477,2462,2104,1596,1112,,,,,,,,,
辽宁省,,,,,,,5295,3846,3641,3087,2545,,,,,,,,,
吉林省,,,,,,,4081,2369,2278,1601,1429,,,,,,,,,
黑龙江省,,,,,,,4244,2897,2645,1881,1654,,,,,,,,,
上海市,,,,,,,7781,4477,4568,3792,5208,,,,,,,,,
江苏省,,,,,,,10866,11861,8913,6405,5837,,,,,,,,,
浙江省,,,,,,,11829,7217,6816,5155,3965,,,,,,,,,
安徽省,,,,,,,7039,3786,2925,2434,2260,,,,,,,,,
福建省,,,,,,,6453,4222,4125,3117,2288,,,,,,,,,
江西省,,,,,,,4384,3360,3827,2369,2142,,,,,,,,,
山东省,,,,,,,8599,6498,6153,5173,5506,,,,,,,,,
河南省,,,,,,,7408,6481,5626,4305,4325,,,,,,,,,
湖北省,,,,,,,9129,5581,5178,4035,2569,,,,,,,,,
湖南省,,,,,,,7016,4792,4364,2846,2510,,,,,,,,,
广东省,,,,,,,21965,14476,13461,10015,7070,,,,,,,,,
广西壮族自治区,,,,,,,4834,3370,2764,2304,1941,,,,,,,,,
海南省,,,,,,,1513,1106,864,675,632,,,,,,,,,
重庆市,,,,,,,3685,3542,3044,2506,2276,,,,,,,,,
四川省,,,,,,,11833,9266,8465,6217,3938,,,,,,,,,
贵州省,,,,,,,4815,3054,3070,1921,1637,,,,,,,,,
云南省,,,,,,,4774,3458,3095,2598,2134,,,,,,,,,
西藏自治区,,,,,,,888,284,303,247,225,,,,,,,,,
陕西省,,,,,,,4335,3205,2529,2312,1842,,,,,,,,,
甘肃省,,,,,,,3935,2573,2028,1697,1471,,,,,,,,,
青海省,,,,,,,623,425,725,241,165,,,,,,,,,
宁夏回族自治区,,,,,,,941,642,541,364,317,,,,,,,,,
新疆维吾尔自治区,,,,,,,3194,2489,2381,1554,1231,,,,,,,,,
数据来源：国家统计局
