数据库：分省年度数据
指标：信筒信箱数量(处)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,4229,4397,4562,5200,5403,5442,5552,6498,5973,6231,6397,6045,3757,3808,3686,3595,3564,3459,2743
天津市,,2581,2598,2594,3214,3478,3784,3636,3736,2836,2561,2093,1422,1428,1436,1474,1728,1656,1649,1832
河北省,,2696,2801,2681,2731,2788,2718,3798,4314,4472,4486,5009,5392,5999,6087,6307,6613,7128,8088,8755
山西省,,1720,1726,1645,1425,1362,1320,1460,2373,2508,2747,2811,2932,3171,3253,3492,3517,3369,3594,3434
内蒙古自治区,,1538,1536,1600,1540,1381,1229,2174,2361,2397,2368,2455,2521,2565,2567,2549,2805,3099,3022,3478
辽宁省,,2361,2523,2997,3650,4002,4025,4924,5315,5213,5666,6164,6552,6833,7053,6815,7366,7848,7622,7588
吉林省,,1455,1488,1644,1572,1205,1295,3962,4123,4111,4631,4615,4065,4031,4291,4572,4986,5387,5502,5676
黑龙江省,,2381,2312,2277,2454,2718,2738,2681,3411,3386,4418,4612,4998,6768,5537,5735,5775,7107,6990,8137
上海市,,2557,2651,3013,3025,3075,3111,3169,3210,3443,3482,3568,3673,3726,3818,3842,4022,4028,4392,4139
江苏省,,4934,13375,6870,8177,9236,8065,6945,7530,7361,8287,8440,9093,9285,9387,9793,10579,10709,11220,11308
浙江省,,13762,19431,23912,25579,26489,26904,27718,26870,25408,15041,10389,11316,12367,14752,15125,15474,15730,16968,16510
安徽省,,2177,2219,2273,2533,2511,2401,3704,4641,3961,4554,6693,6736,6112,6334,6471,6378,9063,8465,7689
福建省,,7312,7351,7584,8239,8368,8730,9623,9901,11414,14352,14429,15014,14674,14009,15740,15349,14426,14595,14830
江西省,,2108,2028,2039,2066,2181,2130,3247,3197,3624,3672,3674,3909,4357,4624,5499,6051,6544,7583,8503
山东省,,3396,3855,4329,5778,6053,5548,6333,6155,10354,5407,15271,15271,12547,12770,12077,11924,18727,34979,13486
河南省,,3123,3252,3602,4187,4271,4148,4597,4525,4574,4614,4590,4711,5034,5247,5206,5259,5316,6009,6797
湖北省,,2276,2442,2465,2385,2575,2417,4180,4091,4173,3497,11109,12788,15538,19011,16812,17502,20081,53929,12953
湖南省,,2771,2777,2867,2450,2470,2451,3443,4702,3617,4008,5242,34351,51198,13096,13276,13776,16493,15965,15435
广东省,,4248,4399,5092,5772,5965,7294,8154,9538,9344,9667,14288,12571,13552,13811,14573,15258,16783,16788,17160
广西壮族自治区,,2535,2811,3165,4293,4765,4805,4418,4364,4327,7720,8197,8671,7301,7504,7498,7556,7346,7147,7235
海南省,,2951,3140,3138,3223,3240,3259,3270,663,666,672,843,853,829,836,834,849,947,953,1452
重庆市,,1984,1964,2051,2025,1993,2184,2242,3016,2890,2785,2985,4622,3721,4319,4312,3934,6576,6101,5976
四川省,,8963,12311,12860,12970,11062,11037,9339,8576,8709,7314,7566,7571,7681,9599,9562,9308,8560,8183,8307
贵州省,,1945,1997,2112,2075,2048,2351,2400,2395,2744,2511,2507,2977,2263,2205,2296,2293,1936,2028,3399
云南省,,1880,1900,1909,1909,1904,1885,1804,1817,1820,2875,2927,3315,3266,3936,3857,4013,4292,4487,4471
西藏自治区,,5399,5402,5405,833,734,725,369,338,332,362,346,353,351,300,294,292,239,249,244
陕西省,,2041,2086,1943,1411,1719,2425,2984,2951,2920,3896,4156,4806,5062,5141,5187,5484,5494,5503,5423
甘肃省,,1745,1838,2829,2143,2081,2603,3732,4253,5258,7097,6347,6415,6413,6490,6490,6489,6512,6482,6479
青海省,,475,478,526,345,351,351,322,325,354,349,360,426,457,593,584,571,601,600,598
宁夏回族自治区,,483,499,480,314,328,333,439,497,526,634,636,821,1073,851,851,849,828,801,898
新疆维吾尔自治区,,1556,1647,1596,1891,1922,1864,1711,1665,1556,2302,2324,2407,2664,2671,2682,2664,2557,2609,2606
数据来源：国家统计局
