数据库：分省年度数据
指标：城市投递路线(公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,79218,80885,53376,52139,51423,50542,52396,43076,50625,47252,,,,,,,,,
天津市,,29552,30560,23614,22791,23832,23031,18712,15899,15438,12180,,,,,,,,,
河北省,,89386,91190,73378,68910,63328,61636,76230,56743,62028,59745,,,,,,,,,
山西省,,52301,55502,38886,38371,36276,33683,39001,36458,35409,31406,,,,,,,,,
内蒙古自治区,,77217,82521,64788,64891,53522,42927,45163,41590,41462,36842,,,,,,,,,
辽宁省,,91916,90261,74632,66677,62046,62860,55995,53791,56642,51417,,,,,,,,,
吉林省,,53026,55528,30569,32403,31366,33840,31684,30973,30863,26981,,,,,,,,,
黑龙江省,,60623,56469,43615,45000,44089,41291,45715,44781,48425,33832,,,,,,,,,
上海市,,88607,92643,51914,56829,69443,68400,67501,61253,62958,59807,,,,,,,,,
江苏省,,149417,151947,100031,98753,104359,95180,99706,91543,91897,92399,,,,,,,,,
浙江省,,115583,124161,121946,109769,96434,86689,87395,79242,77715,74415,,,,,,,,,
安徽省,,75924,77318,50035,49316,37724,40898,49014,42612,45227,43521,,,,,,,,,
福建省,,68794,75353,41175,41005,37707,33147,36047,32268,33904,34808,,,,,,,,,
江西省,,46830,49132,44143,40920,33436,27622,31208,28815,28397,24276,,,,,,,,,
山东省,,167471,119887,116682,111820,106090,90976,98373,89901,95114,82097,,,,,,,,,
河南省,,102790,104438,71680,68593,63882,65877,71630,60285,59681,50364,,,,,,,,,
湖北省,,79434,73688,56372,55007,52423,51567,54472,52144,50903,58371,,,,,,,,,
湖南省,,84162,88728,99398,88014,61927,58747,63146,57001,53011,36151,,,,,,,,,
广东省,,244880,270250,174986,160081,144351,123577,127187,117367,123020,110601,,,,,,,,,
广西壮族自治区,,45883,47677,33298,30433,28156,25999,33325,27047,26772,27255,,,,,,,,,
海南省,,18286,18746,19413,16932,16427,14976,13936,12908,12767,8082,,,,,,,,,
重庆市,,44331,42049,34794,35818,28513,26305,25394,24440,24614,18886,,,,,,,,,
四川省,,70769,69555,63774,55503,45740,43576,48212,39691,51183,34710,,,,,,,,,
贵州省,,41381,50161,46434,39530,26131,22244,23184,20609,16073,11916,,,,,,,,,
云南省,,45884,47394,40373,35091,33121,27327,26614,23615,24378,20229,,,,,,,,,
西藏自治区,,7842,7388,10249,6706,5666,5411,5946,5175,4446,2898,,,,,,,,,
陕西省,,49801,52194,38494,49076,32718,29598,30540,28782,31547,31498,,,,,,,,,
甘肃省,,46641,44854,41640,38487,35920,39388,30813,27866,30355,16358,,,,,,,,,
青海省,,10039,9338,8685,7913,7354,6699,6122,4723,6544,4158,,,,,,,,,
宁夏回族自治区,,20714,16852,11275,10358,10259,10287,9949,6263,6949,3274,,,,,,,,,
新疆维吾尔自治区,,35132,33315,32216,31313,31177,26742,30503,25458,29328,25735,,,,,,,,,
数据来源：国家统计局
