数据库：分省年度数据
指标：航空邮路总长度(公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1404699,480220,480220,480220,510002,138849,68326,243129,236926,227446,,,,,,,,,
天津市,,56557,95612,97700,90700,116410,82894,102769,32033,86238,68480,,,,,,,,,
河北省,,857,33182,77021,76753,41384,73520,73520,6020,6020,5775,,,,,,,,,
山西省,,75182,56217,38064,37263,50378,49848,48874,46260,41518,51268,,,,,,,,,
内蒙古自治区,,105775,62346,166400,185847,163700,116100,117700,116300,63615,46224,,,,,,,,,
辽宁省,,145148,198843,173207,214518,203459,209737,232042,188669,186973,67744,,,,,,,,,
吉林省,,134865,146625,145878,145878,84486,54324,91514,99789,134579,55131,,,,,,,,,
黑龙江省,,105061,84721,84721,84721,84721,96768,96768,96768,62483,57085,,,,,,,,,
上海市,,47429,45866,47102,47102,161361,161361,102413,97216,97216,195651,,,,,,,,,
江苏省,,235084,233837,244870,291760,,217929,217929,97723,94477,97225,,,,,,,,,
浙江省,,410808,741562,361407,361407,361407,360308,258801,220301,329552,160849,,,,,,,,,
安徽省,,,51885,38175,38175,,,63900,39237,60384,,,,,,,,,,
福建省,,162565,585766,585766,386390,129466,129466,129466,116466,115628,130913,,,,,,,,,
江西省,,,45916,5953,5953,20800,20800,27913,23419,34048,25952,,,,,,,,,
山东省,,99166,273940,272469,269749,269749,201546,182765,125919,201815,219856,,,,,,,,,
河南省,,483208,434936,281749,288756,40019,49779,49779,49043,42450,45831,,,,,,,,,
湖北省,,195401,142291,150750,68433,69988,69988,69988,68984,55055,128991,,,,,,,,,
湖南省,,251416,296081,242928,31992,,82553,82885,82885,54478,44205,,,,,,,,,
广东省,,2787782,3110950,1669961,1675061,199604,197404,450954,362210,316352,276967,,,,,,,,,
广西壮族自治区,,255216,216296,230554,186668,186427,186427,163500,201157,201157,69280,,,,,,,,,
海南省,,148602,150819,73565,67189,74575,80385,80385,80385,80385,80385,,,,,,,,,
重庆市,,51002,149857,92958,88925,86402,107951,100773,98635,56868,59770,,,,,,,,,
四川省,,264613,206863,188820,139168,138244,139168,139168,139168,125666,78336,,,,,,,,,
贵州省,,92562,91556,91556,91556,51422,51399,51399,51399,51399,34120,,,,,,,,,
云南省,,128409,186013,161944,162764,158880,162609,164321,158680,75116,74821,,,,,,,,,
西藏自治区,,,63750,36600,36600,36600,36600,34126,35528,11400,7086,,,,,,,,,
陕西省,,83851,88599,98691,97104,134173,132404,100710,100030,64898,159234,,,,,,,,,
甘肃省,,106637,123137,122637,110159,112234,106212,118125,118125,43753,55629,,,,,,,,,
青海省,,45521,54670,51729,50578,61467,54317,50596,47030,44824,19043,,,,,,,,,
宁夏回族自治区,,69926,52216,52216,47432,41463,,,35680,32808,34796,,,,,,,,,
新疆维吾尔自治区,,310628,219970,179248,137284,123401,188175,151464,156761,152211,140199,,,,,,,,,
注：邮路总长度1980年及以前为邮路及农村投递路线总长度之和。
数据来源：国家统计局
