数据库：分省年度数据
指标：汽车邮路总长度(公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,81517,80659,67829,65804,62366,104697,98077,99055,104867,85135,112620,58974,61917,50584,45737,45097,46899,44552,46870
天津市,,29707,49923,28791,24330,22572,18496,21184,17346,57864,16273,15828,11845,12974,11788,11444,10671,11114,9395,9499
河北省,,129238,115704,138398,125273,105751,93667,92901,65497,69477,61921,67707,58540,49305,45708,42753,43946,46446,42929,39010
山西省,,64274,58857,54291,51709,41554,37271,45571,37944,41245,40697,29349,28385,27849,25346,25306,24008,25140,23650,23981
内蒙古自治区,,91796,83811,76544,93631,100107,96841,76909,64496,85254,56798,46649,46726,43747,43851,44027,43895,43074,42799,42558
辽宁省,,99370,89596,76209,78192,68978,64629,58780,54029,57951,57749,48162,55639,52073,38564,33136,34187,34829,32629,32446
吉林省,,56519,39438,35749,34651,37743,33836,31654,30488,32790,24703,26013,25657,26005,25479,23266,23385,23131,23816,22665
黑龙江省,,66234,62006,61776,70078,56047,53375,58407,43736,62383,43365,40558,39693,37862,38056,37814,36606,37176,35912,35984
上海市,,62421,79157,54489,133200,61673,69160,91777,56215,74361,43645,45927,51315,47697,44929,39926,39672,37596,32336,24046
江苏省,,249893,257073,242562,247657,205555,187602,165701,129358,140268,108358,106543,88629,89852,88160,81622,80530,75129,68570,65815
浙江省,,280681,306812,290641,346885,299963,221214,206175,176616,105424,80628,91809,69806,64948,54977,50376,48012,42905,41537,40407
安徽省,,184807,161104,147781,145859,60144,72075,69267,62125,76372,62490,54330,50607,47466,44614,42634,51111,41061,38871,39853
福建省,,136159,96984,125997,69992,96088,72387,61701,62624,63440,50566,43770,45781,39996,36597,30179,30655,33753,32962,34110
江西省,,103845,86423,92987,84269,72911,63456,54979,53793,68097,59710,60957,60740,49776,47210,45245,44063,42145,41182,40329
山东省,,169870,168605,135693,182383,166578,165457,137237,101359,91373,71689,80890,68780,70562,57483,61727,62516,50777,49946,49790
河南省,,153837,151509,127235,132459,109704,104685,103984,90521,80403,93487,85533,66669,63996,61059,57507,57201,55402,49714,49220
湖北省,,113334,123107,111350,127258,105618,89809,87968,74164,59183,51961,58809,37311,37432,47899,46070,43732,43954,45729,43630
湖南省,,132005,127921,126948,138597,96710,100410,88714,87375,85626,68286,77745,54678,52660,51053,50017,52584,54599,53427,52232
广东省,,251702,258882,285943,283549,214952,192829,236666,202189,237089,408749,174503,125439,118272,113103,98404,94928,100053,87804,84415
广西壮族自治区,,98565,89831,86169,77118,66056,64475,70813,62045,57160,51757,48085,46524,46564,43926,45511,45603,45027,43223,42743
海南省,,19762,16787,17551,18851,16101,15973,11788,10020,13538,12650,12429,12203,11185,11576,11607,13923,13613,16053,12157
重庆市,,66401,67896,56179,45645,45140,64819,46448,46328,46147,35556,34363,24008,31385,31631,29148,29424,24477,24092,23113
四川省,,167293,169897,150174,142414,124697,102867,95325,92811,110917,85439,83971,80983,66339,62366,58547,57556,56506,53799,59189
贵州省,,80928,57207,55721,56928,49391,45749,45369,71890,76735,58062,55901,28799,27176,25222,23377,24541,26463,26693,25773
云南省,,124155,139134,115437,114346,101133,94867,85547,84449,90976,80971,68532,70151,71103,67477,66777,66382,58347,52855,53013
西藏自治区,,54591,61149,56398,26122,19026,17639,17046,14586,15897,15824,15082,14166,14159,13898,14293,14037,15165,17190,16542
陕西省,,71453,74332,75709,69163,69986,70194,58268,51541,64354,57723,60349,36067,32763,31059,30118,29196,29777,29148,29942
甘肃省,,88548,78807,76145,75714,76293,81662,60813,58847,76169,39319,34395,31003,33201,31962,30735,30179,29315,27852,27387
青海省,,40204,36216,34686,33609,33669,33661,21039,12961,24073,12137,12356,13503,11965,10706,9365,9240,8210,8857,8107
宁夏回族自治区,,14818,11594,8784,9057,8439,9661,9335,7170,18362,7870,11099,7119,4683,6343,6106,5949,6153,6040,5725
新疆维吾尔自治区,,80635,81735,58333,51458,49770,42999,52555,49272,101285,73967,48763,41043,40190,40289,37859,36973,36342,33918,32255
注：邮路总长度1980年及以前为邮路及农村投递路线总长度之和。
数据来源：国家统计局
