数据库：分省年度数据
指标：固定长途电话交换机容量(万路端)
时间：最近20年
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,6.70,37.68,45.83,45.83,51.47,56.57,56.57,55.08,55.08,55.08,54.47,54.47,57.97,57.70,44.47,33.49,21.92,18.65
天津市,,9.55,10.59,11.78,11.78,11.78,13.72,13.72,13.72,13.72,13.72,15.34,18.32,24.00,24.84,25.13,14.56,11.53
河北省,5.64,11.28,25.44,25.44,26.95,31.82,31.78,31.15,34.30,34.30,34.30,64.49,48.49,48.43,43.46,42.28,22.14,22.29
山西省,11.59,17.61,21.52,21.52,30.24,30.24,30.24,30.68,30.68,32.21,32.21,22.82,27.71,29.10,28.95,25.68,14.28,13.98
内蒙古自治区,,,4.59,10.08,12.79,21.20,21.12,20.25,20.25,20.25,24.88,34.48,24.84,25.70,25.52,25.37,14.69,13.21
辽宁省,,11.28,23.36,23.36,48.57,48.57,48.67,50.76,43.32,43.32,48.86,50.13,60.67,63.28,67.88,58.55,30.96,30.48
吉林省,10.26,10.26,8.63,8.63,8.63,8.62,22.44,22.54,22.54,28.67,27.60,26.50,25.42,28.66,29.30,23.87,12.30,20.88
黑龙江省,,23.47,26.21,27.85,36.00,36.00,41.15,41.15,46.51,48.91,48.29,41.09,31.97,31.97,31.98,37.32,22.34,26.22
上海市,35.78,35.78,46.35,46.35,71.63,71.63,74.19,73.97,79.05,73.04,67.09,65.69,65.67,51.74,50.69,45.00,23.50,23.50
江苏省,,12.25,21.18,37.56,37.56,37.56,37.56,109.48,109.48,109.67,113.23,123.24,117.84,94.01,93.01,80.43,51.24,48.24
浙江省,,66.79,78.36,85.15,85.15,85.15,85.15,85.15,84.76,93.23,91.47,86.93,83.18,64.23,56.94,53.50,44.10,36.95
安徽省,,,1.76,5.37,14.41,14.41,20.77,73.71,71.69,71.67,71.67,73.23,71.70,47.99,44.38,41.14,34.98,31.14
福建省,,,4.13,9.51,9.51,9.51,55.07,61.26,64.99,65.03,65.09,67.40,68.99,36.83,44.85,41.24,31.06,30.62
江西省,15.26,8.35,20.67,20.75,20.75,20.75,34.22,55.48,43.85,55.48,54.23,55.23,52.83,46.95,40.01,30.42,26.98,26.34
山东省,,12.40,19.08,23.21,31.25,40.08,45.72,45.72,45.72,45.66,48.48,48.79,48.91,60.94,59.80,60.81,39.07,50.79
河南省,,,18.80,18.80,32.90,133.74,144.64,151.19,151.09,150.75,105.80,104.85,58.60,58.59,58.55,56.12,28.08,28.67
湖北省,,,3.55,7.43,17.00,17.00,49.07,49.08,49.08,49.28,57.76,66.19,63.42,46.71,46.83,42.53,24.99,26.87
湖南省,,36.40,40.97,40.97,46.37,46.37,46.37,50.60,50.60,50.36,56.71,63.26,61.42,46.57,47.44,40.12,33.51,32.53
广东省,4.50,25.80,50.17,58.11,64.00,64.00,108.34,258.76,264.43,269.11,309.14,283.06,276.72,236.08,211.15,186.83,141.46,92.72
广西壮族自治区,13.20,23.55,25.34,27.96,28.73,32.45,58.19,57.97,61.68,62.03,63.36,60.59,56.80,38.68,35.04,35.18,27.10,28.07
海南省,,,1.50,4.11,4.11,4.11,9.16,9.16,9.16,9.16,8.67,6.62,6.62,11.67,9.04,7.84,7.20,6.61
重庆市,,,6.50,6.50,6.50,6.50,21.90,21.90,21.90,21.90,23.88,22.91,22.91,14.33,14.33,16.06,10.81,9.71
四川省,16.44,16.44,37.38,37.38,37.39,37.39,51.11,34.29,34.04,52.86,71.00,65.97,64.78,67.08,61.69,61.29,56.55,44.60
贵州省,,,2.73,2.73,6.28,18.32,25.54,26.66,28.54,28.54,28.54,28.44,28.48,22.21,23.59,21.12,19.37,13.98
云南省,,18.53,19.90,19.90,19.90,22.44,22.44,32.09,32.09,32.09,37.01,25.27,27.56,23.90,21.53,19.41,19.75,21.06
西藏自治区,,,0.00,1.29,1.29,1.43,1.66,3.45,3.45,3.45,5.73,5.88,5.88,5.45,5.45,5.11,4.60,4.10
陕西省,,,10.08,19.83,19.97,19.99,44.19,44.19,44.19,39.49,40.98,33.19,38.69,37.67,31.40,30.00,21.60,18.98
甘肃省,,4.30,5.75,7.20,7.20,7.61,27.41,17.79,33.70,25.36,24.35,23.08,22.99,16.17,16.69,13.84,13.36,11.06
青海省,,6.72,11.01,13.13,9.26,9.76,12.96,13.33,13.28,13.32,12.81,12.32,11.54,9.34,8.43,6.76,6.26,4.47
宁夏回族自治区,,4.00,4.78,5.99,6.14,6.14,6.14,6.14,6.14,7.36,7.35,6.81,5.99,4.53,8.17,5.62,4.65,4.48
新疆维吾尔自治区,,,2.79,2.79,2.79,27.22,28.46,28.46,28.46,31.60,31.64,47.89,43.39,28.26,26.80,23.41,17.46,20.26
注：电话交换机容量不包括用户交换机容量。
数据来源：国家统计局
