数据库：分省年度数据
指标：长途光缆线路长度(万公里)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.42,0.43,0.42,0.46,0.45,0.41,0.40,0.41,0.41,0.41,0.41,0.37,0.36,0.35,0.30,0.33,0.32,0.40,0.39
天津市,,0.46,0.43,0.41,0.41,0.38,0.37,0.35,0.35,0.31,0.31,0.31,0.31,0.30,0.28,0.24,0.19,0.15,0.21,0.18
河北省,,3.74,3.71,3.51,3.82,3.70,3.68,3.57,3.53,3.43,3.19,3.05,2.99,2.74,2.12,2.07,1.84,1.80,1.39,1.13
山西省,,3.22,3.11,3.01,3.24,3.16,3.09,2.98,3.61,2.78,2.76,2.77,2.61,2.61,2.29,2.25,2.13,2.01,1.66,1.67
内蒙古自治区,,7.08,7.64,7.51,7.79,7.75,7.15,6.67,5.78,5.69,5.61,4.68,4.26,3.93,3.39,3.48,3.31,3.11,2.84,2.50
辽宁省,,2.31,2.33,2.19,2.50,2.41,2.46,2.46,2.45,2.46,2.50,2.39,2.40,2.55,2.06,2.07,1.97,1.84,1.53,1.36
吉林省,,2.67,2.64,3.37,2.34,2.34,2.39,2.35,2.34,2.27,2.18,2.18,2.02,2.05,1.66,1.66,1.68,1.59,1.46,1.33
黑龙江省,,5.18,5.02,5.02,5.38,5.02,4.65,4.56,4.52,4.05,4.01,3.98,4.13,4.05,3.56,3.58,3.57,3.41,3.03,2.98
上海市,,0.50,0.42,0.40,0.53,0.56,0.51,0.51,0.37,0.48,0.47,0.47,0.43,0.43,0.30,0.33,0.46,0.45,0.42,0.27
江苏省,,4.04,3.91,3.74,4.31,3.91,3.88,3.62,3.00,3.28,3.28,3.30,3.21,3.13,2.95,2.78,2.57,2.31,1.94,1.29
浙江省,,2.70,2.66,2.68,2.77,2.63,2.63,2.57,2.58,2.50,2.38,2.35,2.30,2.39,2.61,2.56,2.48,2.29,2.05,1.51
安徽省,,3.56,3.53,3.53,3.89,3.22,3.09,2.95,2.84,2.63,2.58,2.49,2.37,2.29,2.61,2.62,2.55,2.47,2.00,1.91
福建省,,2.50,2.47,2.35,2.53,2.43,2.33,2.25,2.17,2.18,2.16,2.11,1.96,2.03,1.81,1.77,2.49,2.27,1.92,1.84
江西省,,3.34,3.15,2.84,2.54,2.15,2.11,2.00,1.82,2.15,2.13,2.12,2.16,2.08,2.04,1.76,1.63,1.46,1.38,1.37
山东省,,3.94,3.80,3.64,4.07,3.91,3.67,3.49,3.24,3.26,3.30,3.01,3.01,2.94,2.79,2.76,2.69,2.15,1.77,1.93
河南省,,3.59,3.50,3.41,3.46,3.25,3.36,3.14,3.14,3.14,3.05,3.67,3.64,3.57,3.05,2.95,2.87,2.88,2.32,2.30
湖北省,,3.21,3.08,2.91,3.23,3.24,3.17,3.03,2.81,2.77,2.71,2.70,2.92,2.77,2.76,2.29,2.17,2.14,1.81,1.62
湖南省,,4.27,4.32,4.18,4.97,4.15,4.09,3.88,3.84,3.64,3.62,3.62,3.52,3.41,3.37,2.95,2.81,3.03,2.38,1.86
广东省,,5.78,5.83,5.40,5.52,5.81,5.61,5.06,4.99,4.91,4.68,4.63,4.57,4.55,4.49,4.29,4.26,4.58,4.13,2.95
广西壮族自治区,,4.15,4.03,3.97,3.92,3.89,3.90,3.85,3.79,3.48,3.47,3.44,3.65,3.64,3.78,3.36,3.21,3.02,2.85,2.32
海南省,,0.32,0.32,0.09,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.08,0.18,0.17,0.09,0.06,0.06,0.12,0.12
重庆市,,0.61,0.61,0.62,0.82,0.83,0.76,0.71,0.64,0.61,0.61,1.11,1.11,0.88,0.93,0.83,0.66,0.62,0.88,1.07
四川省,,12.50,12.24,6.71,6.76,6.12,6.03,5.69,5.62,5.46,5.35,4.78,7.73,5.86,5.59,3.92,3.65,3.32,2.55,2.01
贵州省,,3.55,3.41,3.50,3.65,3.65,3.56,3.63,3.51,3.53,3.47,3.02,2.86,2.98,3.01,2.33,2.23,2.15,2.08,1.40
云南省,,5.95,4.97,4.81,5.15,5.12,4.94,4.37,4.25,4.02,4.01,3.45,3.40,3.50,3.54,3.00,2.66,2.61,1.80,2.00
西藏自治区,,4.06,4.06,3.54,3.66,3.57,3.31,3.83,3.04,3.01,2.48,2.25,2.04,1.77,1.97,1.88,0.96,0.73,0.65,0.69
陕西省,,4.03,3.26,2.80,3.08,2.99,2.92,2.89,2.84,2.76,2.74,2.66,2.65,2.85,2.78,3.35,3.12,2.97,2.54,1.86
甘肃省,,4.00,3.74,3.61,3.58,3.34,3.24,3.14,3.12,3.11,2.77,2.94,3.01,2.78,2.71,2.31,2.22,2.19,2.07,1.81
青海省,,4.36,4.11,4.03,4.27,4.25,4.06,3.90,3.36,3.34,2.80,2.80,2.56,2.49,2.00,1.68,1.47,1.46,1.16,0.92
宁夏回族自治区,,1.05,0.96,1.12,1.10,1.09,1.08,0.96,0.97,1.03,1.02,1.01,0.99,0.92,0.77,0.61,0.70,0.67,0.65,0.56
新疆维吾尔自治区,,4.71,4.78,4.09,4.42,3.76,3.74,3.68,3.76,3.80,3.83,3.80,3.84,3.77,3.61,3.16,3.12,3.23,3.21,2.25
数据来源：国家统计局
