数据库：分省年度数据
指标：电话普及率(包括移动电话)(部/百人)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,200.38,211.87,212.92,202.77,210.04,217.88,228.09,200.56,200.60,176.34,171.82
天津市,146.89,131.50,127.31,120.50,115.94,110.77,112.90,113.84,123.90,120.82,118.62
河北省,120.47,118.82,117.70,110.99,106.72,95.81,99.06,97.63,92.80,88.09,79.68
山西省,122.22,114.06,113.99,106.69,100.75,100.60,106.54,101.65,96.00,87.55,85.38
内蒙古自治区,131.44,127.03,128.57,121.55,108.68,107.59,119.52,122.83,117.50,109.05,101.08
辽宁省,127.12,126.67,127.79,126.64,121.47,121.53,129.51,132.26,127.20,118.60,110.43
吉林省,136.58,124.69,128.66,123.88,116.18,112.00,115.79,107.26,103.20,94.05,87.61
黑龙江省,130.08,113.80,111.15,107.88,103.79,102.99,106.92,98.26,89.70,82.70,75.42
上海市,197.58,191.56,180.94,164.98,160.67,162.70,170.38,168.52,166.70,154.02,171.43
江苏省,131.71,142.44,139.27,128.53,123.86,124.95,128.19,128.87,124.80,115.08,109.02
浙江省,152.55,171.73,166.80,155.59,152.29,158.05,163.63,161.02,152.40,141.43,135.77
安徽省,107.90,100.77,96.66,86.90,80.01,80.21,83.11,81.85,78.80,75.60,65.73
福建省,131.74,138.03,135.47,129.68,128.41,131.35,136.89,140.08,136.10,123.69,112.14
江西省,104.71,98.90,97.02,84.94,79.66,78.82,77.40,75.83,71.70,67.14,56.88
山东省,118.51,118.87,115.47,108.21,106.22,103.65,102.99,103.16,97.90,94.02,86.41
河南省,107.87,109.95,105.48,97.17,91.14,90.16,93.85,89.50,75.30,68.08,61.44
湖北省,106.71,104.72,104.32,95.78,92.02,92.34,94.81,93.13,96.50,86.83,78.34
湖南省,110.04,105.10,100.74,92.68,83.21,80.78,82.68,81.97,79.10,72.46,67.65
广东省,140.21,163.50,167.76,154.02,154.18,159.34,166.86,167.29,148.60,133.51,132.74
广西壮族自治区,113.04,110.04,109.14,96.07,85.22,84.12,85.27,72.55,75.00,69.06,60.20
海南省,129.11,138.32,134.54,126.17,121.19,116.93,119.25,115.26,108.10,97.43,89.60
重庆市,132.28,137.09,136.82,124.93,112.25,109.31,105.95,99.70,90.60,82.23,78.60
四川省,131.58,135.11,130.70,112.38,106.32,99.36,97.08,93.71,85.00,77.08,68.12
贵州省,111.94,118.12,116.24,104.29,93.99,92.20,91.92,86.39,77.90,70.37,58.76
云南省,110.74,106.02,102.76,94.36,89.67,86.84,88.64,82.81,73.80,68.01,61.41
西藏自治区,109.00,112.14,108.85,100.12,97.65,93.71,103.19,98.08,91.10,78.72,69.49
陕西省,132.23,136.27,138.17,126.28,117.85,113.11,115.44,113.76,107.80,98.60,87.49
甘肃省,119.25,116.45,116.36,108.66,96.40,93.53,92.63,90.64,83.50,78.56,68.38
青海省,133.60,131.36,133.66,119.92,108.15,105.58,110.41,111.49,112.60,100.83,89.94
宁夏回族自治区,123.65,127.00,136.17,125.29,116.60,107.95,119.57,111.88,108.90,99.35,87.87
新疆维吾尔自治区,125.71,125.31,126.45,111.11,108.55,107.20,112.71,117.15,114.40,100.19,87.44
数据来源：国家统计局
